"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-617 0.170441113506403 4 14 "GO:0000030" "mannosyltransferase activity" 0.453162866829357
-350 0.308825928182646 2 24 "GO:0000049" "tRNA binding" 0.595347761552101
348 0.393725088109369 2 17 "GO:0000062" "fatty-acyl-CoA binding" 0.659659563717244
820 0.0913163147534986 2 12 "GO:0000146" "microfilament motor activity" 0.348206167246857
36 0.917954572953703 2 23 "GO:0000149" "SNARE binding" 0.970439061601316
86 0.263093031270832 3 532 "GO:0000166" "nucleotide binding" 0.565258962635999
-364 0.419150982363218 3 14 "GO:0000175" "3'-5'-exoribonuclease activity" 0.67025525751169
-868 0.102815111508551 2 10 "GO:0000217" "DNA secondary structure binding" 0.358183887016419
86 0.668582398209504 2 71 "GO:0000287" "magnesium ion binding" 0.837538238912267
-545 0.30569737851279 2 10 "GO:0000339" "RNA cap binding" 0.595188917275477
-722 0.175050193427102 2 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.458433336748712
-135 0.458866323358883 2 87 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.695312725788351
-273 0.189238131891828 3 66 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.474120084956421
-270 0.343724919269976 2 35 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.635131203150498
-692 0.111461676967122 2 15 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.368354303881822
-286 0.0600923019719483 3 125 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.300029191140519
-380 0.164630529496928 3 38 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.448640948442117
-109 0.304652808830835 -1 264 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.595188917275477
-95 0.373379674045477 -1 261 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.650805624927428
-323 0.107319130301137 2 71 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.365247251375775
-814 0.0350701861274111 3 19 "GO:0001047" "core promoter binding" 0.24171491750372
-276 0.0422081358047681 4 158 "GO:0001067" "regulatory region nucleic acid binding" 0.26389591214873
74 0.719807902337797 -1 68 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.867268548997276
-579 0.0924911065542192 2 24 "GO:0001085" "RNA polymerase II transcription factor binding" 0.348852325807762
-387 0.446306888158923 4 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.680740616224819
-745 0.0427493501525046 2 21 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.264893294694984
50 0.894389471069856 -1 20 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.960942967914182
485 0.280837412092026 -1 14 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.573238717623135
-980 0.0241778811737174 4 15 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.198957960173106
-139 0.62681020187895 4 35 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.822318109837413
-1108 0.0289707376353565 3 11 "GO:0001530" "lipopolysaccharide binding" 0.222940880890659
446 0.14765478236031 3 30 "GO:0001653;GO:0008528" "G protein-coupled peptide receptor activity" 0.419968930155964
32 0.898228978562067 2 45 "GO:0001664" "G protein-coupled receptor binding" 0.961992146793325
552 0.276558400186395 2 11 "GO:0001786" "phosphatidylserine binding" 0.567489630929489
159 0.0665588505213221 2 407 "GO:0001882" "nucleoside binding" 0.31423021946801
160 0.0648306003481285 3 405 "GO:0001883" "purine nucleoside binding" 0.312774081532648
-974 0.0206517025946985 2 16 "GO:0002039" "p53 binding" 0.179098253722
-203 0.00564255488473293 3 583 "GO:0003677" "DNA binding" 0.093236502142968
-469 0.059352285369678 4 46 "GO:0003678" "DNA helicase activity" 0.300029191140519
-514 3.60014714764347e-05 2 189 "GO:0003682" "chromatin binding" 0.00356928874352081
-542 0.073343097365783 4 31 "GO:0003684" "damaged DNA binding" 0.32215259222692
-168 0.195940630482116 2 173 "GO:0003690" "double-stranded DNA binding" 0.477785486780147
-396 0.153783235991859 2 37 "GO:0003697" "single-stranded DNA binding" 0.430345023299799
-272 0.00450175438591948 2 327 "GO:0003700" "DNA-binding transcription factor activity" 0.0867838206618922
-92 0.401241567711841 2 244 "GO:0003712" "transcription coregulator activity" 0.661438072924143
-70 0.619225360811131 3 147 "GO:0003713" "transcription coactivator activity" 0.815450475147865
-118 0.513963969718448 3 88 "GO:0003714" "transcription corepressor activity" 0.724981697123177
-181 0.0349657335212072 4 413 "GO:0003723" "RNA binding" 0.24171491750372
-268 0.205012398315813 3 64 "GO:0003724" "RNA helicase activity" 0.487255494627309
-554 0.0876520705882687 5 27 "GO:0003725" "double-stranded RNA binding" 0.340831223393444
-1083 2.09402555790826e-05 2 44 "GO:0003727" "single-stranded RNA binding" 0.00242208956198055
-233 0.0741591182707693 2 171 "GO:0003729" "mRNA binding" 0.323688226917697
-3 0.990639103413004 2 33 "GO:0003730" "mRNA 3'-UTR binding" 0.996381938795108
184 0.263896115121129 2 106 "GO:0003735" "structural constituent of ribosome" 0.565258962635999
-320 0.224249971539662 3 41 "GO:0003743" "translation initiation factor activity" 0.508593072707599
204 0.701743260787276 5 10 "GO:0003746" "translation elongation factor activity" 0.853644327148027
-406 0.20234767141689 2 28 "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 0.484238910218351
235 0.513395163690878 3 22 "GO:0003756;GO:0016864;GO:0016862" "protein disulfide isomerase activity" 0.724981697123177
485 0.00754535478182072 3 87 "GO:0003774" "motor activity" 0.109093254553825
405 0.0501017360656501 2 67 "GO:0003777" "microtubule motor activity" 0.278443330522039
49 0.736010757438128 4 139 "GO:0003779" "actin binding" 0.87283905629948
-704 0.0555691506964741 2 21 "GO:0003823" "antigen binding" 0.287798437189202
-409 0.191280419846365 4 29 "GO:0003887" "DNA-directed DNA polymerase activity" 0.477512990551717
-108 0.831842140070182 6 11 "GO:0003896" "DNA primase activity" 0.920050328620381
-449 0.11003742160945 3 36 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.367144089408453
-503 0.345020840904521 2 10 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.635131203150498
84 0.550166413565612 3 147 "GO:0003924" "GTPase activity" 0.758620503997747
-711 0.128032476431611 5 13 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.390847866784767
-1210 0.0040400596231319 3 16 "GO:0003954;GO:0008137;GO:0050136" "NADH dehydrogenase (quinone) activity" 0.0824647464251041
-320 0.290209287582413 2 31 "GO:0004003" "ATP-dependent DNA helicase activity" 0.585480365064519
-192 0.378312270434447 2 60 "GO:0004004" "ATP-dependent RNA helicase activity" 0.653077887768491
549 0.258650136135755 6 12 "GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.560069024810914
846 0.095560790170512 2 11 "GO:0004114" "3',5'-cyclic-nucleotide phosphodiesterase activity" 0.355502438309184
773 0.146458555225845 3 10 "GO:0004129;GO:0015002;GO:0016676" "heme-copper terminal oxidase activity" 0.419968930155964
240 0.0249414157565709 5 259 "GO:0004175" "endopeptidase activity" 0.198957960173106
-723 0.00741986662095677 3 39 "GO:0004177" "aminopeptidase activity" 0.109093254553825
-1027 0.000692174099590317 2 31 "GO:0004180" "carboxypeptidase activity" 0.0309215260786539
-1031 0.00620204242613838 4 20 "GO:0004181" "metallocarboxypeptidase activity" 0.0978231237213645
187 0.403123476383307 2 57 "GO:0004197" "cysteine-type endopeptidase activity" 0.662956617559277
-120 0.722147747872622 -1 25 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.868579786869324
240 0.161249733381857 2 98 "GO:0004222" "metalloendopeptidase activity" 0.442321403031655
-203 0.367994796788326 2 56 "GO:0004252" "serine-type endopeptidase activity" 0.648010130986609
13 0.980101696122902 5 10 "GO:0004300" "enoyl-CoA hydratase activity" 0.994490449292766
706 0.146356229200541 5 12 "GO:0004322;GO:0016724" "ferroxidase activity" 0.419968930155964
-214 0.634584640634994 2 14 "GO:0004383" "guanylate cyclase activity" 0.823180823552684
-263 0.103739137305908 2 110 "GO:0004386" "helicase activity" 0.358183887016419
-520 0.284951401046166 2 12 "GO:0004402" "histone acetyltransferase activity" 0.576548898909735
-533 0.146885239787442 2 21 "GO:0004407" "histone deacetylase activity" 0.419968930155964
536 0.0197732726859873 2 54 "GO:0004497" "monooxygenase activity" 0.175931426206092
919 0.0490366196641299 2 13 "GO:0004500" "dopamine beta-monooxygenase activity" 0.278443330522039
-457 0.00898259892809075 4 94 "GO:0004518" "nuclease activity" 0.113522974201729
-311 0.150146502666596 2 61 "GO:0004519" "endonuclease activity" 0.425312950410684
-57 0.866801937901815 2 25 "GO:0004520" "endodeoxyribonuclease activity" 0.944584169174153
-444 0.136181322214498 4 32 "GO:0004521" "endoribonuclease activity" 0.40913349617689
-557 0.0418108690586288 2 38 "GO:0004527" "exonuclease activity" 0.263788573878985
-433 0.274911098202825 4 18 "GO:0004532" "exoribonuclease activity" 0.567489630929489
-270 0.365555220424553 2 32 "GO:0004536" "deoxyribonuclease activity" 0.648010130986609
-469 0.0475491470317918 2 51 "GO:0004540" "ribonuclease activity" 0.275452660565752
-559 0.0132367439435084 2 56 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.137827245092279
25 0.963291150762207 6 10 "GO:0004559" "alpha-mannosidase activity" 0.987480145685335
319 0.35421274913519 3 24 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.641181576613521
211 0.387146456270445 2 48 "GO:0004620" "phospholipase activity" 0.656918436801195
153 0.742440281042288 5 13 "GO:0004622" "lysophospholipase activity" 0.87283905629948
27 0.942704342479417 5 20 "GO:0004623" "phospholipase A2 activity" 0.977932456921847
-157 0.736829627194419 2 13 "GO:0004656" "procollagen-proline 4-dioxygenase activity" 0.87283905629948
65 0.903140364906928 4 10 "GO:0004659" "prenyltransferase activity" 0.962282495834475
281 0.00215784043151219 2 359 "GO:0004672" "protein kinase activity" 0.0477969464344897
190 0.0980416549851682 3 223 "GO:0004674" "protein serine/threonine kinase activity" 0.355502438309184
-554 0.202313970933462 2 15 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.484238910218351
-627 0.216464168602608 4 11 "GO:0004693;GO:0097472" "cyclin-dependent protein serine/threonine kinase activity" 0.499090142891063
