"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-6 0.507873018013481 2 12 "GO:0000030" "mannosyltransferase activity" 0.940602841837022
-197 0.786890941045441 2 20 "GO:0000049" "tRNA binding" 0.999975708134479
-663 0.981001874088908 4 12 "GO:0000062" "fatty-acyl-CoA binding" 0.999975708134479
-214 0.78675954666772 2 17 "GO:0000149" "SNARE binding" 0.999975708134479
-78 0.896709358653303 2 352 "GO:0000166" "nucleotide binding" 0.999975708134479
79 0.406186236224412 2 11 "GO:0000175" "3'-5'-exoribonuclease activity" 0.867687125250221
33 0.42114815520786 5 45 "GO:0000287" "magnesium ion binding" 0.87414434999206
175 0.111805889089168 2 60 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.640779988005662
96 0.273350381139587 3 49 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.810820211710851
64 0.384172969759723 2 26 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.839197511811198
725 0.014966775939755 4 11 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.275079019858256
309 0.0047544743789841 3 88 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.167479613976799
128 0.268039998572729 3 29 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.802614153029576
206 0.00786301861456235 -1 177 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.193961021332018
204 0.0087337045252691 -1 174 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.193961021332018
86 0.28436409886637 2 54 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.817111945246671
406 0.0715054380279768 2 16 "GO:0001047" "core promoter binding" 0.552353600998719
182 0.0415136124575778 4 114 "GO:0001067" "regulatory region nucleic acid binding" 0.493942863291718
-97 0.721343972574593 -1 45 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.999975708134479
108 0.3316767412563 2 20 "GO:0001085" "RNA polymerase II transcription factor binding" 0.827835089626479
867 0.00122259676501046 3 15 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.0930920108215107
-87 0.611394847630067 -1 13 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.999975708134479
386 0.10427874309796 2 13 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.631597387172871
323 0.0812798385756267 2 23 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.570548078911735
396 0.129219995297379 2 10 "GO:0001530" "lipopolysaccharide binding" 0.687882784771188
-480 0.962998777257302 2 17 "GO:0001653;GO:0008528" "peptide receptor activity" 0.999975708134479
75 0.358644990826817 2 29 "GO:0001664" "G protein-coupled receptor binding" 0.836227112665785
-23 0.624383689187508 2 256 "GO:0001882" "nucleoside binding" 0.999975708134479
-29 0.654725286350571 4 255 "GO:0001883" "purine nucleoside binding" 0.999975708134479
612 0.0232684659385743 2 13 "GO:0002039" "p53 binding" 0.387565385789378
348 0.0337341972306498 2 34 "GO:0003678" "DNA helicase activity" 0.439250016558109
274 0.00175596029613474 2 144 "GO:0003682" "chromatin binding" 0.109148513591854
81 0.354508046806611 5 26 "GO:0003684" "damaged DNA binding" 0.836227112665785
175 0.0441646413931892 3 120 "GO:0003690" "double-stranded DNA binding" 0.496277545692722
141 0.246889992430839 2 29 "GO:0003697" "single-stranded DNA binding" 0.787978239315193
287 7.84560486864503e-05 2 226 "GO:0003700" "DNA-binding transcription factor activity" 0.0192839676930609
224 0.00578053261839671 2 162 "GO:0003712" "transcription coregulator activity" 0.169093633586973
182 0.0543458950145561 2 97 "GO:0003713" "transcription coactivator activity" 0.496277545692722
249 0.0428167291199962 2 59 "GO:0003714" "transcription corepressor activity" 0.496115578716478
42 0.26596612962933 2 293 "GO:0003723" "RNA binding" 0.800903655889451
82 0.312300283727861 2 44 "GO:0003724" "RNA helicase activity" 0.817111945246671
