"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
384 0.394007632872682 5 14 "GO:0000030" "mannosyltransferase activity" 0.578099994109178
-240 0.4861696085604 5 24 "GO:0000049" "tRNA binding" 0.66465076287689
-43 0.916215905833277 2 17 "GO:0000062" "fatty-acyl-CoA binding" 0.951578474917569
367 0.450660610854809 5 12 "GO:0000146" "microfilament motor activity" 0.635687934823653
568 0.106350433495449 3 23 "GO:0000149" "SNARE binding" 0.230403397853354
209 0.00630372869856585 3 532 "GO:0000166" "nucleotide binding" 0.0255860442393853
-654 0.146710190949433 4 14 "GO:0000175" "3'-5'-exoribonuclease activity" 0.291738889738987
-1793 0.000765084605300153 4 10 "GO:0000217" "DNA secondary structure binding" 0.00500341967958498
-56 0.782078730716611 2 71 "GO:0000287" "magnesium ion binding" 0.854451305622758
636 0.232780067276244 3 10 "GO:0000339" "RNA cap binding" 0.396336300658901
102 0.847527456694362 2 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.903178546299271
-19 0.91867086195212 3 87 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.951578474917569
-128 0.53797739904193 2 66 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.711691813392827
-119 0.677252021717446 2 35 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.784662609468961
284 0.513779021771436 4 15 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.688344867006518
60 0.692150770919299 3 124 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.796780438124838
-58 0.831572616863234 2 38 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.896510581924092
449 2.3013239258706e-05 -1 264 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.000420294422251104
439 3.78449196826063e-05 -1 261 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.000570964657820191
-269 0.180963853465881 6 71 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.335334849492856
-171 0.657646447353451 3 19 "GO:0001047" "core promoter binding" 0.778850912053405
188 0.165503109549625 4 158 "GO:0001067" "regulatory region nucleic acid binding" 0.316416413298732
502 0.0144621297192732 -1 68 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.0525482619119141
575 0.0946367709183815 4 24 "GO:0001085" "RNA polymerase II transcription factor binding" 0.210506150696656
