"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
113 0.343668597277936 2 10 "GO:0000049" "tRNA binding" 0.705727204395458
154 0.243862873430365 2 16 "GO:0000149" "SNARE binding" 0.590844904768427
199 0.000104315866767348 2 299 "GO:0000166" "nucleotide binding" 0.00276437046933472
401 0.00524936470126403 2 32 "GO:0000287" "magnesium ion binding" 0.0412172339506657
228 0.0447850907971797 6 44 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.189587022311602
237 0.0655263406160441 4 32 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.259655779637408
167 0.218437044840891 2 17 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.557280266376225
62 0.284326295999512 3 68 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.641283584698986
199 0.163098736580663 2 19 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.480235168820841
191 0.00325925604410898 -1 167 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.0307094347267157
198 0.00261960339795336 -1 164 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.0298181392466013
277 0.00194717722131285 2 87 "GO:0001067" "regulatory region nucleic acid binding" 0.0284690738564362
53 0.345367557191236 -1 44 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.705727204395458
308 0.0818354529369438 3 16 "GO:0001085" "RNA polymerase II transcription factor binding" 0.307064000400568
-227 0.79117503157139 2 10 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.999999999998463
315 0.119036386823809 6 11 "GO:0001158;GO:0035326" "enhancer binding" 0.388241753948423
319 0.10594134236202 -1 12 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.359353033291972
-194 0.766718234758563 -1 11 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.999999999998463
-117 0.717813113388492 3 19 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.999999999998463
-133 0.705585020889829 3 13 "GO:0001653;GO:0008528" "G protein-coupled peptide receptor activity" 0.999999999998463
-32 0.571280186456779 3 25 "GO:0001664" "G protein-coupled receptor binding" 0.926748191434564
278 1.71290215395492e-06 3 236 "GO:0001882;GO:0001883" "nucleoside binding" 0.000338044024690393
171 0.260377014648851 2 11 "GO:0002039" "p53 binding" 0.612297276999075
155 0.00216003750097573 2 292 "GO:0003677" "DNA binding" 0.0295311116053106
20 0.463738775659992 2 16 "GO:0003678" "DNA helicase activity" 0.817038277761217
28 0.38121856793569 2 93 "GO:0003682" "chromatin binding" 0.731387659749921
-170 0.756322012771212 3 13 "GO:0003684" "damaged DNA binding" 0.999999999998463
238 0.0117722848752063 3 72 "GO:0003690" "double-stranded DNA binding" 0.0732369485803383
242 0.181734162832514 3 11 "GO:0003697" "single-stranded DNA binding" 0.506942664743328
124 0.033906115409284 2 180 "GO:0003700" "DNA-binding transcription factor activity" 0.1652435969372
207 0.00235131196992564 2 153 "GO:0003712" "transcription coregulator activity" 0.0296948069820154
194 0.0184341717252529 3 93 "GO:0003713" "transcription coactivator activity" 0.100206266814195
290 0.00704591704946899 2 57 "GO:0003714" "transcription corepressor activity" 0.0523360057958257
106 0.0311632690730016 4 265 "GO:0003723" "RNA binding" 0.15730031055896
19 0.44682190187724 2 41 "GO:0003724" "RNA helicase activity" 0.79601885040315
-325 0.915669421643585 2 14 "GO:0003725" "double-stranded RNA binding" 0.999999999998463
158 0.173252194859161 5 28 "GO:0003727" "single-stranded RNA binding" 0.496344125812732
236 0.00222876314002344 2 118 "GO:0003729" "mRNA binding" 0.0295311116053106
516 0.00315188242353785 3 22 "GO:0003730" "mRNA 3'-UTR binding" 0.0303726851722738
-604 0.999999975492527 2 65 "GO:0003735" "structural constituent of ribosome" 0.999999999998463
381 0.00837663698733711 2 31 "GO:0003743" "translation initiation factor activity" 0.0563760965496974
-174 0.769360730096163 3 14 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.999999999998463
255 0.132402655332325 3 15 "GO:0003756;GO:0016864;GO:0016862" "protein disulfide isomerase activity" 0.409771721612451
-42 0.618518589549256 6 40 "GO:0003774" "motor activity" 0.949066555839206
-62 0.6473929923757 8 29 "GO:0003777" "microtubule motor activity" 0.973127408929152
175 0.0398688952354658 2 80 "GO:0003779" "actin binding" 0.181471680221166
-388 0.975036351457744 2 20 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.999999999998463
363 4.29966107521756e-05 2 94 "GO:0003924" "GTPase activity" 0.00186664852210459
-354 0.925274320377497 5 13 "GO:0003954;GO:0008137;GO:0050136" "NADH dehydrogenase (quinone) activity" 0.999999999998463
-20 0.55532241297347 4 40 "GO:0004004;GO:0008186" "ATP-dependent RNA helicase activity" 0.91262288023547
89 0.120856100445676 4 141 "GO:0004175" "endopeptidase activity" 0.391167836556997
-305 0.901636349996396 6 14 "GO:0004177" "aminopeptidase activity" 0.999999999998463
200 0.116422958112002 6 28 "GO:0004197" "cysteine-type endopeptidase activity" 0.385651048746007
348 0.0328736212988496 -1 22 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.163981358008379
-208 0.950747125753503 2 50 "GO:0004222" "metalloendopeptidase activity" 0.999999999998463
-56 0.620026971621368 2 23 "GO:0004252" "serine-type endopeptidase activity" 0.949066555839206
