"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-466 0.980765558592771 4 10 "GO:0000049" "tRNA binding" 0.998047525412738
67 0.368296564899792 2 13 "GO:0000149" "SNARE binding" 0.900024730473867
13 0.392544377668651 2 229 "GO:0000166;GO:1901265" "nucleotide binding" 0.917908062187186
-40 0.573466322118824 4 11 "GO:0000175;GO:0016896" "3'-5'-exoribonuclease activity" 0.992147486497611
534 0.00881001697044281 2 10 "GO:0000217" "DNA secondary structure binding" 0.103692887998184
54 0.327194836419441 2 35 "GO:0000287" "magnesium ion binding" 0.841665664736852
154 0.119512446864471 2 30 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.576905762024792
272 0.0340581942707253 3 23 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.256091422304877
373 0.0410040551444698 4 11 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.286296170740852
100 0.174698086688279 2 45 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.72251713917491
409 0.0233162887623665 3 12 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.202592642357451
-38 0.710923675218463 -1 112 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.998047525412738
-24 0.634048564973339 -1 110 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.998047525412738
297 0.0153535845369599 2 27 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.139610501254682
-382 0.994904223655039 -1 23 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.998047525412738
-124 0.727130053387754 3 12 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.998047525412738
380 0.0271716858445695 3 13 "GO:0001664" "G protein-coupled receptor binding" 0.230959329678841
-18 0.620464469296529 2 154 "GO:0001882" "nucleoside binding" 0.998047525412738
-24 0.658739179312274 3 153 "GO:0001883;GO:0032549;GO:0032550" "purine nucleoside binding" 0.998047525412738
169 0.0982764903635772 6 30 "GO:0003678" "DNA helicase activity" 0.502731199113096
227 0.00120222176553243 2 94 "GO:0003682" "chromatin binding" 0.0299980960113813
-34 0.59204884707813 2 24 "GO:0003684" "damaged DNA binding" 0.998047525412738
158 0.0286633772797497 2 75 "GO:0003690" "double-stranded DNA binding" 0.234611466385162
461 0.000983297961251549 2 23 "GO:0003697" "single-stranded DNA binding" 0.0274621073463825
6 0.46568999588915 2 109 "GO:0003700" "DNA-binding transcription factor activity" 0.950316267086803
-10 0.553667931515691 2 103 "GO:0003712" "transcription coregulator activity" 0.97515387938124
-89 0.841332192942046 3 66 "GO:0003713" "transcription coactivator activity" 0.998047525412738
184 0.0702008712735928 3 33 "GO:0003714" "transcription corepressor activity" 0.428883447937106
-145 0.992526005214239 2 151 "GO:0003723" "RNA binding" 0.998047525412738
83 0.280353883474859 5 25 "GO:0003724" "RNA helicase activity" 0.801577181995425
151 0.214313566611848 4 14 "GO:0003725" "double-stranded RNA binding" 0.759269771379977
87 0.313653508537103 3 16 "GO:0003727" "single-stranded RNA binding" 0.841665664736852
-103 0.859053305510238 4 56 "GO:0003729" "mRNA binding" 0.998047525412738
32 0.443527600210312 2 10 "GO:0003730" "mRNA 3'-UTR binding" 0.950316267086803
-276 0.988761427597932 2 35 "GO:0003735" "structural constituent of ribosome" 0.998047525412738
-170 0.796551208563094 2 12 "GO:0003743" "translation initiation factor activity" 0.998047525412738
-4 0.511601269436645 2 22 "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 0.967618203548299
341 0.000805902590332207 4 44 "GO:0003774" "motor activity" 0.0262589927349911
381 0.000597611750173621 5 37 "GO:0003777" "microtubule motor activity" 0.0223434175387397
-141 0.903459201196589 4 44 "GO:0003779" "actin binding" 0.998047525412738
143 0.173020311431154 4 22 "GO:0003887" "DNA-directed DNA polymerase activity" 0.72251713917491
-78 0.706933156293613 2 25 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.998047525412738
-97 0.8244498934121 4 48 "GO:0003924" "GTPase activity" 0.998047525412738
-158 0.758144490993244 3 10 "GO:0003954;GO:0008137;GO:0050136" "NADH dehydrogenase activity" 0.998047525412738
174 0.137313074788456 2 20 "GO:0004003" "ATP-dependent DNA helicase activity" 0.630843189741762
27 0.428781210949254 2 22 "GO:0004004" "ATP-dependent RNA helicase activity" 0.95014281446873
-4 0.520317694479709 2 88 "GO:0004175" "endopeptidase activity" 0.967618203548299
196 0.088925222523025 2 24 "GO:0004177" "aminopeptidase activity" 0.482913361201427
405 0.00965464886543761 2 17 "GO:0004180" "carboxypeptidase activity" 0.104860214066281
313 0.0822320743839738 2 10 "GO:0004181" "metallocarboxypeptidase activity" 0.452855508227236
329 0.0135060584255979 3 23 "GO:0004197" "cysteine-type endopeptidase activity" 0.127810963476438
-78 0.741807303030843 2 35 "GO:0004222" "metalloendopeptidase activity" 0.998047525412738
-208 0.931246503392976 2 26 "GO:0004252" "serine-type endopeptidase activity" 0.998047525412738
168 0.228153929637976 3 10 "GO:0004300" "enoyl-CoA hydratase activity" 0.770937397716703
116 0.119413252400619 4 53 "GO:0004386" "helicase activity" 0.576905762024792
-333 0.930542935406714 2 10 "GO:0004407" "histone deacetylase activity" 0.998047525412738
-211 0.895375471367031 2 18 "GO:0004497" "monooxygenase activity" 0.998047525412738
135 0.0782070402314832 2 57 "GO:0004518" "nuclease activity" 0.445078448979075
120 0.167400244008456 3 33 "GO:0004519" "endonuclease activity" 0.719269180300069
36 0.430893604977599 2 12 "GO:0004520" "endodeoxyribonuclease activity" 0.95014281446873
201 0.11584064412765 2 18 "GO:0004521" "endoribonuclease activity" 0.573337871568495
110 0.212254183835688 5 27 "GO:0004527" "exonuclease activity" 0.759269771379977
-25 0.548861725003527 2 12 "GO:0004532" "exoribonuclease activity" 0.97515387938124
157 0.175574946089112 3 18 "GO:0004536" "deoxyribonuclease activity" 0.72251713917491
76 0.277507795974489 2 31 "GO:0004540" "ribonuclease activity" 0.801577181995425
34 0.400790903181495 2 28 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.927273628070796
382 0.0317817325932935 3 12 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.248533148879555
-49 0.630973616259609 2 24 "GO:0004620" "phospholipase activity" 0.998047525412738
-92 0.935020470831649 2 144 "GO:0004672" "protein kinase activity" 0.998047525412738
-41 0.7039719218131 2 91 "GO:0004674" "protein serine/threonine kinase activity" 0.998047525412738
-251 0.867398429095099 3 10 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.998047525412738
-195 0.855696213671105 -1 15 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0.998047525412738
-99 0.806391488610135 2 39 "GO:0004713" "protein tyrosine kinase activity" 0.998047525412738
-111 0.801873477269888 2 30 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity" 0.998047525412738
-107 0.839441990640216 4 44 "GO:0004721" "phosphoprotein phosphatase activity" 0.998047525412738
-359 0.983546976721977 2 18 "GO:0004722" "protein serine/threonine phosphatase activity" 0.998047525412738
83 0.311630713677552 2 18 "GO:0004725" "protein tyrosine phosphatase activity" 0.841665664736852
17 0.466651466190962 2 12 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.950316267086803
-188 0.978266540723516 2 60 "GO:0004842" "ubiquitin-protein transferase activity" 0.998047525412738
-288 0.919048773423732 4 12 "GO:0004843;GO:0036459;GO:0101005" "thiol-dependent ubiquitinyl hydrolase activity" 0.998047525412738
1 0.496199458817823 2 44 "GO:0004857" "enzyme inhibitor activity" 0.967618203548299
-132 0.730352928170512 4 11 "GO:0004860" "protein kinase inhibitor activity" 0.998047525412738
-58 0.838174510244178 -1 154 "GO:0004871" "obsolete signal transducer activity" 0.998047525412738
-59 0.782194839147382 3 93 "GO:0004888" "transmembrane signaling receptor activity" 0.998047525412738
-173 0.904292912122667 4 29 "GO:0004930" "G protein-coupled receptor activity" 0.998047525412738
-146 0.842350533900714 -1 24 "GO:0005057" "obsolete signal transducer activity, downstream of receptor" 0.998047525412738
-105 0.808326298056276 2 35 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.998047525412738
-196 0.896340844653075 3 21 "GO:0005088" "Ras guanyl-nucleotide exchange factor activity" 0.998047525412738
-199 0.832926480651064 2 12 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 0.998047525412738
43 0.36240451546772 4 34 "GO:0005096" "GTPase activator activity" 0.894732961387267
55 0.188237813326316 2 138 "GO:0005102" "signaling receptor binding" 0.728722623867223
81 0.330193227723414 3 15 "GO:0005126" "cytokine receptor binding" 0.843827137515391
79 0.338757260726438 3 14 "GO:0005178" "integrin binding" 0.854542509316369
38 0.291365550854377 1 113 "GO:0005198" "structural molecule activity" 0.813742359886153
67 0.33675056508684 2 20 "GO:0005200" "structural constituent of cytoskeleton" 0.854542509316369
531 0.00265453182047747 2 14 "GO:0005201" "extracellular matrix structural constituent" 0.0518960970903345
-9 0.546300815983951 2 84 "GO:0005216" "ion channel activity" 0.97515387938124
37 0.432545833696762 2 11 "GO:0005230" "extracellular ligand-gated ion channel activity" 0.95014281446873
17 0.455424976794458 4 22 "GO:0005244;GO:0022832" "voltage-gated ion channel activity" 0.950316267086803
-29 0.636225088732923 4 73 "GO:0005261" "cation channel activity" 0.998047525412738
-49 0.66992393826518 2 42 "GO:0005262" "calcium channel activity" 0.998047525412738
-33 0.56109104226061 2 11 "GO:0005267" "potassium channel activity" 0.98379640145246
614 0.000628587194184494 3 14 "GO:0005283;GO:0005328" "amino acid:sodium symporter activity" 0.0223434175387397
529 0.00371363784953075 5 13 "GO:0005310" "dicarboxylic acid transmembrane transporter activity" 0.0611395958643782
106 0.275350950301093 2 16 "GO:0005319" "lipid transporter activity" 0.801577181995425
536 0.000528302924798839 2 19 "GO:0005326" "neurotransmitter transporter activity" 0.0223434175387397
326 0.000228569285775162 3 60 "GO:0005342;GO:0046943" "organic acid transmembrane transporter activity" 0.0223434175387397
581 0.00039139288898327 5 17 "GO:0005343" "organic acid:sodium symporter activity" 0.0223434175387397
522 0.00228272912531002 2 15 "GO:0005416" "amino acid:cation symporter activity" 0.0469761625261167
240 0.0612816945776627 2 21 "GO:0005496" "steroid binding" 0.406121060675697
-197 0.89169746955491 2 20 "GO:0005506" "iron ion binding" 0.998047525412738
62 0.221793035275119 2 79 "GO:0005509" "calcium ion binding" 0.770937397716703
-42 0.616083097249539 2 25 "GO:0005516" "calmodulin binding" 0.998047525412738
22 0.379347106820567 4 103 "GO:0005524" "ATP binding" 0.908093105862863
-62 0.724353919656724 3 48 "GO:0005525" "GTP binding" 0.998047525412738
-162 0.763815491952096 2 10 "GO:0005527;GO:0005528" "macrolide binding" 0.998047525412738
-6 0.519335485539064 3 34 "GO:0005539" "glycosaminoglycan binding" 0.967618203548299
159 0.0407311846273291 2 62 "GO:0005543" "phospholipid binding" 0.286296170740852
-69 0.626811283350126 4 11 "GO:0005544" "calcium-dependent phospholipid binding" 0.998047525412738
72 0.234307580493167 4 53 "GO:0008017" "microtubule binding" 0.770937397716703
-333 0.968980451216546 2 16 "GO:0008022" "protein C-terminus binding" 0.998047525412738
90 0.205294340262207 8 43 "GO:0008026;GO:0070035" "purine NTP-dependent helicase activity" 0.758109757598734
271 0.0135337740230153 5 34 "GO:0008028" "monocarboxylic acid transmembrane transporter activity" 0.127810963476438
-94 0.84955211298923 2 63 "GO:0008047" "enzyme activator activity" 0.998047525412738
-307 0.913419844217253 2 10 "GO:0008080" "N-acetyltransferase activity" 0.998047525412738
24 0.443957759670007 2 17 "GO:0008081" "phosphoric diester hydrolase activity" 0.950316267086803
-14 0.590647412419261 2 140 "GO:0008092" "cytoskeletal protein binding" 0.998047525412738
306 0.00702606849766868 7 33 "GO:0008094" "DNA-dependent ATPase activity" 0.101747880836609
-130 0.958380945463066 2 93 "GO:0008134" "transcription factor binding" 0.998047525412738
-128 0.777536667600461 4 18 "GO:0008135" "translation factor activity, RNA binding" 0.998047525412738
18 0.373966871997625 2 171 "GO:0008144" "drug binding" 0.908093105862863
38 0.363842815500193 4 44 "GO:0008168" "methyltransferase activity" 0.894732961387267
71 0.324417361085 2 21 "GO:0008170" "N-methyltransferase activity" 0.841665664736852
44 0.383894475599607 7 23 "GO:0008186" "RNA-dependent ATPase activity" 0.908093105862863
-259 0.979928011995085 2 32 "GO:0008194" "UDP-glycosyltransferase activity" 0.998047525412738
22 0.441475560218921 2 22 "GO:0008201" "heparin binding" 0.950316267086803
104 0.0391858564147718 2 155 "GO:0008233" "peptidase activity" 0.283734627003255
131 0.138753233549339 2 35 "GO:0008234" "cysteine-type peptidase activity" 0.630843189741762
132 0.209401160666658 3 19 "GO:0008235" "metalloexopeptidase activity" 0.758109757598734
3 0.490899203298174 2 33 "GO:0008236" "serine-type peptidase activity" 0.967618203548299
54 0.282395757407341 2 59 "GO:0008237" "metallopeptidase activity" 0.801577181995425
314 0.00122776430606237 2 48 "GO:0008238" "exopeptidase activity" 0.0299980960113813
237 0.00648968329250049 2 57 "GO:0008270" "zinc ion binding" 0.0975948525910651
-47 0.607104642224849 2 17 "GO:0008276" "protein methyltransferase activity" 0.998047525412738
154 0.0129837175950438 2 110 "GO:0008289" "lipid binding" 0.127810963476438
87 0.318398158969231 2 15 "GO:0008307" "structural constituent of muscle" 0.841665664736852
1 0.492425539387448 4 161 "GO:0008324" "cation transmembrane transporter activity" 0.967618203548299
280 0.0785432557021897 5 13 "GO:0008374" "O-acyltransferase activity" 0.445078448979075
-69 0.640870562907579 2 14 "GO:0008375" "acetylglucosaminyltransferase activity" 0.998047525412738
202 0.0977305973006963 2 21 "GO:0008408" "3'-5' exonuclease activity" 0.502731199113096
222 0.00303532907006596 2 80 "GO:0008509" "anion transmembrane transporter activity" 0.0565149364950376
440 0.00834759330907537 3 15 "GO:0008513;GO:0015199;GO:0015651;GO:0015226" "secondary active organic cation transmembrane transporter activity" 0.103692887998184
263 0.0013042650439731 3 68 "GO:0008514" "organic anion transmembrane transporter activity" 0.0299980960113813
482 0.000607631346809455 2 23 "GO:0008519" "ammonium transmembrane transporter activity" 0.0223434175387397
-228 0.866140796985042 3 12 "GO:0008536" "Ran GTPase binding" 0.998047525412738
-275 0.967493501324401 2 23 "GO:0008565" "protein transporter activity" 0.998047525412738
29 0.406578716998412 2 35 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 0.935131049096348
27 0.417635602016687 2 31 "GO:0009055" "electron transfer activity" 0.949392560398399
-141 0.744355927639195 2 11 "GO:0009975" "cyclase activity" 0.998047525412738
-68 0.639883113965107 4 14 "GO:0015036" "disulfide oxidoreductase activity" 0.998047525412738
49 0.179243382352855 3 196 "GO:0015075" "ion transmembrane transporter activity" 0.72251713917491
-71 0.791524102335164 2 67 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 0.998047525412738
-411 0.993948446758616 3 19 "GO:0015078" "proton transmembrane transporter activity" 0.998047525412738
-232 0.940069196658099 2 23 "GO:0015079" "potassium ion transmembrane transporter activity" 0.998047525412738
32 0.382891146357831 2 44 "GO:0015081" "sodium ion transmembrane transporter activity" 0.908093105862863
-66 0.743144855792435 6 51 "GO:0015085" "calcium ion transmembrane transporter activity" 0.998047525412738
405 0.00193673274125469 2 26 "GO:0015101" "organic cation transmembrane transporter activity" 0.042070138990588
-68 0.672494311518843 2 22 "GO:0015103" "inorganic anion transmembrane transporter activity" 0.998047525412738
-4 0.507067050427037 5 12 "GO:0015108" "chloride transmembrane transporter activity" 0.967618203548299
437 5.76923173076205e-05 5 40 "GO:0015171" "amino acid transmembrane transporter activity" 0.0223434175387397
426 0.0294014369638694 6 10 "GO:0015175" "neutral amino acid transmembrane transporter activity" 0.234611466385162
543 0.000456307828988491 6 19 "GO:0015179" "L-amino acid transmembrane transporter activity" 0.0223434175387397
320 0.00453550973892484 3 34 "GO:0015238" "drug transmembrane transporter activity" 0.0709353723167845
62 0.326440937604473 2 27 "GO:0015276;GO:0022834" "ligand-gated ion channel activity" 0.841665664736852
214 0.00928197207144866 4 63 "GO:0015291" "secondary active transmembrane transporter activity" 0.103692887998184
180 0.0739597387646285 5 33 "GO:0015294;GO:0015293" "symporter activity" 0.438155422075299
-280 0.913537258762606 3 12 "GO:0015296" "anion:cation symporter activity" 0.998047525412738
28 0.445016863618146 5 12 "GO:0015297" "antiporter activity" 0.950316267086803
44 0.207207892221676 2 189 "GO:0015318" "inorganic molecular entity transmembrane transporter activity" 0.758109757598734
193 0.0662642114725439 3 31 "GO:0015370" "solute:sodium symporter activity" 0.414355119280419
-155 0.890023076091414 4 32 "GO:0015399;GO:0015405" "primary active transmembrane transporter activity" 0.998047525412738
235 0.0807382153234629 3 18 "GO:0015485;GO:0032934" "cholesterol binding" 0.450980602735343
497 0.0137290549002823 6 10 "GO:0015556" "C4-dicarboxylate transmembrane transporter activity" 0.127810963476438
46 0.304119145565867 2 65 "GO:0015631" "tubulin binding" 0.837398492367986
-517 0.994047962369774 4 12 "GO:0015662" "ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism" 0.998047525412738
-5 0.509075981330192 5 11 "GO:0015929" "hexosaminidase activity" 0.967618203548299
3 0.494995186441597 3 11 "GO:0015932" "nucleobase-containing compound transmembrane transporter activity" 0.967618203548299
-19 0.536423634948243 4 12 "GO:0016015" "morphogen activity" 0.973836310580353
416 0.00375281406840173 1 21 "GO:0016209" "antioxidant activity" 0.0611395958643782
-22 0.567689048962745 4 30 "GO:0016298" "lipase activity" 0.990648624717728
-68 0.891192082375668 4 181 "GO:0016301" "kinase activity" 0.998047525412738
78 0.353120133202076 3 12 "GO:0016405;GO:0016878" "CoA-ligase activity" 0.885063923602639
-191 0.849991419742651 5 15 "GO:0016407" "acetyltransferase activity" 0.998047525412738
-430 0.985212262904878 5 13 "GO:0016410" "N-acyltransferase activity" 0.998047525412738
77 0.0667631010605279 2 209 "GO:0016462" "pyrophosphatase activity" 0.414355119280419
79 0.0657994941132814 2 201 "GO:0016491" "oxidoreductase activity" 0.414355119280419
376 0.000186654565063101 2 46 "GO:0016597" "amino acid binding" 0.0223434175387397
270 0.00796181956717435 3 41 "GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.103692887998184
278 0.00906904098049214 2 37 "GO:0016616" "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" 0.103692887998184
64 0.377460423345013 4 12 "GO:0016620;GO:0016903" "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" 0.908093105862863
-105 0.678835493524748 2 10 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 0.998047525412738
35 0.425338966001451 2 15 "GO:0016645" "oxidoreductase activity, acting on the CH-NH group of donors" 0.95014281446873
-15 0.539723889933731 2 24 "GO:0016651" "oxidoreductase activity, acting on NAD(P)H" 0.973836310580353
133 0.234633121044214 2 15 "GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 0.770937397716703
-35 0.577173238624691 2 16 "GO:0016667" "oxidoreductase activity, acting on a sulfur group of donors" 0.994161833930635
-185 0.947063148164254 2 39 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 0.998047525412738
-247 0.939428939207921 2 20 "GO:0016706" "2-oxoglutarate-dependent dioxygenase activity" 0.998047525412738
60 0.276813338983924 3 51 "GO:0016741" "transferase activity, transferring one-carbon groups" 0.801577181995425
-128 0.884561024790665 3 45 "GO:0016746" "transferase activity, transferring acyl groups" 0.998047525412738
-140 0.886083960809226 2 38 "GO:0016747" "transferase activity, transferring acyl groups other than amino-acyl groups" 0.998047525412738
-150 0.949646231073881 3 62 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.998047525412738
-222 0.987009918334918 4 52 "GO:0016758" "transferase activity, transferring hexosyl groups" 0.998047525412738
116 0.286154985033107 4 12 "GO:0016763" "transferase activity, transferring pentosyl groups" 0.80493956221543
-56 0.619218499195757 3 15 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.998047525412738
20 0.463827479028564 3 11 "GO:0016769" "transferase activity, transferring nitrogenous groups" 0.950316267086803
-65 0.913964159006897 3 249 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.998047525412738
-62 0.86318657407448 2 168 "GO:0016773" "phosphotransferase activity, alcohol group as acceptor" 0.998047525412738
-4 0.517355512819529 2 61 "GO:0016779" "nucleotidyltransferase activity" 0.967618203548299
-1 0.501781415126007 3 11 "GO:0016782" "transferase activity, transferring sulfur-containing groups" 0.967618203548299
35 0.256615092153756 3 191 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.796321436762846
-90 0.708124412341136 2 19 "GO:0016790" "thiolester hydrolase activity" 0.998047525412738
-9 0.538295473561873 5 66 "GO:0016791" "phosphatase activity" 0.973836310580353
76 0.324814205791522 2 18 "GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 0.841665664736852
54 0.323321638886225 2 37 "GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.841665664736852
139 0.268631914154852 4 10 "GO:0016799" "hydrolase activity, hydrolyzing N-glycosyl compounds" 0.801577181995425
-39 0.639010283755455 2 42 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.998047525412738
-133 0.829483469128943 4 26 "GO:0016811" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides" 0.998047525412738
73 0.0772547075126032 3 210 "GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides" 0.445078448979075
146 0.0388493213628926 2 76 "GO:0016829" "lyase activity" 0.283734627003255
115 0.252265327360849 3 17 "GO:0016830" "carbon-carbon lyase activity" 0.789085943984736
283 0.00890361496201968 3 36 "GO:0016835" "carbon-oxygen lyase activity" 0.103692887998184
317 0.00847210838163593 2 29 "GO:0016836" "hydro-lyase activity" 0.103692887998184
9 0.463106340418751 2 52 "GO:0016853" "isomerase activity" 0.950316267086803
28 0.424764057268276 3 23 "GO:0016859" "cis-trans isomerase activity" 0.95014281446873
78 0.326273163713994 2 17 "GO:0016860" "intramolecular oxidoreductase activity" 0.841665664736852
-68 0.862928321756714 2 137 "GO:0016874" "ligase activity" 0.998047525412738
104 0.262153378361353 2 19 "GO:0016877" "ligase activity, forming carbon-sulfur bonds" 0.799673910773368
-162 0.984413356530926 2 93 "GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.998047525412738
-236 0.998047525412738 2 78 "GO:0016881" "acid-amino acid ligase activity" 0.998047525412738
