"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-538 0.996730978862825 3 11 "GO:0000049" "tRNA binding" 0.9999105008637
135 0.00137571211407247 2 234 "GO:0000166" "nucleotide binding" 0.0288090301535176
110 0.193617755739304 2 27 "GO:0000287" "magnesium ion binding" 0.456476298299286
216 0.0193097995426604 4 40 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.115843962228958
328 0.0042093500859197 6 28 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.049758212763119
396 0.00976477892633138 2 15 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.0820657005836308
253 0.00183181984244054 3 58 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.0326063931954416
295 0.032182042251899 7 17 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.162506565472001
122 0.0213497360999223 -1 126 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.118757907055818
125 0.0191911579423054 -1 125 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.115843962228958
-88 0.664600750282453 3 10 "GO:0001047" "core promoter binding" 0.941938814901281
225 0.00168023505365242 2 75 "GO:0001067" "regulatory region nucleic acid binding" 0.0314822989000138
11 0.461025192643423 -1 34 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.756336260742206
498 0.00225739365966423 2 14 "GO:0001085" "RNA polymerase II transcription factor binding" 0.0365287337654757
255 0.0887325766300812 2 12 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.274112599049965
371 0.0368778176058816 -1 10 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.174464636079121
57 0.359494947014128 3 17 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.673580005984366
68 0.302145177561064 2 25 "GO:0001664" "G protein-coupled receptor binding" 0.607704424925078
192 4.15733657780971e-05 3 197 "GO:0001882;GO:0001883" "purine nucleoside binding" 0.00370002955425064
119 0.00447264833825789 2 228 "GO:0003677" "DNA binding" 0.049758212763119
202 0.164460789700417 5 10 "GO:0003678" "DNA helicase activity" 0.414682185219008
19 0.401462786442528 2 74 "GO:0003682" "chromatin binding" 0.713400737982764
196 0.00918844846561351 2 64 "GO:0003690" "double-stranded DNA binding" 0.0820585921013511
94 0.0390423687251902 2 161 "GO:0003700" "DNA-binding transcription factor activity" 0.175937762862882
110 0.0376651171542255 2 118 "GO:0003712" "transcription coregulator activity" 0.174464636079121
106 0.0978570405150089 2 66 "GO:0003713" "transcription coactivator activity" 0.283228507506855
154 0.0547251943607196 2 47 "GO:0003714" "transcription corepressor activity" 0.208105102771261
-117 0.995024849513338 2 230 "GO:0003723" "RNA binding" 0.9999105008637
-76 0.715147352873395 2 24 "GO:0003724" "RNA helicase activity" 0.974061648711892
184 0.17597079540564 3 11 "GO:0003725" "double-stranded RNA binding" 0.426160565744271
-121 0.822011660345986 3 25 "GO:0003727" "single-stranded RNA binding" 0.9999105008637
-50 0.775297771475435 3 102 "GO:0003729" "mRNA binding" 0.9999105008637
255 0.0377353285901469 2 21 "GO:0003730" "mRNA 3'-UTR binding" 0.174464636079121
-263 0.999107297018398 2 62 "GO:0003735" "structural constituent of ribosome" 0.9999105008637
278 0.0172249378123204 4 25 "GO:0003743" "translation initiation factor activity" 0.109501390378323
5 0.489853217238872 4 12 "GO:0003756;GO:0016864;GO:0016862" "intramolecular oxidoreductase activity, interconverting keto- and enol-groups" 0.775056645942393
209 0.0324100172711013 2 34 "GO:0003774" "motor activity" 0.162506565472001
120 0.191627221689943 5 23 "GO:0003777" "microtubule motor activity" 0.454795272810798
243 0.000631221432022425 2 78 "GO:0003779" "actin binding" 0.0160510592714274
124 0.0494829626355345 2 79 "GO:0003924" "GTPase activity" 0.202482008025865
-76 0.711030845051498 2 23 "GO:0004004;GO:0008186" "ATP-dependent RNA helicase activity" 0.974061648711892
50 0.218670340635339 2 107 "GO:0004175" "endopeptidase activity" 0.486541507913629
86 0.264742808600009 3 23 "GO:0004197" "cysteine-type endopeptidase activity" 0.557683076104161
-58 0.634753374444055 -1 15 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.930022660751524
109 0.195409879753625 2 27 "GO:0004222" "metalloendopeptidase activity" 0.457670507844016
-147 0.806517129770151 2 15 "GO:0004252" "serine-type endopeptidase activity" 0.9999105008637
16 0.444367423716282 2 33 "GO:0004386" "helicase activity" 0.742698604896697
-125 0.790924086059518 2 18 "GO:0004497" "monooxygenase activity" 0.9999105008637
-359 0.989712344810272 4 18 "GO:0004518" "nuclease activity" 0.9999105008637
-55 0.604946778940828 2 10 "GO:0004519" "endonuclease activity" 0.901092273234037
-258 0.922182220120025 2 13 "GO:0004540" "ribonuclease activity" 0.9999105008637
-323 0.967113869012564 4 14 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.9999105008637
-122 0.740605711429075 2 12 "GO:0004620" "phospholipase activity" 0.987474281905433
81 0.0688890326296989 2 154 "GO:0004672" "protein kinase activity" 0.240436231531106
171 0.0049197352890883 4 102 "GO:0004674" "protein serine/threonine kinase activity" 0.0515125224386893
110 0.196988789767592 -1 26 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0.458353001027861
102 0.295692401020581 4 12 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.604979854961648
15 0.439122027101139 3 47 "GO:0004713" "protein tyrosine kinase activity" 0.737393592679271
19 0.436006411828908 2 30 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity" 0.735631671142613
73 0.237160287267067 2 42 "GO:0004721" "phosphoprotein phosphatase activity" 0.514811355287048
-116 0.807136197764022 2 24 "GO:0004722" "protein serine/threonine phosphatase activity" 0.9999105008637
213 0.104355889628085 2 15 "GO:0004725" "protein tyrosine phosphatase activity" 0.292474142546624
-297 0.941458739130747 3 12 "GO:0004812;GO:0016875" "ligase activity, forming carbon-oxygen bonds" 0.9999105008637
99 0.075445928901944 2 95 "GO:0004842" "ubiquitin-protein transferase activity" 0.2510163615803
-269 0.962601740910123 3 19 "GO:0004843;GO:0036459;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.9999105008637
281 0.00357039291784523 3 40 "GO:0004857" "enzyme inhibitor activity" 0.0438296509914794
177 0.166097757709505 2 13 "GO:0004860" "protein kinase inhibitor activity" 0.414682185219008
460 0.00330613537089581 2 15 "GO:0004866;GO:0030414" "endopeptidase inhibitor activity" 0.0435920071125522
80 0.0433046970650335 -1 215 "GO:0004871" "obsolete signal transducer activity" 0.183529430418475
113 0.0440037615736615 3 102 "GO:0004888" "transmembrane signaling receptor activity" 0.184298107296747
