"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-187 0.835091612991691 4 14 "GO:0000049" "tRNA binding" 0.997689384912649
220 0.154366894535132 2 11 "GO:0000149" "SNARE binding" 0.415521846248677
53 0.14708669644173 3 224 "GO:0000166;GO:1901265" "nucleotide binding" 0.407718658825783
-369 0.955815715188435 2 11 "GO:0000175" "3'-5'-exoribonuclease activity" 0.999999999301108
436 0.0272430183486903 4 10 "GO:0000217" "DNA secondary structure binding" 0.170847843069007
98 0.217700328455426 5 33 "GO:0000287" "magnesium ion binding" 0.509263268351086
138 0.132784197444672 2 34 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.398352592334016
235 0.0449159999443635 6 27 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.241967573307689
336 0.0459153964946662 2 13 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.241967573307689
55 0.297930396220194 3 49 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.603539410899671
380 0.0238604440235178 3 14 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.159723386220408
-87 0.8988496276081 -1 116 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.999999999301108
-79 0.877070112837451 -1 115 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.999999999301108
291 0.0123222425134879 2 31 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.0990928083425
-285 0.981789421675865 -1 28 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.999999999301108
4 0.492674074189296 3 10 "GO:0001085" "RNA polymerase II transcription factor binding" 0.834572892915488
-141 0.776447121675509 3 15 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.993283234863829
-222 0.8363356499797 4 10 "GO:0001653;GO:0008528" "G protein-coupled peptide receptor activity" 0.997689384912649
305 0.0398816523187457 3 17 "GO:0001664" "G protein-coupled receptor binding" 0.230492490606869
71 0.116279828496818 2 156 "GO:0001882" "nucleoside binding" 0.392470050612976
63 0.144300539138087 2 155 "GO:0001883" "purine nucleoside binding" 0.407693263058735
17 0.450749068347387 2 27 "GO:0003678" "DNA helicase activity" 0.784493171446452
197 0.00373506097086433 2 98 "GO:0003682" "chromatin binding" 0.0545351946570587
167 0.143220365295573 4 21 "GO:0003684" "damaged DNA binding" 0.407693263058735
248 0.00130428996884045 2 78 "GO:0003690" "double-stranded DNA binding" 0.0374046307338708
201 0.0854816768643035 4 24 "GO:0003697" "single-stranded DNA binding" 0.35362420008075
-11 0.567324146645871 2 120 "GO:0003700" "DNA-binding transcription factor activity" 0.881258457042796
-89 0.897044276686953 2 109 "GO:0003712" "transcription coregulator activity" 0.999999999301108
-88 0.837355323863142 3 66 "GO:0003713" "transcription coactivator activity" 0.997689384912649
-71 0.720273356577568 3 35 "GO:0003714" "transcription corepressor activity" 0.959550607237235
-181 0.999116376813267 2 164 "GO:0003723" "RNA binding" 0.999999999301108
227 0.0653496080003146 2 23 "GO:0003724" "RNA helicase activity" 0.298632510978182
34 0.421113280299147 3 18 "GO:0003725" "double-stranded RNA binding" 0.762661378606289
-92 0.720163019363502 3 21 "GO:0003727" "single-stranded RNA binding" 0.959550607237235
-110 0.875725951046495 4 58 "GO:0003729" "mRNA binding" 0.999999999301108
-193 0.833321619376667 2 13 "GO:0003730" "mRNA 3'-UTR binding" 0.997689384912649
-738 0.999999999301108 2 35 "GO:0003735" "structural constituent of ribosome" 0.999999999301108
-320 0.946056169218864 5 13 "GO:0003743" "translation initiation factor activity" 0.999999999301108
-297 0.960008192073414 3 18 "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 0.999999999301108
297 0.00318287021259075 7 44 "GO:0003774" "motor activity" 0.0521194997311735
326 0.00337082118600562 2 36 "GO:0003777" "microtubule motor activity" 0.0529893090440084
-121 0.89911693636143 3 58 "GO:0003779" "actin binding" 0.999999999301108
-161 0.771816848837327 2 11 "GO:0003823" "antigen binding" 0.993283234863829
9 0.477164189234192 2 22 "GO:0003887" "DNA-directed DNA polymerase activity" 0.818888761436845
-101 0.672621023368817 2 10 "GO:0003896" "DNA primase activity" 0.94745542001414
