"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-167 0.803733800195876 3 11 "GO:0000149" "SNARE binding" 0.999962222902602
57 0.317826884551624 5 29 "GO:0000287" "magnesium ion binding" 0.698382759475279
152 0.0812146757663864 2 36 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.402302984549886
251 0.0292208395979084 3 24 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.22697117269073
255 0.0783593368302304 2 13 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.402302984549886
41 0.324391796192246 2 54 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.698411094402913
214 0.100676894486663 3 15 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.430758872473257
123 0.0206291336535265 -1 122 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.191556334469431
118 0.0257260670259098 -1 120 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.213863251606944
111 0.0809857272913542 2 69 "GO:0001067" "regulatory region nucleic acid binding" 0.402302984549886
19 0.43816859805764 -1 29 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.768380499158174
220 0.110598637387576 2 13 "GO:0001085" "RNA polymerase II transcription factor binding" 0.439761248660124
300 0.0716932747452665 5 10 "GO:0001158;GO:0035326" "enhancer binding" 0.388753076439718
8 0.480890116880382 2 14 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.818027947204634
79 0.289652601084876 3 21 "GO:0001664" "G protein-coupled receptor binding" 0.662629923029785
179 0.000108339172816014 3 195 "GO:0001882;GO:0001883" "purine nucleoside binding" 0.0120617612401829
73 0.0581045818130336 3 217 "GO:0003677" "DNA binding" 0.346552327242022
30 0.432832061537794 3 13 "GO:0003678" "DNA helicase activity" 0.764898987056207
51 0.25641117362932 2 70 "GO:0003682" "chromatin binding" 0.625212314410961
111 0.0935380238145467 2 61 "GO:0003690" "double-stranded DNA binding" 0.422185134514305
4 0.474211489102212 2 150 "GO:0003700" "DNA-binding transcription factor activity" 0.816425965773911
142 0.0115492297495203 2 112 "GO:0003712" "transcription coregulator activity" 0.148363182166915
72 0.186492465112939 2 66 "GO:0003713" "transcription coactivator activity" 0.559899644487766
205 0.0174199723412623 2 45 "GO:0003714" "transcription corepressor activity" 0.176311235211564
-73 0.941972426068958 3 217 "GO:0003723" "RNA binding" 0.999962222902602
-39 0.621255846118564 4 26 "GO:0003724" "RNA helicase activity" 0.965654399626324
-76 0.70070376919912 2 20 "GO:0003727" "single-stranded RNA binding" 0.999962222902602
-83 0.895316755046015 4 100 "GO:0003729" "mRNA binding" 0.999962222902602
297 0.0262512181657166 2 18 "GO:0003730" "mRNA 3'-UTR binding" 0.213863251606944
-329 0.999962222902602 2 62 "GO:0003735" "structural constituent of ribosome" 0.999962222902602
363 0.00307769138616114 2 24 "GO:0003743" "translation initiation factor activity" 0.0717539529325407
-129 0.754914389024392 3 12 "GO:0003756;GO:0016864;GO:0016862" "protein disulfide isomerase activity" 0.999962222902602
44 0.347655231216674 3 34 "GO:0003774" "motor activity" 0.707795993807275
-88 0.745918988555514 2 24 "GO:0003777" "microtubule motor activity" 0.999962222902602
101 0.109662078417248 2 64 "GO:0003779" "actin binding" 0.439761248660124
111 0.0680311678585904 3 78 "GO:0003924" "GTPase activity" 0.383631196734162
-63 0.685912716197948 5 25 "GO:0004004;GO:0008186" "RNA-dependent ATPase activity" 0.999962222902602
110 0.0441118953761609 2 106 "GO:0004175" "endopeptidase activity" 0.286947671842291
59 0.33605955972322 3 22 "GO:0004197" "cysteine-type endopeptidase activity" 0.701524330922222
-119 0.745750776144252 -1 13 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.999962222902602
164 0.0992834503447989 4 26 "GO:0004222" "metalloendopeptidase activity" 0.430758872473257
-235 0.937523259962178 3 18 "GO:0004252;GO:0008236" "serine-type peptidase activity" 0.999962222902602
-102 0.836136349591198 2 39 "GO:0004386" "helicase activity" 0.999962222902602
20 0.444230152592933 2 20 "GO:0004497" "monooxygenase activity" 0.770184135800805
-320 0.972161114062135 4 15 "GO:0004518" "nuclease activity" 0.999962222902602
-253 0.911967913405143 2 12 "GO:0004540" "ribonuclease activity" 0.999962222902602
-146 0.807734042670502 4 15 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.999962222902602
-353 0.975319120552356 2 13 "GO:0004620" "phospholipase activity" 0.999962222902602
129 0.0105842524747 3 143 "GO:0004672" "protein kinase activity" 0.147297513606242
182 0.00290774498557434 2 100 "GO:0004674" "protein serine/threonine kinase activity" 0.0717539529325407
309 0.00996167164879483 -1 24 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0.144660796986847
420 0.0123329907936591 2 12 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.148932473546083
35 0.371448975462618 2 38 "GO:0004713" "protein tyrosine kinase activity" 0.729669328579868
87 0.255508152622438 2 24 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity" 0.625212314410961
-55 0.692160357863358 4 35 "GO:0004721" "phosphoprotein phosphatase activity" 0.999962222902602
-27 0.573694132944459 2 20 "GO:0004722" "protein serine/threonine phosphatase activity" 0.912446859064044
-230 0.89069644796762 2 12 "GO:0004725" "protein tyrosine phosphatase activity" 0.999962222902602
46 0.258221750952282 2 87 "GO:0004842" "ubiquitin-protein transferase activity" 0.625212314410961
-290 0.971005174421786 5 18 "GO:0004843;GO:0036459;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.999962222902602
228 0.0126499091718386 2 41 "GO:0004857" "enzyme inhibitor activity" 0.148932473546083
165 0.179944671757398 3 13 "GO:0004860;GO:0019210" "kinase inhibitor activity" 0.559899644487766
461 0.00389669623091771 2 14 "GO:0004866;GO:0030414" "endopeptidase inhibitor activity" 0.0765586200662656
62 0.101886080614932 -1 193 "GO:0004871" "obsolete signal transducer activity" 0.430758872473257
36 0.303890889795414 2 89 "GO:0004888" "transmembrane signaling receptor activity" 0.690473178174614
112 0.198714151433671 3 24 "GO:0004930" "G protein-coupled receptor activity" 0.561396895631721
236 0.0129312626731629 -1 38 "GO:0005057" "obsolete signal transducer activity, downstream of receptor" 0.148932473546083
37 0.415322111819635 4 14 "GO:0005070" "SH3/SH2 adaptor activity" 0.745793469611603
390 0.0184381514765459 6 12 "GO:0005080" "protein kinase C binding" 0.181127723328422
-71 0.760813864058172 3 43 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.999962222902602
-75 0.743620286494324 2 32 "GO:0005088" "Ras guanyl-nucleotide exchange factor activity" 0.999962222902602
-381 0.992270355274758 3 17 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 0.999962222902602
127 0.106656654656702 3 41 "GO:0005096" "GTPase activator activity" 0.439761248660124
64 0.127627721343141 2 139 "GO:0005102" "signaling receptor binding" 0.478962459872012
147 0.236140372146717 2 10 "GO:0005109" "frizzled binding" 0.61140220385274
122 0.266170428381439 4 11 "GO:0005126" "cytokine receptor binding" 0.63500659342429
249 0.0619617622338555 3 16 "GO:0005178" "integrin binding" 0.363074185721188
