"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
408 0.301597647979328 3 12 "GO:0000030" "mannosyltransferase activity" 0.570310817207016
-372 0.212653763050905 2 21 "GO:0000049" "tRNA binding" 0.467904816686526
227 0.50658488427351 2 16 "GO:0000062" "fatty-acyl-CoA binding" 0.749992743302489
254 0.557393321483075 2 10 "GO:0000146" "microfilament motor activity" 0.779788819620221
-168 0.565042847475717 3 22 "GO:0000149" "SNARE binding" 0.780547411864645
219 0.00102497069707947 2 463 "GO:0000166" "nucleotide binding" 0.0151745661738351
-574 0.116199528999477 2 14 "GO:0000175" "3'-5'-exoribonuclease activity" 0.319154362455577
-1097 0.0111573786223633 2 10 "GO:0000217" "DNA secondary structure binding" 0.0815967328165605
245 0.159902056644727 5 62 "GO:0000287" "magnesium ion binding" 0.392001074721348
109 0.8011843363422 4 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.913683164282311
176 0.284512065188704 2 70 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.545383873753562
54 0.779787953793408 4 51 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.899869368731176
-60 0.823348112233626 8 26 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.913683164282311
315 0.424802390211979 2 12 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.69210852748414
121 0.372826636213485 3 103 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.6356540452773
-25 0.921728504190427 4 29 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.95639179836511
80 0.379150597391962 -1 238 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.641070787233763
72 0.428805111856692 -1 235 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.695171130174249
-60 0.744835934751477 2 55 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.886500808615974
-470 0.156594419800845 6 17 "GO:0001047" "core promoter binding" 0.386393548045174
65 0.584854070696395 3 134 "GO:0001067" "regulatory region nucleic acid binding" 0.784918098291418
-67 0.712102997105425 -1 57 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.881786932436408
235 0.410108872617762 4 23 "GO:0001085" "RNA polymerase II transcription factor binding" 0.678299960978151
58 0.888655024485962 3 11 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.948002811709981
238 0.461247947400294 3 18 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.726208067015009
408 0.248302210717543 -1 15 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.512651162944043
