"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-378 0.977371824805537 2 11 "GO:0000149" "SNARE binding" 0.998965818842131
202 0.0323691634007897 2 33 "GO:0000287" "magnesium ion binding" 0.294666201563066
145 0.0721889754190456 2 40 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.431695742766569
181 0.0673370817830514 2 27 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.428678623751522
152 0.190365473954893 2 13 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.614990117218467
120 0.089443109713289 3 50 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.454486342181294
141 0.192051729891895 2 15 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.614990117218467
127 0.0193145358539006 -1 108 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.231774430246807
135 0.0149564605590225 -1 106 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.19277215831629
49 0.259230739716249 2 70 "GO:0001067" "regulatory region nucleic acid binding" 0.731979656470046
-56 0.665487152397079 -1 23 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.969711839967591
133 0.240395988844555 3 11 "GO:0001085" "RNA polymerase II transcription factor binding" 0.708964441677162
43 0.401811730351904 4 13 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.827399302736465
-241 0.964391393075754 3 22 "GO:0001664" "G protein-coupled receptor binding" 0.998965818842131
188 3.64717799559052e-05 2 191 "GO:0001882;GO:0001883" "nucleoside binding" 0.00280234780153386
70 0.0595328380647855 2 214 "GO:0003677" "DNA binding" 0.423670953059498
22 0.437961239897517 2 19 "GO:0003678" "DNA helicase activity" 0.874415286821477
-122 0.940298331503785 2 65 "GO:0003682" "chromatin binding" 0.998965818842131
115 0.0756708054849445 4 63 "GO:0003690" "double-stranded DNA binding" 0.431695742766569
256 0.0785977367700571 4 12 "GO:0003697" "single-stranded DNA binding" 0.43846145026632
68 0.113694399726103 2 130 "GO:0003700" "DNA-binding transcription factor activity" 0.507302808282023
114 0.0377681904506387 2 99 "GO:0003712" "transcription coregulator activity" 0.312936435162435
74 0.181594579525359 2 60 "GO:0003713" "transcription coactivator activity" 0.614990117218467
152 0.063613485059056 2 40 "GO:0003714" "transcription corepressor activity" 0.42391986278649
50 0.156437950059986 2 173 "GO:0003723" "RNA binding" 0.585380716353496
2 0.493520848629319 2 19 "GO:0003724" "RNA helicase activity" 0.900069875778774
-113 0.772218383310194 4 17 "GO:0003727" "single-stranded RNA binding" 0.998965818842131
45 0.267863632887334 3 76 "GO:0003729" "mRNA binding" 0.733988537360569
269 0.0277224924747139 2 20 "GO:0003730" "mRNA 3'-UTR binding" 0.29177119873776
-103 0.911623943648753 2 69 "GO:0003735" "structural constituent of ribosome" 0.998965818842131
412 0.0144867187948621 5 11 "GO:0003743" "translation initiation factor activity" 0.19277215831629
-234 0.881853457640518 3 10 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.998965818842131
-26 0.563478465658052 4 15 "GO:0003756;GO:0016864;GO:0016862" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.920302041143124
117 0.115162436415633 6 42 "GO:0003774" "motor activity" 0.507302808282023
65 0.278027626539458 2 32 "GO:0003777" "microtubule motor activity" 0.747371661031178
-11 0.558820338371463 2 69 "GO:0003779" "actin binding" 0.920302041143124
209 0.00208359912347897 6 76 "GO:0003924" "GTPase activity" 0.0522849350035569
-10 0.521157475694319 2 10 "GO:0004003" "ATP-dependent DNA helicase activity" 0.900069875778774
-44 0.613720672655826 3 17 "GO:0004004;GO:0008186" "RNA-dependent ATPase activity" 0.93179326021289
9 0.450024889035821 4 86 "GO:0004175" "endopeptidase activity" 0.875479261577474
-213 0.859184419885496 5 10 "GO:0004177" "aminopeptidase activity" 0.998965818842131
297 0.0170428925136851 2 20 "GO:0004197" "cysteine-type endopeptidase activity" 0.211818806955801
-125 0.735936167641407 -1 10 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.998965818842131
