"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
617 0.179335933007255 2 14 "GO:0000030" "mannosyltransferase activity" 0.403650009984175
-286 0.415877306471989 2 24 "GO:0000049" "tRNA binding" 0.631347237397582
-1097 0.00856379940598168 6 17 "GO:0000062" "fatty-acyl-CoA binding" 0.0565533923036526
-174 0.748927356366965 2 10 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.858018247883593
-752 0.129831314226531 2 12 "GO:0000146" "microfilament motor activity" 0.3252583599179
-358 0.318453353514698 2 23 "GO:0000149" "SNARE binding" 0.551984500365588
-110 0.15669613972056 2 541 "GO:0000166" "nucleotide binding" 0.36562432601464
818 0.0749927644879421 2 14 "GO:0000175" "3'-5'-exoribonuclease activity" 0.22871548061446
1743 0.000771703026163606 5 11 "GO:0000217" "DNA secondary structure binding" 0.0125626074026634
13 0.947890075789207 2 71 "GO:0000287" "magnesium ion binding" 0.977168686167587
275 0.613228933240515 5 10 "GO:0000339" "RNA cap binding" 0.782356971688361
212 0.697150212990326 2 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.837058574773976
-595 0.00117087937118757 2 89 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.016392311196626
-667 0.00158286193700436 3 67 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.0197857742125545
-353 0.225113018690884 2 35 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.452265488430455
-837 0.059259523677539 4 15 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.195668238557912
-292 0.0582297286572559 2 127 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.194099095524186
-419 0.133782606071226 7 38 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.329745860034712
-327 0.00238041175800891 -1 267 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.0260357536032224
-332 0.00215030482244989 -1 264 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.0242776350921762
-551 0.00677556144229134 2 72 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.0504563086128079
-421 0.274282053205244 2 20 "GO:0001047" "core promoter binding" 0.510631482031039
-161 0.240549218669252 2 161 "GO:0001067" "regulatory region nucleic acid binding" 0.469037473728347
-813 9.16732695072561e-05 -1 69 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.00336567693250486
-765 0.0293246589448959 2 24 "GO:0001085" "RNA polymerase II transcription factor binding" 0.129102272084447
-183 0.72350420951933 2 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.846911282046039
-538 0.15195002430934 6 21 "GO:0001158;GO:0035326" "enhancer binding" 0.358131370426054
-821 0.0327354744959162 -1 20 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.138877770588735
