"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
888 0.0482362793343757 2 14 "GO:0000030" "mannosyltransferase activity" 0.24661540110364
-768 0.0254808254220195 2 24 "GO:0000049" "tRNA binding" 0.19432629497672
-1399 0.000607496264593314 3 17 "GO:0000062" "fatty-acyl-CoA binding" 0.03513353396898
-966 0.0465973339590339 3 12 "GO:0000146" "microfilament motor activity" 0.246203509178673
-437 0.2129369855599 2 23 "GO:0000149" "SNARE binding" 0.497569925853773
-27 0.726689945264228 3 531 "GO:0000166" "nucleotide binding" 0.891029720871686
513 0.254360919222591 4 14 "GO:0000175" "3'-5'-exoribonuclease activity" 0.54315839366301
1713 0.00127583096441334 2 10 "GO:0000217" "DNA secondary structure binding" 0.0442713344651429
-30 0.882982572929436 5 71 "GO:0000287" "magnesium ion binding" 0.975780104479345
-369 0.48820673000595 2 10 "GO:0000339" "RNA cap binding" 0.73655537092202
331 0.533587806702517 2 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.768277879360056
110 0.544865573395495 2 87 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.777469651434778
185 0.37494139474626 3 66 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.636386936760139
55 0.84747641385333 4 35 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.950712666930198
-435 0.316621851275795 4 15 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.595489335461793
282 0.0631174695279465 2 125 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.283745518795023
92 0.735767645563162 3 38 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.894260500912144
-228 0.0311046605946969 -1 264 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.211633671105095
-232 0.0293516627110401 -1 261 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.207857693076141
243 0.225399132877856 2 71 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.512875403990925
295 0.444283394257657 2 19 "GO:0001047" "core promoter binding" 0.704516249140867
176 0.194775415166362 3 158 "GO:0001067" "regulatory region nucleic acid binding" 0.477647131185354
-403 0.0495221662782039 -1 68 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.247254556813478
-201 0.558365632255309 2 24 "GO:0001085" "RNA polymerase II transcription factor binding" 0.78442459268256
727 0.151806897096968 3 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.411735105521667
-262 0.476367976134428 2 21 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.731414547427639
-506 0.179163862343107 -1 20 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.457131325243074
-58 0.898071817703933 -1 14 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.985705769822473
575 0.185903025335886 4 15 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.467451810083713
725 0.0109687943928009 4 35 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.120830846168315
-187 0.712293320448593 2 11 "GO:0001530" "lipopolysaccharide binding" 0.87803119785315
-521 0.0900349413437614 2 30 "GO:0001653;GO:0008528" "peptide receptor activity" 0.320579680262102
261 0.299886244716405 4 45 "GO:0001664" "G protein-coupled receptor binding" 0.579724383936449
-149 0.769527529419958 2 11 "GO:0001786" "phosphatidylserine binding" 0.912909581910172
-103 0.235326250856172 2 406 "GO:0001882" "nucleoside binding" 0.520115981191667
-106 0.221164656892465 2 404 "GO:0001883" "purine nucleoside binding" 0.506986035742541
710 0.0916339628503176 2 16 "GO:0002039" "p53 binding" 0.321181667768285
212 0.00387946920954647 3 581 "GO:0003677" "DNA binding" 0.0692502782869924
941 0.000154833453139335 3 46 "GO:0003678" "DNA helicase activity" 0.0179090694131164
465 0.000183722353083042 2 189 "GO:0003682" "chromatin binding" 0.0179969304047165
278 0.3589609684605 2 31 "GO:0003684" "damaged DNA binding" 0.621244169854332
302 0.019896900250728 4 173 "GO:0003690" "double-stranded DNA binding" 0.168395716756161
730 0.00842663708721206 2 37 "GO:0003697" "single-stranded DNA binding" 0.0958702645659864
145 0.131417484185211 2 325 "GO:0003700" "DNA-binding transcription factor activity" 0.386456500103968
-221 0.0445116116457959 2 244 "GO:0003712" "transcription coregulator activity" 0.243633104322034
-205 0.144335790451264 3 147 "GO:0003713" "transcription coactivator activity" 0.408635645234937
-146 0.418197914260909 2 88 "GO:0003714" "transcription corepressor activity" 0.682743404561096
-531 6.02855634707862e-10 3 413 "GO:0003723" "RNA binding" 4.18381810487256e-07
-233 0.27352184273074 2 63 "GO:0003724" "RNA helicase activity" 0.555041400161209
-109 0.737539498133353 4 27 "GO:0003725" "double-stranded RNA binding" 0.894846873609348
-618 0.015177501717823 2 44 "GO:0003727" "single-stranded RNA binding" 0.140442482562255
-558 1.89101076944146e-05 4 171 "GO:0003729" "mRNA binding" 0.00328090368498093
-259 0.377217531226479 5 33 "GO:0003730" "mRNA 3'-UTR binding" 0.638067170454965
-766 3.36762432405451e-06 2 106 "GO:0003735" "structural constituent of ribosome" 0.00116856564044692
-822 0.00179260333084671 3 41 "GO:0003743" "translation initiation factor activity" 0.0549339383302728
-970 0.0681638483595309 2 10 "GO:0003746" "translation elongation factor activity" 0.287334356049855
320 0.31511024520788 3 28 "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 0.59425682112573
719 0.0452862686708103 3 22 "GO:0003756;GO:0016864;GO:0016862" "protein disulfide isomerase activity" 0.243633104322034
-336 0.0643829392380311 2 87 "GO:0003774" "motor activity" 0.283745518795023
-341 0.0986793022760206 2 67 "GO:0003777" "microtubule motor activity" 0.333882363111412
-53 0.711811843747881 4 139 "GO:0003779" "actin binding" 0.87803119785315
-554 0.131382243028287 2 21 "GO:0003823" "antigen binding" 0.386456500103968
828 0.00811245689763209 2 29 "GO:0003887" "DNA-directed DNA polymerase activity" 0.0957400334469524
1361 0.00728670443442319 6 11 "GO:0003896" "DNA primase activity" 0.0897669172242194
458 0.102935634434166 5 36 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.333882363111412
-598 0.261302011912263 2 10 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.549526049294274
-307 0.0290045405108189 7 147 "GO:0003924" "GTPase activity" 0.207857693076141
-202 0.664679470894335 5 13 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.857411808179681
220 0.600488937362486 6 16 "GO:0003954;GO:0008137;GO:0050136" "NADH dehydrogenase (ubiquinone) activity" 0.812209891116295
1245 3.88056936076769e-05 3 31 "GO:0004003" "ATP-dependent DNA helicase activity" 0.00538623027274555
-360 0.101615595226505 2 59 "GO:0004004" "ATP-dependent RNA helicase activity" 0.333882363111412
312 0.521213619525214 2 12 "GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.759920697374997
222 0.66157586251645 7 11 "GO:0004114" "3',5'-cyclic-nucleotide phosphodiesterase activity" 0.856592627959732
-759 0.153659066758086 3 10 "GO:0004129;GO:0015002;GO:0016676" "heme-copper terminal oxidase activity" 0.411735105521667
-237 0.0266493411645542 2 259 "GO:0004175" "endopeptidase activity" 0.195104575358107
66 0.806168651663285 2 39 "GO:0004177" "aminopeptidase activity" 0.9278292607866
680 0.0245720581063211 2 31 "GO:0004180" "carboxypeptidase activity" 0.189788986233776
863 0.0219477014099923 3 20 "GO:0004181" "metallocarboxypeptidase activity" 0.175077066419939
-625 0.00517660052461008 2 57 "GO:0004197" "cysteine-type endopeptidase activity" 0.0708594093788424
-624 0.0640375284755566 -1 25 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.283745518795023
220 0.199162344018277 2 98 "GO:0004222" "metalloendopeptidase activity" 0.485523664485311
132 0.557469118314287 3 56 "GO:0004252" "serine-type endopeptidase activity" 0.78442459268256
-741 0.163615687920257 2 10 "GO:0004300" "enoyl-CoA hydratase activity" 0.431746339987294
-769 0.113164227111521 4 12 "GO:0004322;GO:0016724" "oxidoreductase activity, oxidizing metal ions, oxygen as acceptor" 0.356701184382578
515 0.252177933861774 2 14 "GO:0004383" "guanylate cyclase activity" 0.541524503195464
232 0.15298264743112 2 109 "GO:0004386" "helicase activity" 0.411735105521667
111 0.819303125254671 2 12 "GO:0004402" "histone acetyltransferase activity" 0.935710050491162
-282 0.442818218403258 2 21 "GO:0004407" "histone deacetylase activity" 0.704516249140867
16 0.945937563538062 2 54 "GO:0004497" "monooxygenase activity" 0.994667680447599
-1173 0.0119444996595062 5 13 "GO:0004500" "dopamine beta-monooxygenase activity" 0.123723623338766
359 0.040086964858761 4 94 "GO:0004518" "nuclease activity" 0.239830634586036
359 0.0971154422987247 5 61 "GO:0004519" "endonuclease activity" 0.333654044333242
513 0.127912956036027 2 25 "GO:0004520" "endodeoxyribonuclease activity" 0.380985917974999
358 0.22898877556859 2 32 "GO:0004521" "endoribonuclease activity" 0.514665284210928
584 0.0326629129964255 5 38 "GO:0004527" "exonuclease activity" 0.220078268150673
516 0.193599335761784 2 18 "GO:0004532" "exoribonuclease activity" 0.476446592264816
324 0.276877873241209 2 32 "GO:0004536" "deoxyribonuclease activity" 0.556965924722896
427 0.0706800079320954 3 51 "GO:0004540" "ribonuclease activity" 0.287334356049855
