"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-57 0.613936794028592 2 17 "GO:0000049" "tRNA binding" 0.999957247900715
116 0.287909372601037 2 15 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 0.900807355183548
-31 0.552774250910904 3 12 "GO:0000149" "SNARE binding" 0.999957247900715
18 0.366931152487854 3 257 "GO:0000166" "nucleotide binding" 0.953193415972324
235 0.0500449512690034 4 32 "GO:0000287" "magnesium ion binding" 0.613932631916721
222 0.047306245930434 3 37 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.613932631916721
185 0.116781531436623 2 27 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.683779178450847
478 0.0108331441047723 2 15 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.486227087528418
187 0.0551731674306804 2 48 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.613932631916721
425 0.0173989218249433 2 16 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.486227087528418
168 0.00809196158020854 -1 140 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.486227087528418
165 0.0090984643983508 -1 139 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.486227087528418
138 0.179251755260492 3 29 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.744137046420336
116 0.123799942527983 2 66 "GO:0001067" "regulatory region nucleic acid binding" 0.683779178450847
213 0.0498837878120203 -1 39 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.613932631916721
192 0.19501185939159 4 13 "GO:0001085" "RNA polymerase II transcription factor binding" 0.745739795636358
108 0.335917557269795 5 10 "GO:0001158;GO:0035326" "enhancer binding" 0.947303551015939
199 0.206588020023947 -1 11 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.775644111544455
-44 0.572419567040841 2 11 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.999957247900715
11 0.474891535227022 3 20 "GO:0001653;GO:0008528" "peptide receptor activity" 0.999957247900715
-92 0.707660195524906 2 23 "GO:0001664" "G protein-coupled receptor binding" 0.999957247900715
67 0.128809904341008 2 199 "GO:0001882" "nucleoside binding" 0.695657440885425
69 0.12175898398253 3 198 "GO:0001883" "purine nucleoside binding" 0.683779178450847
72 0.0887379760784174 3 252 "GO:0003677" "DNA binding" 0.642961124919059
-26 0.543039368384666 2 11 "GO:0003678" "DNA helicase activity" 0.999957247900715
-206 0.984306448609303 2 72 "GO:0003682" "chromatin binding" 0.999957247900715
230 0.161370325659499 2 12 "GO:0003684" "damaged DNA binding" 0.725964659209097
90 0.177811363621471 5 70 "GO:0003690" "double-stranded DNA binding" 0.744137046420336
-417 0.969028738464266 4 13 "GO:0003697" "single-stranded DNA binding" 0.999957247900715
103 0.0729330143863494 2 136 "GO:0003700" "DNA-binding transcription factor activity" 0.640787954518616
145 0.0222458631943563 2 130 "GO:0003712" "transcription coregulator activity" 0.486227087528418
99 0.142330665136817 3 78 "GO:0003713" "transcription coactivator activity" 0.699422530810455
161 0.0865623028312704 2 47 "GO:0003714" "transcription corepressor activity" 0.640951486853042
-14 0.6072135936304 3 259 "GO:0003723" "RNA binding" 0.999957247900715
69 0.31034000580444 7 34 "GO:0003724;GO:0004004" "ATP-dependent RNA helicase activity" 0.947303551015939
-131 0.720915162776417 2 13 "GO:0003725" "double-stranded RNA binding" 0.999957247900715
-113 0.78160180823187 4 31 "GO:0003727" "single-stranded RNA binding" 0.999957247900715
110 0.0829702936560194 2 106 "GO:0003729" "mRNA binding" 0.640951486853042
98 0.302812720385508 5 18 "GO:0003730" "mRNA 3'-UTR binding" 0.933295921785185
-348 0.999957247900715 2 85 "GO:0003735" "structural constituent of ribosome" 0.999957247900715
248 0.0519036625655282 2 28 "GO:0003743" "translation initiation factor activity" 0.613932631916721
-707 0.998826861990712 3 12 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.999957247900715
108 0.165700086710573 2 53 "GO:0003774" "motor activity" 0.725964659209097
132 0.148163644327324 3 41 "GO:0003777" "microtubule motor activity" 0.700574407515569
-82 0.801602175407808 4 71 "GO:0003779" "actin binding" 0.999957247900715
-416 0.980530700051172 2 16 "GO:0003823" "antigen binding" 0.999957247900715
-392 0.954089887883972 3 12 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.999957247900715
216 0.00877924981540872 2 80 "GO:0003924" "GTPase activity" 0.486227087528418
-17 0.597652353664428 2 138 "GO:0004175" "endopeptidase activity" 0.999957247900715
-378 0.982053735621694 3 20 "GO:0004177" "aminopeptidase activity" 0.999957247900715
-221 0.81850437028776 6 11 "GO:0004180" "carboxypeptidase activity" 0.999957247900715
298 0.0157965869645396 2 34 "GO:0004197" "cysteine-type endopeptidase activity" 0.486227087528418
358 0.0543828085582832 -1 13 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.613932631916721
-286 0.988965552162791 3 42 "GO:0004222" "metalloendopeptidase activity" 0.999957247900715
-98 0.72830456922597 4 25 "GO:0004252" "serine-type endopeptidase activity" 0.999957247900715
81 0.249166985981497 7 46 "GO:0004386" "helicase activity" 0.855632562776161
-250 0.858949256627632 3 12 "GO:0004407" "histone deacetylase activity" 0.999957247900715
-157 0.860165383480636 3 31 "GO:0004497" "monooxygenase activity" 0.999957247900715
-40 0.565623468694762 5 11 "GO:0004500" "dopamine beta-monooxygenase activity" 0.999957247900715
-169 0.891216987291417 4 35 "GO:0004518" "nuclease activity" 0.999957247900715
-198 0.885136122797977 2 24 "GO:0004519" "endonuclease activity" 0.999957247900715
-555 0.99351547246438 4 13 "GO:0004521" "endoribonuclease activity" 0.999957247900715
-233 0.820285561708117 2 10 "GO:0004527" "exonuclease activity" 0.999957247900715
-18 0.532468716808708 2 13 "GO:0004536" "deoxyribonuclease activity" 0.999957247900715
-491 0.995104305569333 2 18 "GO:0004540" "ribonuclease activity" 0.999957247900715
44 0.396857367167729 4 23 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.954333492963568
238 0.0835046451512259 5 22 "GO:0004620" "phospholipase activity" 0.640951486853042
206 0.18735882166535 2 12 "GO:0004623" "phospholipase A2 activity" 0.745739795636358
-87 0.918373365145643 3 175 "GO:0004672" "protein kinase activity" 0.999957247900715
-14 0.568799613588234 2 97 "GO:0004674" "protein serine/threonine kinase activity" 0.999957247900715
44 0.397999855046549 -1 22 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0.954333492963568
-97 0.825724652401905 2 62 "GO:0004713" "protein tyrosine kinase activity" 0.999957247900715
-146 0.895810864374866 4 49 "GO:0004714;GO:0019199" "transmembrane receptor protein tyrosine kinase activity" 0.999957247900715
-108 0.813976447810287 3 45 "GO:0004721" "phosphoprotein phosphatase activity" 0.999957247900715
-246 0.932239877336937 2 24 "GO:0004722" "protein serine/threonine phosphatase activity" 0.999957247900715
-116 0.675081509416437 2 10 "GO:0004725" "protein tyrosine phosphatase activity" 0.999957247900715
-166 0.753160446942814 2 11 "GO:0004745" "retinol dehydrogenase activity" 0.999957247900715
112 0.272614535752003 3 19 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.886533883980923
137 0.0464373543533277 4 101 "GO:0004842" "ubiquitin-protein transferase activity" 0.613932631916721
33 0.436578095005087 2 15 "GO:0004843;GO:0036459;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.954333492963568
-158 0.921801170851564 3 53 "GO:0004857" "enzyme inhibitor activity" 0.999957247900715
86 0.320103567167457 2 19 "GO:0004860" "protein kinase inhibitor activity" 0.947303551015939
-240 0.838855134171395 2 11 "GO:0004866;GO:0030414;GO:0061135" "endopeptidase inhibitor activity" 0.999957247900715
-70 0.906988434841936 -1 255 "GO:0004871" "obsolete signal transducer activity" 0.999957247900715
-118 0.959315206693421 3 150 "GO:0004888" "transmembrane signaling receptor activity" 0.999957247900715
-153 0.902125666486361 4 47 "GO:0004930" "G protein-coupled receptor activity" 0.999957247900715
-289 0.902128028262351 3 13 "GO:0005048" "signal sequence binding" 0.999957247900715
-56 0.663462100661796 -1 37 "GO:0005057" "obsolete signal transducer activity, downstream of receptor" 0.999957247900715
262 0.129698844910842 4 12 "GO:0005070" "SH3/SH2 adaptor activity" 0.695657440885425
-127 0.715306841168436 3 13 "GO:0005080" "protein kinase C binding" 0.999957247900715
-123 0.858720646155326 3 50 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.999957247900715
-178 0.909834189533259 2 37 "GO:0005088" "Ras guanyl-nucleotide exchange factor activity" 0.999957247900715
-156 0.817702692790412 6 22 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 0.999957247900715
-35 0.616717034203833 4 47 "GO:0005096" "GTPase activator activity" 0.999957247900715
10 0.437778739528307 3 172 "GO:0005102" "signaling receptor binding" 0.954333492963568
