"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-104 0.816448800686158 3 14 "GO:0000030" "mannosyltransferase activity" 0.902390779705754
-802 0.0190506151269291 2 24 "GO:0000049" "tRNA binding" 0.0723679600934469
-458 0.259988297353339 4 17 "GO:0000062" "fatty-acyl-CoA binding" 0.469197630379854
-317 0.549595114057326 2 10 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.736691323098118
733 0.129602013424123 5 12 "GO:0000146" "microfilament motor activity" 0.295606369671262
28 0.93650699490571 3 23 "GO:0000149" "SNARE binding" 0.960058206316061
222 0.00346040311007189 2 533 "GO:0000166" "nucleotide binding" 0.0193395123318293
-1849 3.64005671921586e-05 2 14 "GO:0000175" "3'-5'-exoribonuclease activity" 0.000586641699166649
-197 0.70936100179335 2 10 "GO:0000217" "DNA secondary structure binding" 0.845276745662873
-44 0.826862662085997 2 71 "GO:0000287" "magnesium ion binding" 0.905187682826497
262 0.62040124268717 2 10 "GO:0000339" "RNA cap binding" 0.796181594781868
177 0.737997235097823 2 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.862448708132869
280 0.125142517017985 2 85 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.2900460344263
99 0.635637926651551 2 65 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.801593463882186
-30 0.91743394547822 2 34 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.949486846027764
677 0.130720882512299 5 14 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.29701498879024
309 0.0434438713557999 2 122 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.132830236711804
79 0.771966004536981 2 38 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.882536327837822
192 0.0690917173653532 -1 263 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.18100398198352
187 0.0781584057236691 -1 260 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.198402106837006
