"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-253 0.573368837362418 2 14 "GO:0000030" "mannosyltransferase activity" 0.775668563605298
-465 0.176332354971833 2 24 "GO:0000049" "tRNA binding" 0.404444236453951
382 0.349764858765488 6 17 "GO:0000062" "fatty-acyl-CoA binding" 0.581431944985615
910 0.061098989043848 2 12 "GO:0000146" "microfilament motor activity" 0.208674848007584
-259 0.461818207763453 2 23 "GO:0000149" "SNARE binding" 0.678429354480954
194 0.0110368829868871 2 532 "GO:0000166" "nucleotide binding" 0.0643663596041987
-871 0.0529799717724799 3 14 "GO:0000175" "3'-5'-exoribonuclease activity" 0.198932335349725
-2188 3.97006850035655e-05 2 10 "GO:0000217" "DNA secondary structure binding" 0.0018368183594983
45 0.822162698689159 2 71 "GO:0000287" "magnesium ion binding" 0.934919269539298
88 0.869144748899299 2 10 "GO:0000339" "RNA cap binding" 0.961961334106641
-223 0.675241097795695 4 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.836816646196808
173 0.34058772532167 5 87 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.575679427437982
29 0.89084944100452 2 66 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.972240421973392
-16 0.954262588472404 2 35 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.978716625039088
579 0.18315181806809 3 15 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.415816719384032
191 0.209140552007045 3 125 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.441165784476867
16 0.953586683915448 2 38 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.978716625039088
171 0.105895951700011 -1 264 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.295559293941311
167 0.116214100382237 -1 261 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.307834296432338
-148 0.462387730071313 2 71 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.678429354480954
-270 0.484412702479947 5 19 "GO:0001047" "core promoter binding" 0.696029845799344
113 0.405746505924627 2 158 "GO:0001067" "regulatory region nucleic acid binding" 0.630288792681023
189 0.356137095580588 -1 68 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.584300577619215
555 0.106403562893239 4 24 "GO:0001085" "RNA polymerase II transcription factor binding" 0.295559293941311
475 0.349134324759861 4 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.581431944985615
