"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
160 0.104577261029576 3 32 "GO:0000287" "magnesium ion binding" 0.31125395274923
221 0.0251476442336334 2 41 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.150210671816933
181 0.0808827335501265 4 31 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.288887345204625
254 0.085797813751752 5 15 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.29748587758785
99 0.137004063814641 2 64 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.355646809645048
251 0.0751694932892089 4 17 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.281695777881783
224 0.000436022911190598 -1 119 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.0121651764963196
224 0.000459063264012061 -1 118 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.0121651764963196
154 0.0336341412737628 4 75 "GO:0001067" "regulatory region nucleic acid binding" 0.178260948750943
-57 0.67009986265012 -1 31 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.913996503835274
194 0.14781514676603 3 15 "GO:0001085" "RNA polymerase II transcription factor binding" 0.367597997272881
228 0.136541387056855 4 12 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.355646809645048
192 0.199288919820833 -1 10 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.437533282982989
53 0.381695384742025 3 17 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.667966923298544
-423 0.990637321636368 4 16 "GO:0001653;GO:0008528" "G protein-coupled peptide receptor activity" 0.999999402102386
209 0.0920126327743516 4 21 "GO:0001664" "G protein-coupled receptor binding" 0.30479184606504
202 4.10264061390095e-05 3 213 "GO:0001882;GO:0001883" "nucleoside binding" 0.0030441593355145
81 0.0465384365646922 4 243 "GO:0003677" "DNA binding" 0.210558048359766
114 0.268960583016456 2 15 "GO:0003678" "DNA helicase activity" 0.511714750251821
113 0.100891862658993 2 68 "GO:0003682" "chromatin binding" 0.31125395274923
144 0.0495941367123109 2 69 "GO:0003690" "double-stranded DNA binding" 0.219040770479373
174 0.21100599692209 2 11 "GO:0003697" "single-stranded DNA binding" 0.444156939040388
38 0.256177134496917 2 168 "GO:0003700" "DNA-binding transcription factor activity" 0.50286622697543
237 0.000357342450144678 2 110 "GO:0003712" "transcription coregulator activity" 0.011047837416973
180 0.0254383595964662 2 62 "GO:0003713" "transcription coactivator activity" 0.150210671816933
275 0.00463127073991738 2 47 "GO:0003714" "transcription corepressor activity" 0.0636370905373833
-10 0.581181980264 4 215 "GO:0003723" "RNA binding" 0.876498027146114
-213 0.949415830031315 2 31 "GO:0003724" "RNA helicase activity" 0.999999402102386
-51 0.62815153078582 2 21 "GO:0003727" "single-stranded RNA binding" 0.906640634303856
-16 0.587543771598333 5 101 "GO:0003729" "mRNA binding" 0.877965557000673
375 0.00851260349250829 2 21 "GO:0003730" "mRNA 3'-UTR binding" 0.0789543973930144
-274 0.998820934654454 2 65 "GO:0003735" "structural constituent of ribosome" 0.999999402102386
362 0.0106198256049124 3 21 "GO:0003743" "translation initiation factor activity" 0.0916268674284302
206 0.170542135400477 3 11 "GO:0003756;GO:0016864;GO:0016862" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.395444576459856
225 0.0309104016319411 2 36 "GO:0003774" "motor activity" 0.166199405876089
67 0.320893476211434 6 25 "GO:0003777" "microtubule motor activity" 0.583585684678637
138 0.0540540618276136 2 72 "GO:0003779" "actin binding" 0.23050640158672
189 0.00907412746246754 2 83 "GO:0003924" "GTPase activity" 0.0801547925851299
-223 0.952220228830181 3 29 "GO:0004004;GO:0008186" "ATP-dependent RNA helicase activity" 0.999999402102386
73 0.141740028175611 2 116 "GO:0004175" "endopeptidase activity" 0.360175003103779
220 0.0675702816677587 5 24 "GO:0004197" "cysteine-type endopeptidase activity" 0.266686962752537
228 0.158107765336539 -1 10 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.380895980128935
-49 0.646337668023953 2 31 "GO:0004222" "metalloendopeptidase activity" 0.907247183286539
-317 0.980521765052675 4 22 "GO:0004252" "serine-type endopeptidase activity" 0.999999402102386
-227 0.982235132875681 5 45 "GO:0004386" "helicase activity" 0.999999402102386
-326 0.98934539765458 3 26 "GO:0004497" "monooxygenase activity" 0.999999402102386
-349 0.977049505967418 2 17 "GO:0004518" "nuclease activity" 0.999999402102386
-255 0.890176898149069 3 12 "GO:0004519" "endonuclease activity" 0.999999402102386
-136 0.725434452895417 3 10 "GO:0004540" "ribonuclease activity" 0.945325411131539
212 0.14347555964632 3 13 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.362104983869284
-23 0.543179792565053 3 11 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.851109177432621
-437 0.997273207256005 2 21 "GO:0004620" "phospholipase activity" 0.999999402102386
76 0.0906271957206006 3 169 "GO:0004672" "protein kinase activity" 0.30479184606504
169 0.00721289414023364 2 113 "GO:0004674" "protein serine/threonine kinase activity" 0.0743328812785189
310 0.0142991670784568 -1 26 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0.106221500276423
322 0.0685213694738016 5 11 "GO:0004708" "MAP kinase kinase activity" 0.26759397973453
437 0.0114960892267787 2 14 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.0947743450163429
16 0.439013453597576 4 48 "GO:0004713" "protein tyrosine kinase activity" 0.733666627408562
-20 0.561046690170103 2 32 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity" 0.863685983622856
15 0.447074568477523 2 39 "GO:0004721" "phosphoprotein phosphatase activity" 0.742878719709454
-42 0.608356271992756 2 22 "GO:0004722" "protein serine/threonine phosphatase activity" 0.886599629805281
-101 0.700472738975652 2 14 "GO:0004725" "protein tyrosine phosphatase activity" 0.924823438291697
101 0.299397488630416 5 14 "GO:0004745" "retinol dehydrogenase activity" 0.549883506345962
153 0.0183758929854119 3 100 "GO:0004842" "ubiquitin-protein transferase activity" 0.124684218850896
-15 0.529890161125182 5 13 "GO:0004843;GO:0036459;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.841708759999806
349 0.00112839021395952 3 40 "GO:0004857" "enzyme inhibitor activity" 0.0232573760766101
486 0.0125343034877892 2 11 "GO:0004860" "protein kinase inhibitor activity" 0.096879720707704
548 0.00159705187281398 3 15 "GO:0004866;GO:0030414" "endopeptidase inhibitor activity" 0.0267057206842839
11 0.408751485803125 -1 245 "GO:0004871" "obsolete signal transducer activity" 0.698833185405343
-126 0.976788080748634 2 137 "GO:0004888" "transmembrane signaling receptor activity" 0.999999402102386
-97 0.810692282780184 2 43 "GO:0004930" "G protein-coupled receptor activity" 0.999999402102386
-80 0.643361797164204 2 11 "GO:0005048" "signal sequence binding" 0.907247183286539
288 0.00536516478987375 -1 41 "GO:0005057" "obsolete signal transducer activity, downstream of receptor" 0.0686371081739021
366 0.0285927616274775 4 14 "GO:0005070" "SH3/SH2 adaptor activity" 0.164268208147332
462 0.00818480350796098 2 14 "GO:0005080" "protein kinase C binding" 0.0789543973930144
143 0.0896096833932366 4 46 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.30479184606504
75 0.265722375166886 2 36 "GO:0005088" "Ras guanyl-nucleotide exchange factor activity" 0.511699235174856
-99 0.726193375128002 3 19 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 0.945325411131539
252 0.0111246934284238 2 43 "GO:0005096" "GTPase activator activity" 0.093801392316937
