"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-232 0.862363272333902 2 14 "GO:0000049" "tRNA binding" 0.999945254737415
260 0.139731483004475 2 11 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 0.511123056253211
-103 0.672611208595906 3 12 "GO:0000149" "SNARE binding" 0.999945254737415
37 0.238090395039566 2 257 "GO:0000166" "nucleotide binding" 0.636433940586532
-11 0.531623247734348 5 34 "GO:0000287" "magnesium ion binding" 0.999945254737415
356 0.000691950277192173 2 52 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.036067908198642
380 0.0013349440328354 4 40 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.0506065146993056
220 0.120714093983848 2 18 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.484017088377544
250 0.00584486224693082 2 66 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.135405975387231
129 0.229706678018749 3 21 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.621506639527262
153 0.0116771257465797 -1 146 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.202348441445544
152 0.0126164495865327 -1 145 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.202348441445544
371 0.00152657953886961 3 41 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.053048638975719
-93 0.650242190504539 3 11 "GO:0001047" "core promoter binding" 0.999945254737415
182 0.0209091932916915 4 81 "GO:0001067" "regulatory region nucleic acid binding" 0.240968405306877
248 0.0177718464371372 -1 46 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.224571514069279
247 0.10798828455104 2 16 "GO:0001085" "RNA polymerase II transcription factor binding" 0.469947273372163
371 0.0534990939680769 3 12 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.405620403357965
444 0.0223717043068198 -1 13 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.243656175883968
41 0.414440433810983 3 18 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.886264927688102
-388 0.980474111903274 3 18 "GO:0001653;GO:0008528" "peptide receptor activity" 0.999945254737415
224 0.0892803825484297 2 23 "GO:0001664" "G protein-coupled receptor binding" 0.456234199790081
46 0.206852104318786 3 212 "GO:0001882" "nucleoside binding" 0.594878120696095
48 0.199524383083914 2 211 "GO:0001883" "purine nucleoside binding" 0.581829844377567
49 0.174727880781477 2 257 "GO:0003677" "DNA binding" 0.569654926120525
-182 0.973031112589935 2 73 "GO:0003682" "chromatin binding" 0.999945254737415
243 0.0028902932620894 5 84 "GO:0003690" "double-stranded DNA binding" 0.08608944930652
-175 0.776308069865966 3 12 "GO:0003697" "single-stranded DNA binding" 0.999945254737415
60 0.169034277612188 2 169 "GO:0003700" "DNA-binding transcription factor activity" 0.563898350114259
162 0.0107554248665478 2 134 "GO:0003712" "transcription coregulator activity" 0.198722709507026
56 0.26793404353241 2 79 "GO:0003713" "transcription coactivator activity" 0.669496560853164
250 0.0145599025259724 2 49 "GO:0003714" "transcription corepressor activity" 0.209942729149619
-6 0.542693492107909 2 235 "GO:0003723" "RNA binding" 0.999945254737415
-178 0.858086183239918 2 23 "GO:0003724" "RNA helicase activity" 0.999945254737415
-137 0.707271755226613 4 10 "GO:0003725" "double-stranded RNA binding" 0.999945254737415
