"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-146 0.693348166635325 2 10 "GO:0000049" "tRNA binding" 0.999443552021097
-487 0.961850508165159 3 11 "GO:0000149" "SNARE binding" 0.999443552021097
-97 0.957295742070892 3 284 "GO:0000166;GO:1901265" "nucleotide binding" 0.999443552021097
-21 0.529820294619079 3 11 "GO:0000175" "3'-5'-exoribonuclease activity" 0.991090270367917
656 0.0114554295306204 4 10 "GO:0000217" "DNA secondary structure binding" 0.260201899338378
108 0.236318755627923 2 37 "GO:0000287" "magnesium ion binding" 0.916196922188661
-51 0.632310537338167 2 37 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.999443552021097
-90 0.694782649114664 4 27 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.999443552021097
-175 0.785259993776015 4 17 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.999443552021097
22 0.426172119619371 3 61 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.991090270367917
39 0.32098953884647 -1 121 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.923446110317865
44 0.304472734238594 -1 119 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.923446110317865
-45 0.608838379782566 5 31 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.999443552021097
108 0.148257929023771 3 80 "GO:0001067" "regulatory region nucleic acid binding" 0.707190321443388
-105 0.709633831190984 -1 23 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.999443552021097
-97 0.643115832407887 4 12 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.999443552021097
134 0.273138830835125 3 17 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.923446110317865
23 0.457174107459109 3 19 "GO:0001653;GO:0008528" "peptide receptor activity" 0.991090270367917
225 0.123754405010442 4 22 "GO:0001664" "G protein-coupled receptor binding" 0.648690672417372
-17 0.602077433548189 2 202 "GO:0001882" "nucleoside binding" 0.999443552021097
-25 0.647046656483368 3 201 "GO:0001883" "purine nucleoside binding" 0.999443552021097
111 0.350770499569887 3 10 "GO:0002039" "p53 binding" 0.945296770027322
324 0.0145826191369419 2 38 "GO:0003678" "DNA helicase activity" 0.28982955534672
111 0.0970239969290442 2 117 "GO:0003682" "chromatin binding" 0.612841708908901
368 0.0242218932786956 2 24 "GO:0003684" "damaged DNA binding" 0.38512810313126
181 0.0302106602447778 5 92 "GO:0003690" "double-stranded DNA binding" 0.400291248243306
288 0.0543147817934885 2 26 "GO:0003697" "single-stranded DNA binding" 0.508217413830534
99 0.0909853042369197 2 157 "GO:0003700" "DNA-binding transcription factor activity" 0.602777640569593
32 0.35746692205415 2 113 "GO:0003712" "transcription coregulator activity" 0.947287343443497
-4 0.514801856684555 3 70 "GO:0003713" "transcription coactivator activity" 0.991090270367917
5 0.487136137792535 3 40 "GO:0003714" "transcription corepressor activity" 0.991090270367917
-82 0.881929551855269 3 183 "GO:0003723" "RNA binding" 0.999443552021097
-107 0.780013154942779 2 44 "GO:0003724" "RNA helicase activity" 0.999443552021097
-210 0.829173229826176 2 17 "GO:0003725" "double-stranded RNA binding" 0.999443552021097
-299 0.937410762176532 2 22 "GO:0003727" "single-stranded RNA binding" 0.999443552021097
-91 0.807509267875936 4 77 "GO:0003729" "mRNA binding" 0.999443552021097
-119 0.686806441303753 2 14 "GO:0003730" "mRNA 3'-UTR binding" 0.999443552021097
-336 0.949931973733243 2 20 "GO:0003735" "structural constituent of ribosome" 0.999443552021097
-283 0.88530045011707 3 15 "GO:0003743" "translation initiation factor activity" 0.999443552021097
-28 0.539973037469597 2 11 "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 0.991090270367917
-475 0.964320100926881 4 12 "GO:0003756;GO:0016864;GO:0016862" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.999443552021097
-267 0.985889118175709 3 57 "GO:0003774" "motor activity" 0.999443552021097
-309 0.988130966111099 4 45 "GO:0003777" "microtubule motor activity" 0.999443552021097
-81 0.758798815182897 4 64 "GO:0003779" "actin binding" 0.999443552021097
-659 0.988864196615294 2 10 "GO:0003823" "antigen binding" 0.999443552021097
574 0.00104448175155256 2 24 "GO:0003887" "DNA-directed DNA polymerase activity" 0.084967597951752
595 0.0152671202943831 6 11 "GO:0003896" "DNA primase activity" 0.29129665521683
237 0.0973757378794732 2 25 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.612841708908901
-211 0.956076324196263 3 55 "GO:0003924" "GTPase activity" 0.999443552021097
528 0.00231171034725961 2 24 "GO:0004003" "ATP-dependent DNA helicase activity" 0.110268583564283
-43 0.619241501251199 3 41 "GO:0004004" "ATP-dependent RNA helicase activity" 0.999443552021097
-7 0.537831369700532 4 147 "GO:0004175" "endopeptidase activity" 0.991090270367917
8 0.479869871925065 5 30 "GO:0004177" "aminopeptidase activity" 0.991090270367917
-18 0.533266196732725 6 17 "GO:0004180" "carboxypeptidase activity" 0.991090270367917
-278 0.959271496986697 5 33 "GO:0004197" "cysteine-type endopeptidase activity" 0.999443552021097
2 0.49638769694386 -1 12 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.991090270367917
-44 0.651001782801073 2 66 "GO:0004222" "metalloendopeptidase activity" 0.999443552021097
-37 0.589989393756016 4 31 "GO:0004252" "serine-type endopeptidase activity" 0.999443552021097
187 0.24793753142907 3 11 "GO:0004383" "guanylate cyclase activity" 0.919685546236828
167 0.0508332099039451 3 82 "GO:0004386" "helicase activity" 0.4948457372282
-62 0.596181187383348 2 13 "GO:0004407" "histone deacetylase activity" 0.999443552021097
-38 0.593195377993148 2 33 "GO:0004497" "monooxygenase activity" 0.999443552021097
183 0.0503518852131552 2 68 "GO:0004518" "nuclease activity" 0.4948457372282
243 0.0395277884572759 3 44 "GO:0004519" "endonuclease activity" 0.444138268578682
215 0.140709040430954 2 21 "GO:0004520" "endodeoxyribonuclease activity" 0.684879717199643
260 0.0908551423643944 2 22 "GO:0004521" "endoribonuclease activity" 0.602777640569593
259 0.0572655812063012 3 31 "GO:0004527" "exonuclease activity" 0.508217413830534
35 0.443203142826222 2 14 "GO:0004532" "exoribonuclease activity" 0.991090270367917
265 0.0778745633815029 3 24 "GO:0004536" "deoxyribonuclease activity" 0.580408855202764
177 0.120274271707743 3 37 "GO:0004540" "ribonuclease activity" 0.648690672417372
129 0.219605685440563 2 30 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.894484136035476
5 0.492144659907406 2 13 "GO:0004601;GO:0016684" "peroxidase activity" 0.991090270367917
-144 0.813195455985015 3 32 "GO:0004620" "phospholipase activity" 0.999443552021097
-412 0.941382403204168 5 12 "GO:0004623" "phospholipase A2 activity" 0.999443552021097
0 0.497239227878902 2 222 "GO:0004672" "protein kinase activity" 0.991090270367917
64 0.215793726091257 2 131 "GO:0004674" "protein serine/threonine kinase activity" 0.887358684013186
-208 0.885527008492845 -1 28 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0.999443552021097
-427 0.930643601300541 2 10 "GO:0004708" "MAP kinase kinase activity" 0.999443552021097
-147 0.711707829098166 2 12 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.999443552021097
-63 0.711439601099597 3 67 "GO:0004713" "protein tyrosine kinase activity" 0.999443552021097
-106 0.803631614361924 2 55 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity" 0.999443552021097
84 0.261034672985554 2 49 "GO:0004721" "phosphoprotein phosphatase activity" 0.919685546236828
109 0.291677479423432 3 21 "GO:0004722" "protein serine/threonine phosphatase activity" 0.923446110317865
228 0.120848083728994 2 22 "GO:0004725" "protein tyrosine phosphatase activity" 0.648690672417372
188 0.211967332205748 4 15 "GO:0004745" "retinol dehydrogenase activity" 0.879203630105581
-10 0.542518688914485 3 93 "GO:0004842" "ubiquitin-protein transferase activity" 0.991090270367917
-9 0.516382297230474 5 19 "GO:0004843;GO:0036459;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.991090270367917
56 0.340741263818496 3 45 "GO:0004857" "enzyme inhibitor activity" 0.931844953708559
-213 0.769569658384569 2 10 "GO:0004860" "protein kinase inhibitor activity" 0.999443552021097
-54 0.832005900522581 -1 294 "GO:0004871" "obsolete signal transducer activity" 0.999443552021097
-76 0.870150587784643 3 194 "GO:0004888" "transmembrane signaling receptor activity" 0.999443552021097
-266 0.833392641871573 5 11 "GO:0004890" "GABA-A receptor activity" 0.999443552021097
30 0.409973177029718 4 50 "GO:0004930" "G protein-coupled receptor activity" 0.991090270367917
-184 0.757664632243308 2 12 "GO:0004970" "ionotropic glutamate receptor activity" 0.999443552021097
-148 0.852836936146922 -1 42 "GO:0005057" "obsolete signal transducer activity, downstream of receptor" 0.999443552021097
-204 0.95160073249106 2 56 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.999443552021097
-170 0.871148080051744 2 37 "GO:0005088" "Ras guanyl-nucleotide exchange factor activity" 0.999443552021097
-96 0.688147642101372 4 22 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 0.999443552021097
-153 0.873026139228723 2 47 "GO:0005096" "GTPase activator activity" 0.999443552021097
127 0.0358112419522363 3 178 "GO:0005102" "signaling receptor binding" 0.444138268578682
578 0.0178476104895616 2 11 "GO:0005109" "frizzled binding" 0.310321942035138
245 0.157242491228464 4 14 "GO:0005125" "cytokine activity" 0.735339885450758
315 0.0616048731640315 4 20 "GO:0005126" "cytokine receptor binding" 0.524741508915054
77 0.345745243327127 2 22 "GO:0005178" "integrin binding" 0.937048187880907
108 0.108621073866499 1 113 "GO:0005198" "structural molecule activity" 0.639657434991605
118 0.258868929489152 2 25 "GO:0005200" "structural constituent of cytoskeleton" 0.919685546236828
332 0.0294260276512019 2 27 "GO:0005201" "extracellular matrix structural constituent" 0.400291248243306
-46 0.740769656100565 2 173 "GO:0005216" "ion channel activity" 0.999443552021097
-290 0.854344712666243 2 11 "GO:0005217" "intracellular ligand-gated ion channel activity" 0.999443552021097
0 0.499130999161781 2 34 "GO:0005230" "extracellular ligand-gated ion channel activity" 0.991090270367917
155 0.229650686775176 3 19 "GO:0005231" "excitatory extracellular ligand-gated ion channel activity" 0.910198055889824
131 0.161740800151918 6 48 "GO:0005244;GO:0022832" "voltage-gated channel activity" 0.749032637596746
293 0.123215448809153 2 13 "GO:0005245" "voltage-gated calcium channel activity" 0.648690672417372
136 0.258414693632997 7 19 "GO:0005249" "voltage-gated potassium channel activity" 0.919685546236828
-100 0.648316455476255 2 12 "GO:0005251" "delayed rectifier potassium channel activity" 0.999443552021097
