delta.rank	pval	level	nseqs	term	name	p.adj
364	1.55959499618532e-6	2	59	GO:0030016	myofibril	2.99185581683266e-4
325	3.54961992455152e-6	3	69	GO:0044449	contractile fiber part	2.99185581683266e-4
361	3.72971763414552e-6	2	55	GO:0030017	sarcomere	2.99185581683266e-4
315	3.8357125856829e-6	3	73	GO:0043292	contractile fiber	2.99185581683266e-4
573	3.35561109816566e-5	4	17	GO:0005797	Golgi medial cisterna	0.00198160751777253
387	3.81078368802409e-5	3	37	GO:0009898	cytoplasmic side of plasma membrane	0.00198160751777253
168	6.55892575864274e-5	2	199	GO:0005768	endosome	0.00273151129791435
363	7.0038751228573e-5	3	39	GO:0098562	cytoplasmic side of membrane	0.00273151129791435
307	1.8341103669592e-4	2	48	GO:0031985	Golgi cisterna	0.00635824927212523
201	2.1763646530447e-4	2	113	GO:0098791	Golgi subcompartment	0.00658259650073872
202	2.32078722782455e-4	3	111	GO:0099512;GO:0099081	supramolecular fiber	0.00658259650073872
449	2.6192429585941e-4	2	21	GO:0031672	A band	0.00681003169234466
233	2.94074246395614e-4	2	79	GO:0031252	cell leading edge	0.00683981182143834
210	3.06914633013259e-4	4	97	GO:0005811	lipid droplet	0.00683981182143834
191	3.31025300387359e-4	3	117	GO:0031984	organelle subcompartment	0.00688532624805707
194	3.61042093035822e-4	1	112	GO:0099080	supramolecular complex	0.00704032081419853
209	5.19592797109796e-4	2	90	GO:0005938	cell cortex	0.0095360560410739
197	5.53774377071363e-4	2	100	GO:0010008	endosome membrane	0.00959875586923696
227	6.16868287446795e-4	2	73	GO:0005912;GO:0070161	adherens junction	0.00968232778029782
428	6.20662037198578e-4	4	20	GO:0031430	M band	0.00968232778029782
228	8.58802728127997e-4	3	68	GO:0005795	Golgi stack	0.0127593548179017
460	0.00130628979673242	3	15	GO:0005923	bicellular tight junction	0.0185255643900234
124	0.00170685064376095	3	219	GO:0044431	Golgi apparatus part	0.0231538000371051
316	0.00180568207110595	4	30	GO:0031674	I band	0.0234738669243773
513	0.00202845495907028	3	11	GO:0016528;GO:0016529	sarcoplasmic reticulum	0.0253151178891971
409	0.00288899597483547	2	16	GO:0035631	CD40 receptor complex	0.0346679516980256
158	0.00323159690014741	4	109	GO:0099568	cytoplasmic region	0.0373428975128145
349	0.00349364284681677	2	21	GO:0070160	tight junction	0.038929163150244
279	0.00514556748054169	4	30	GO:0001726	ruffle	0.0553592087561727
250	0.00586932747604931	2	36	GO:0030055	cell-substrate junction	0.0577809749805552
123	0.00590477996291379	3	157	GO:0000139	Golgi membrane	0.0577809749805552
288	0.00596140935671927	2	27	GO:0005604	basement membrane	0.0577809749805552
277	0.00611144927678949	3	29	GO:0062023	collagen-containing extracellular matrix	0.0577809749805552
145	0.0064293071191836	4	108	GO:0044440	endosomal part	0.0589983476819201
252	0.00684907472332679	2	34	GO:0005924	cell-substrate adherens junction	0.0610546089622274
262	0.00781939511950138	2	30	GO:0005925	focal adhesion	0.0677680910356786
275	0.00806199403755813	4	27	GO:0030018	Z disc	0.0679822199923821
182	0.00936992260862477	2	60	GO:0005759	mitochondrial matrix	0.0769319961550244
248	0.0101676091585692	4	31	GO:0005788	endoplasmic reticulum lumen	0.0813408732685536
243	0.0126192315095844	2	30	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	0.0984300057747583
352	0.0131038790811105	3	14	GO:0016328	lateral plasma membrane	0.0991218950354829
413	0.013591090831141	2	10	GO:0016327	apicolateral plasma membrane	0.0991218950354829
338	0.0136610304055313	2	15	GO:0016605	PML body	0.0991218950354829
