delta.rank	pval	level	nseqs	term	name	p.adj
513	2.53953888812209e-5	6	41	GO:0042470;GO:0048770	melanosome	0.00644583696148199
310	3.45621284797962e-5	2	111	GO:0005811	lipid droplet	0.00644583696148199
402	7.2538086232453e-5	3	59	GO:0022626	cytosolic ribosome	0.00901890205490165
720	2.75047027859185e-4	2	15	GO:0044304	main axon	0.025648135347869
292	4.01463427078068e-4	4	88	GO:0030141	secretory granule	0.0299491716600239
548	9.33517210842097e-4	2	21	GO:0016469	proton-transporting two-sector ATPase complex	0.0449232771806632
604	0.00101511604924768	3	17	GO:0045169	fusome	0.0449232771806632
414	0.00109017784412911	4	36	GO:0000502;GO:1905369	proteasome complex	0.0449232771806632
468	0.00131550715253373	3	27	GO:0005925	focal adhesion	0.0449232771806632
158	0.00135485054044809	1	257	GO:0044421	extracellular region part	0.0449232771806632
212	0.00137396694010573	2	136	GO:0099503	secretory vesicle	0.0449232771806632
693	0.00144525288516879	2	12	GO:0033181	plasma membrane proton-transporting V-type ATPase complex	0.0449232771806632
361	0.00194794950952514	4	42	GO:0022625	cytosolic large ribosomal subunit	0.0558911666963752
405	0.00233671131462959	2	32	GO:0005924	cell-substrate adherens junction	0.0605957124325521
332	0.00250662096310016	2	47	GO:1905368	peptidase complex	0.0605957124325521
244	0.00268722207042602	3	87	GO:0043292	contractile fiber	0.0605957124325521
598	0.00276173488298495	4	14	GO:0033176	proton-transporting V-type ATPase complex	0.0605957124325521
282	0.00313053387875449	3	62	GO:0030017	sarcomere	0.0606181686109929
362	0.00330311121518463	2	37	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	0.0606181686109929
227	0.00371236554896357	2	93	GO:0005840	ribosome	0.0606181686109929
225	0.00382690494408743	2	94	GO:0031252	cell leading edge	0.0606181686109929
620	0.00387630960043952	2	12	GO:0016328	lateral plasma membrane	0.0606181686109929
233	0.00387818885317611	2	87	GO:0044391	ribosomal subunit	0.0606181686109929
119	0.00399497595876834	1	373	GO:0005576	extracellular region	0.0606181686109929
240	0.00406287993371266	2	81	GO:0044449	contractile fiber part	0.0606181686109929
530	0.00549581881908005	2	15	GO:0005839	proteasome core complex	0.0788438622891099
566	0.0057119610341215	2	13	GO:0016471	vacuolar proton-transporting V-type ATPase complex	0.0789096839158266
491	0.00607921320192079	2	17	GO:0022627	cytosolic small ribosomal subunit	0.0809838044398734
131	0.00634846794467946	2	259	GO:0044429	mitochondrial part	0.0816544325298427
157	0.00678066980529895	4	171	GO:0031966	mitochondrial membrane	0.0843063279125503
341	0.00705642930706914	2	34	GO:0030055	cell-substrate junction	0.0849047784366706
