delta.rank	pval	level	nseqs	term	name	p.adj
270	9.31378464302947e-8	2	331	GO:0043005	neuron projection	1.79672164878071e-5
242	1.18735392960959e-7	2	415	GO:0005887	integral component of plasma membrane	1.79672164878071e-5
291	1.87585800192702e-7	3	263	GO:0044431	Golgi apparatus part	1.79672164878071e-5
296	2.14966137381191e-7	1	251	GO:0045202	synapse	1.79672164878071e-5
453	2.65188208319862e-7	3	100	GO:0030135	coated vesicle	1.79672164878071e-5
229	3.09779594617364e-7	3	435	GO:0031226	intrinsic component of plasma membrane	1.79672164878071e-5
409	4.80299433987215e-7	2	118	GO:0098797	plasma membrane protein complex	2.38777432896501e-5
218	1.15809317486959e-6	2	430	GO:0005794	Golgi apparatus	5.03770531068272e-5
278	1.54171119269698e-6	2	242	GO:0098796	membrane protein complex	5.96128327842832e-5
448	2.09002946687059e-6	4	86	GO:0030136	clathrin-coated vesicle	7.27330254470965e-5
245	2.94988523027849e-6	2	300	GO:0098805	whole membrane	9.33236418306286e-5
365	3.8550956483358e-6	2	124	GO:0030133	transport vesicle	1.11797773801738e-4
267	6.76356284575202e-6	3	227	GO:0044433	cytoplasmic vesicle part	1.81055374640131e-4
274	7.77996901273135e-6	1	211	GO:0044456	synapse part	1.87563263924347e-4
434	8.08462344501495e-6	2	80	GO:0043235	receptor complex	1.87563263924347e-4
502	8.7633774188623e-6	3	59	GO:0098802	plasma membrane receptor complex	1.90603458860255e-4
277	1.29738104900734e-5	3	195	GO:0000139	Golgi membrane	2.65581532385032e-4
776	1.51596638486416e-5	2	23	GO:0035631	CD40 receptor complex	2.93086834407071e-4
207	3.27665839793299e-5	2	330	GO:0044463	cell projection part	6.001458539372e-4
342	3.47651697278382e-5	2	111	GO:0098791	Golgi subcompartment	6.04913953264385e-4
436	4.01756858372422e-5	6	66	GO:0008021;GO:0070382	synaptic vesicle	6.62663429500976e-4
311	4.18925156581077e-5	2	132	GO:0098552	side of membrane	6.62663429500976e-4
254	4.55661406710444e-5	2	201	GO:0030424	axon	6.89435519718411e-4
237	5.29063834137637e-5	3	229	GO:0005768	endosome	7.67142559499574e-4
317	8.30561790018636e-5	3	116	GO:0031984	organelle subcompartment	0.00115614201170594
199	9.75664104149732e-5	2	308	GO:0120038	plasma membrane bounded cell projection part	0.00130588887786195
711	2.58454806270393e-4	4	19	GO:0000502;GO:1905369	proteasome complex	0.0033311952808184
884	2.94286056157484e-4	2	12	GO:0005839	proteasome core complex	0.00365755526938587
401	4.1456954273123e-4	2	56	GO:0005912;GO:0070161	adherens junction	0.00481342441740623
268	4.14950380810882e-4	3	128	GO:0099568	cytoplasmic region	0.00481342441740623
266	4.64227844254009e-4	2	128	GO:0044440	endosomal part	0.005211331929045
310	5.31552481933966e-4	2	91	GO:0097060	synaptic membrane	0.00578063324103188
235	5.55610156294696e-4	2	161	GO:0045177	apical part of cell	0.00585916164819861
358	6.10218534992731e-4	2	66	GO:0005795	Golgi stack	0.00624576618169031
526	6.2887188095701e-4	2	30	GO:0034703	cation channel complex	0.00625278327351541
330	7.58374007194286e-4	2	75	GO:1990351	transporter complex	0.00715792235959821
211	7.74140209225697e-4	3	190	GO:0043025	neuronal cell body	0.00715792235959821
409	7.8441005343453e-4	2	48	GO:0031985	Golgi cisterna	0.00715792235959821
255	8.29666231138418e-4	5	125	GO:0010008	endosome membrane	0.00715792235959821
333	8.40602285914764e-4	2	72	GO:1902495	transmembrane transporter complex	0.00715792235959821
204	8.4331843891818e-4	2	201	GO:0044297	cell body	0.00715792235959821
277	9.33144590635069e-4	2	103	GO:0005938	cell cortex	0.007731769465262
783	0.00116381880162697	3	12	GO:0044304	main axon	0.00941881262712059
410	0.00120933009266283	2	44	GO:0009898	cytoplasmic side of plasma membrane	0.00956470164196966
512	0.00174626347053651	3	26	GO:0005924;GO:0030055	cell-substrate adherens junction	0.0135044375054823
377	0.00179936343419492	2	48	GO:0098562	cytoplasmic side of membrane	0.0136125755456485
608	0.00191493694491919	4	18	GO:0031672	A band	0.0141634717494104
227	0.00195906865862734	4	133	GO:0030659	cytoplasmic vesicle membrane	0.0141634717494104
623	0.00199428194172732	4	17	GO:0031430	M band	0.0141634717494104
301	0.00216026935726379	3	73	GO:0044449	contractile fiber part	0.015035474726556
761	0.00230955898518305	2	11	GO:0099738	cell cortex region	0.015759343663602
505	0.00236364593719575	3	25	GO:0005798	Golgi-associated vesicle	0.0158182458873869
440	0.00268017313798528	2	32	GO:0030027	lamellipodium	0.0175981179626203
393	0.00274338170618762	2	40	GO:0030662	coated vesicle membrane	0.0176795709954313
482	0.00295025690042991	2	26	GO:0042734	presynaptic membrane	0.0186670800245383
295	0.00300455121245459	4	70	GO:0045211	postsynaptic membrane	0.0186711396773964
329	0.00306586032232262	4	56	GO:0034702	ion channel complex	0.0187178840731276
357	0.00316184355623904	2	47	GO:0030427	site of polarized growth	0.0189710613374342
212	0.00332841120238243	2	136	GO:0012506	vesicle membrane	0.019631984719137
263	0.00371437869113826	2	84	GO:0009897	external side of plasma membrane	0.0215433964086019
422	0.00378536260622878	3	32	GO:0043204	perikaryon	0.0215951833929117
191	0.00386622865493968	2	163	GO:0030425	dendrite	0.0217007672890163
374	0.00412052652026857	2	40	GO:0030658	transport vesicle membrane	0.0227610036357692
222	0.00423575903612246	2	116	GO:0005929	cilium	0.0230319397589159
416	0.00479296663891508	6	31	GO:0030665	clathrin-coated vesicle membrane	0.0256608060052684
537	0.00528455684815209	2	18	GO:0005925	focal adhesion	0.0278640270175292
276	0.00572375523498859	2	68	GO:0031252	cell leading edge	0.029729355548896
310	0.00598658063166855	2	53	GO:0030017	sarcomere	0.0306372067620685
233	0.00716242016635732	2	90	GO:0033267	axon part	0.0361235104042369
304	0.00728796678106461	2	52	GO:0005802	trans-Golgi network	0.0362316062830069
180	0.0102603933282978	3	137	GO:0099503	secretory vesicle	0.0502903785668681
469	0.010996425739906	2	19	GO:0005913	cell-cell adherens junction	0.0531493910762123
230	0.0115276787623176	2	79	GO:0005911	cell-cell junction	0.0549538658806373
475	0.0119117480784331	3	18	GO:0017090	meprin A complex	0.0560174098823611
470	0.0126485136591575	3	18	GO:0030117;GO:0048475	membrane coat	0.0586187719195896
384	0.0128018007640483	5	27	GO:0032580	Golgi cisterna membrane	0.0586187719195896
256	0.0135700591582638	2	60	GO:0030016	myofibril	0.0607098312764936
148	0.0136073759757658	2	188	GO:0009986	cell surface	0.0607098312764936
322	0.0142333853639767	3	37	GO:0030426	growth cone	0.0626989633754923
480	0.015680635840555	6	16	GO:0005797	Golgi medial cisterna	0.067873476581846
215	0.0159662743668095	4	81	GO:0005811	lipid droplet	0.067873476581846
552	0.015993175516412	4	12	GO:0031519	PcG protein complex	0.067873476581846
448	0.0166308929654442	3	18	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	0.0697295271322239
560	0.0186027803872856	4	11	GO:0005923	bicellular tight junction	0.0770686616044689
446	0.0227365555411943	2	16	GO:0034705	potassium channel complex	0.0930861332745367
