delta.rank	pval	level	nseqs	term	name	p.adj
287	2.8056971315542e-7	2	363	GO:0003677	DNA binding	1.4393226284873e-4
495	3.33816602987717e-6	2	91	GO:0005342;GO:0046943	organic acid transmembrane transporter activity	8.56239586663494e-4
408	3.5389495961717e-5	5	105	GO:0008514	organic anion transmembrane transporter activity	0.00537971882942026
625	4.19471253755966e-5	3	43	GO:0015370	solute:sodium symporter activity	0.00537971882942026
363	6.61695218231384e-5	2	123	GO:0008509	anion transmembrane transporter activity	0.00543765523057886
354	7.41304451410136e-5	2	128	GO:0003682	chromatin binding	0.00543765523057886
503	7.41980245887954e-5	3	62	GO:0015171	amino acid transmembrane transporter activity	0.00543765523057886
1195	1.33687719331924e-4	3	10	GO:0090482	vitamin transmembrane transporter activity	0.00782312290372908
756	1.37247770240861e-4	5	25	GO:0005343	organic acid:sodium symporter activity	0.00782312290372908
572	1.5949175442864e-4	2	43	GO:0001012	RNA polymerase II regulatory region DNA binding	0.00818192700218923
549	2.75818884697963e-4	2	43	GO:0008028	monocarboxylic acid transmembrane transporter activity	0.0128631898045505
520	3.58605807228971e-4	5	46	GO:0015294;GO:0015293	symporter activity	0.0153303982590385
341	3.98871636634332e-4	3	107	GO:0003690	double-stranded DNA binding	0.0157400884302625
603	4.36336792994968e-4	2	33	GO:0015101	organic cation transmembrane transporter activity	0.015988626771887
556	4.97951204115118e-4	2	38	GO:0016835	carbon-oxygen lyase activity	0.017029931180737
605	7.1767491749912e-4	5	30	GO:0008519	ammonium transmembrane transporter activity	0.0208403899269208
324	7.25015917129815e-4	2	107	GO:0140097	catalytic activity, acting on DNA	0.0208403899269208
360	7.31241751821782e-4	2	86	GO:0015291	secondary active transmembrane transporter activity	0.0208403899269208
752	7.97581540278123e-4	2	19	GO:0005310	dicarboxylic acid transmembrane transporter activity	0.02130890494739
982	8.44005562017791e-4	5	11	GO:0017153	sodium:dicarboxylate symporter activity	0.02130890494739
592	9.11358701916159e-4	2	30	GO:0016836	hydro-lyase activity	0.02130890494739
602	9.13832180979689e-4	3	29	GO:0072349	modified amino acid transmembrane transporter activity	0.02130890494739
405	0.00104046204450238	2	63	GO:1990837	sequence-specific double-stranded DNA binding	0.0224596363920873
696	0.00107214683902479	2	21	GO:0005416	amino acid:cation symporter activity	0.0224596363920873
749	0.00110219639973426	3	18	GO:0008513;GO:0015199;GO:0015651;GO:0015226	secondary active organic cation transmembrane transporter activity	0.0224596363920873
913	0.00115387833290212	2	12	GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds	0.0224596363920873
875	0.00118208612589933	2	13	GO:0015183	L-aspartate transmembrane transporter activity	0.0224596363920873
419	0.00132246529729452	2	56	GO:0015238	drug transmembrane transporter activity	0.0236289167155423
939	0.00133574772855892	3	11	GO:0016405	CoA-ligase activity	0.0236289167155423
484	0.00163569099539094	2	40	GO:0042393	histone binding	0.0279703160211851
554	0.00175644146116934	2	30	GO:0005326	neurotransmitter transporter activity	0.0290662732122539
659	0.00228660447717214	2	20	GO:0005283	amino acid:sodium symporter activity	0.0355495676207492
930	0.00228681429139322	6	10	GO:0005314;GO:0015501	high-affinity glutamate transmembrane transporter activity	0.0355495676207492
473	0.00253869068797441	3	38	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	0.0383043624391433
630	0.00272537000139166	4	21	GO:0005328	neurotransmitter:sodium symporter activity	0.0399461374489692
764	0.00292792055302157	4	14	GO:0015556	C4-dicarboxylate transmembrane transporter activity	0.0417228678805574
385	0.00335934775043035	2	54	GO:0016798	hydrolase activity, acting on glycosyl bonds	0.0465769025938046
805	0.00359273615504378	3	12	GO:0016878	acid-thiol ligase activity	0.0475503472324257
519	0.0036149386784885	4	29	GO:1901618	organic hydroxy compound transmembrane transporter activity	0.0475503472324257
865	0.00416118851107855	3	10	GO:0015929	hexosaminidase activity	0.0533672426545824
453	0.00449883431831694	6	36	GO:0008094	DNA-dependent ATPase activity	0.056290292812112
332	0.00462365818831014	2	67	GO:0008238	exopeptidase activity	0.0564746821572167
286	0.00479650511961924	3	90	GO:0044212	transcription regulatory region DNA binding	0.0572234215433644
523	0.00594503123586894	2	25	GO:0003697	single-stranded DNA binding	0.0690666663536088
381	0.00605847950470253	2	47	GO:0000976	transcription regulatory region sequence-specific DNA binding	0.0690666663536088
665	0.00654535192480333	2	15	GO:0015172	acidic amino acid transmembrane transporter activity	0.0729949029874806
274	0.00758828850225717	2	86	GO:0016829	lyase activity	0.0828253617374027
262	0.0083142804095976	2	92	GO:0001067	regulatory region nucleic acid binding	0.0888588718775743
408	0.00858032785862325	2	37	GO:0015179	L-amino acid transmembrane transporter activity	0.089198825660545
229	0.00882978472828002	5	119	GO:0043565	sequence-specific DNA binding	0.089198825660545
264	0.00886771951011266	3	89	GO:0031406;GO:0043177	organic acid binding	0.089198825660545
479	0.00937227602156291	4	26	GO:0004180	carboxypeptidase activity	0.0916940661845628
478	0.0094732660970406	2	26	GO:0003684	damaged DNA binding	0.0916940661845628
