gene,contribution
Amillepora16770,1.5895944022350136e-7
Amillepora16769,3.287593986821001e-7
Amillepora16774,1.5852404632573172e-6
Amillepora16773,1.2257345904060836e-5
Amillepora16771,6.945864472694701e-7
Amillepora16778,9.095427836236036e-7
Amillepora16777,1.3262702292306664e-7
Amillepora16779,1.3325666081392696e-5
Amillepora16782,1.1670755355168111e-6
Amillepora16781,2.5198350770437066e-6
Amillepora16780,1.0151262862995461e-5
Amillepora16783,3.7073347412392276e-8
Amillepora16793,3.8935972856896285e-5
Amillepora16784,1.1798193550899288e-5
Amillepora16795,5.4660680108314116e-5
Amillepora16787,9.129807757458406e-6
Amillepora16794,3.902606487588176e-6
Amillepora16792,2.0918196620985053e-5
Amillepora16791,8.933334317213943e-4
Amillepora16790,3.6309751063614266e-9
Amillepora16788,8.235251001179873e-5
Amillepora16789,4.4612499032763686e-5
Amillepora16785,3.442080786124874e-5
Amillepora16796,7.280512198808351e-7
Amillepora16800,4.0909602868993165e-7
Amillepora16798,6.568250232739164e-6
Amillepora16797,8.831207140574703e-6
Amillepora16801,4.9840221025593834e-5
Amillepora16804,1.367312874208225e-4
Amillepora16812,7.172708344192488e-7
Amillepora16808,1.557157804759141e-4
Amillepora16815,4.458270248981493e-6
Amillepora16806,1.3191940341260197e-5
Amillepora16813,2.0033650773410816e-5
Amillepora16807,1.3847053854631988e-5
Amillepora16814,8.389798794521828e-7
Amillepora16811,3.494416122584299e-6
Amillepora16805,3.986914190128138e-4
Amillepora16809,1.352372994476505e-4
Amillepora16802,2.9766758453001188e-6
Amillepora16803,1.0895623491029486e-5
Amillepora16810,1.1516280740167855e-6
Amillepora16817,3.805064358210047e-6
Amillepora16818,1.3454148511971806e-4
Amillepora16824,1.700188289988978e-7
Amillepora16816,2.0284367756339495e-5
Amillepora16823,8.694134742318731e-6
Amillepora16822,3.5352787204423415e-8
Amillepora16821,3.531602014307102e-7
Amillepora16819,2.3134058303199285e-4
Amillepora16820,4.5372643762824846e-5
Amillepora16826,6.4047311408918035e-6
Amillepora16825,3.53363880876821e-5
Amillepora16830,1.0923250306284059e-7
Amillepora16831,2.853198991260948e-7
Amillepora16829,2.083238052805607e-5
Amillepora16833,2.257819903697468e-6
Amillepora16841,6.88280370258447e-7
Amillepora16843,2.538132424643329e-5
Amillepora16840,2.1832584615477698e-4
Amillepora16844,9.5296806583526e-6
Amillepora16845,3.105428134674296e-7
Amillepora16836,1.1276563405444257e-4
Amillepora16834,4.622935406534441e-5
Amillepora16838,6.673259501352931e-6
Amillepora16839,1.5910587293732338e-5
Amillepora16837,9.476130134528782e-5
Amillepora16849,4.5892976948342626e-4
Amillepora16846,1.9538572481392382e-4
Amillepora16852,1.7841801694433094e-7
Amillepora16848,2.7067364297136926e-4
Amillepora16847,6.886638254154847e-7
Amillepora16850,4.749397313740363e-6
Amillepora16851,1.2516061629430974e-6
Amillepora16855,6.123660640035618e-5
Amillepora16858,1.8039669013389332e-4
Amillepora16859,8.466898834417443e-8
Amillepora16853,9.776454699612054e-5
Amillepora16856,1.1859153432057208e-4
