name	term	lev	seq	value
"unfolded protein binding"	GO:0051082	3	SAKL0D11022g1_1	-0.7375763061649466
"unfolded protein binding"	GO:0051082	3	SAKL0D02794g1_1	0.02154265060029706
"unfolded protein binding"	GO:0051082	3	SAKL0D04884g1_1	-2.199511472822822
"unfolded protein binding"	GO:0051082	3	SAKL0D12782g1_1	-1.1043645082361786
"unfolded protein binding"	GO:0051082	3	SAKL0D11638g1_1	-2.0485737114557296
"unfolded protein binding"	GO:0051082	3	SAKL0D04004g1_1	-0.8187239268751397
"unfolded protein binding"	GO:0051082	3	SAKL0D11110g1_1	0.0326068098532605
"unfolded protein binding"	GO:0051082	3	SAKL0D12320g1_1	-0.20406792502846527
"unfolded protein binding"	GO:0051082	3	SAKL0D08778g1_1	-0.3390105232226423
"unfolded protein binding"	GO:0051082	3	SAKL0E13618g1_1	-0.38750084549454644
"unfolded protein binding"	GO:0051082	3	SAKL0E11990g1_1	-0.0582756705546934
"unfolded protein binding"	GO:0051082	3	SAKL0E12386g1_1	1.0241823561654477
"unfolded protein binding"	GO:0051082	3	SAKL0E09306g1_1	-0.09185108733219025
"unfolded protein binding"	GO:0051082	3	SAKL0E02024g1_1	-1.506865809350646
"unfolded protein binding"	GO:0051082	3	SAKL0E01958g1_1	-0.09932262162314476
"unfolded protein binding"	GO:0051082	3	SAKL0E08052g1_1	-0.1423813599848425
"unfolded protein binding"	GO:0051082	3	SAKL0E12804g1_1	-0.4605666034201108
"unfolded protein binding"	GO:0051082	3	SAKL0E08734g1_1	-0.32102560416751547
"unfolded protein binding"	GO:0051082	3	SAKL0E05896g1_1	-1.1678066806863516
"unfolded protein binding"	GO:0051082	3	SAKL0E09614g1_1	-1.6343572023839872
"unfolded protein binding"	GO:0051082	3	SAKL0E04741g1_1	0.10968621021718242
"unfolded protein binding"	GO:0051082	3	SAKL0F03828g1_1	0.036675426763692044
"unfolded protein binding"	GO:0051082	3	SAKL0F10450g1_1	-0.4041827185627992
"unfolded protein binding"	GO:0051082	3	SAKL0F10538g1_1	-2.214486869487517
"unfolded protein binding"	GO:0051082	3	SAKL0F12606g1_1	-0.15083311042833514
"unfolded protein binding"	GO:0051082	3	SAKL0F07128g1_1	-0.18476631252469022
"unfolded protein binding"	GO:0051082	3	SAKL0F05016g1_1	-0.020183969227030727
"unfolded protein binding"	GO:0051082	3	SAKL0G18260g1_1	-0.7300432789105387
"unfolded protein binding"	GO:0051082	3	SAKL0G08448g1_1	-0.46298507766003333
"unfolded protein binding"	GO:0051082	3	SAKL0G09416g1_1	-0.3755783850659458
"unfolded protein binding"	GO:0051082	3	SAKL0G11792g1_1	-0.30558100664670124
"unfolded protein binding"	GO:0051082	3	SAKL0G05940g1_1	0.08492951891946061
"unfolded protein binding"	GO:0051082	3	SAKL0G19228g1_1	-0.8719790110614073
"unfolded protein binding"	GO:0051082	3	SAKL0G03740g1_1	0.06552664305573708
"unfolded protein binding"	GO:0051082	3	SAKL0G12056g1_1	-0.3946306096751039
"unfolded protein binding"	GO:0051082	3	SAKL0G06842g1_1	-1.862870519102422
"unfolded protein binding"	GO:0051082	3	SAKL0A03278g1_1	0.9790137475186335
"unfolded protein binding"	GO:0051082	3	SAKL0G11594g1_1	-1.4407975293134054
"unfolded protein binding"	GO:0051082	3	SAKL0G09548g1_1	-0.585852238475852
"unfolded protein binding"	GO:0051082	3	SAKL0A02486g1_1	0.04842120757888555
"unfolded protein binding"	GO:0051082	3	SAKL0G13860g1_1	-0.9030445515961812
"unfolded protein binding"	GO:0051082	3	SAKL0G07106g1_1	0.15987313084562976
"unfolded protein binding"	GO:0051082	3	SAKL0H02970g1_1	-0.33734400387942587
"unfolded protein binding"	GO:0051082	3	SAKL0H00858g1_1	-0.28674360317345476
"unfolded protein binding"	GO:0051082	3	SAKL0H12408g1_1	0.41600631987125414
"unfolded protein binding"	GO:0051082	3	SAKL0H18502g1_1	0.06728153478428392
