name	term	lev	seq	value
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0D13508g1_1	1.6438014903366442
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0E06842g1_1	-0.3574853680095882
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0F15312g1_1	-0.6068617850160385
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0F06336g1_1	-1.197513014757072
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0G14542g1_1	-2.2891807929626222
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0G00748g1_1	-0.8090748325908771
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0G19690g1_1	-0.18520002477542283
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0G10098g1_1	15.117521966935108
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0H11836g1_1	-0.9078833853445072
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0H06996g1_1	2.055435766657914
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0A06952g1_1	2.0074522661870957
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0H14960g1_1	29.901576048091215
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0B06600g1_1	0.6075356773902241
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0D14190g1_1	2.2031948512928157
"oxidoreductase activity, acting on the CH-NH group of donors"	GO:0016645	2	SAKL0A00308g1_1	-0.402589257000365
"single-stranded DNA endodeoxyribonuclease activity"	GO:0000014	5	SAKL0D00374g1_1	0.9651883036483043
"single-stranded DNA endodeoxyribonuclease activity"	GO:0000014	5	SAKL0F01474g1_1	0.3037805363662818
"single-stranded DNA endodeoxyribonuclease activity"	GO:0000014	5	SAKL0H04950g1_1	0.24204443194142078
"single-stranded DNA endodeoxyribonuclease activity"	GO:0000014	5	SAKL0H02310g1_1	0.6299267923855324
"single-stranded DNA endodeoxyribonuclease activity"	GO:0000014	5	SAKL0H11858g1_1	-0.020065759282626393
"single-stranded DNA endodeoxyribonuclease activity"	GO:0000014	5	SAKL0H01760g1_1	0.8994058995218138
"single-stranded DNA endodeoxyribonuclease activity"	GO:0000014	5	SAKL0H24420g1_1	0.20750614033581002
"single-stranded DNA endodeoxyribonuclease activity"	GO:0000014	5	SAKL0C03806g1_1	-0.9869821531989285
"single-stranded DNA endodeoxyribonuclease activity"	GO:0000014	5	SAKL0C06402g1_1	-0.22900435931140933
"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"	GO:0016639	2	SAKL0D14982g1_1	-0.5174888138506999
"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"	GO:0016639	2	SAKL0E13024g1_1	3.4223470152417828
"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"	GO:0016639	2	SAKL0F16698g1_1	0.8340537303252947
"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"	GO:0016639	2	SAKL0F11638g1_1	0.3317739987915763
"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"	GO:0016639	2	SAKL0D07909pg1_1	1.3204166961492518
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0D00836g1_1	0.09822181604659896
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0D04070g1_1	6.941917555526924
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0D04664g1_1	-1.0179801924099547
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0E14806g1_1	-6.3063894421235345
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0A10010g1_1	-1.842734929155877
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0F02442g1_1	-0.36871943213088354
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0G14762g1_1	0.3376357888182758
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0G15136g1_1	1.1643632870088216
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0H05412g1_1	0.8132541182760747
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0H25498g1_1	1.9296557647498556
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0B12628g1_1	3.770326138261512
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0C05126g1_1	1.6244764967894294
"polyamine transmembrane transporter activity"	GO:0015203	3	SAKL0D04048g1_1	-2.023222053462063
"ATP-dependent DNA helicase activity"	GO:0004003	2	SAKL0D02772g1_1	0.08325271321726908
"ATP-dependent DNA helicase activity"	GO:0004003	2	SAKL0D11198g1_1	1.1085998676015925
"ATP-dependent DNA helicase activity"	GO:0004003	2	SAKL0D05588g1_1	-0.2622734783364531
"ATP-dependent DNA helicase activity"	GO:0004003	2	SAKL0E08910g1_1	0.017008783105820404
"ATP-dependent DNA helicase activity"	GO:0004003	2	SAKL0E06886g1_1	-1.9207640542407476
"ATP-dependent DNA helicase activity"	GO:0004003	2	SAKL0E14718g1_1	2.405911537544089
"ATP-dependent DNA helicase activity"	GO:0004003	2	SAKL0F04532g1_1	0.012214304542509814
"ATP-dependent DNA helicase activity"	GO:0004003	2	SAKL0G16984g1_1	0.9629846664447517
"ATP-dependent DNA helicase activity"	GO:0004003	2	SAKL0G10318g1_1	0.9717923558033836
"ATP-dependent DNA helicase activity"	GO:0004003	2	SAKL0G08074g1_1	-1.600346413796493
