"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-118 0.645483177694952 2 25 "GO:0000001" "mitochondrion inheritance" 0.806931442495274
202 0.29656602486715 3 44 "GO:0000002" "mitochondrial genome maintenance" 0.530396929089326
268 3.88560901338761e-05 1 424 "GO:0000003" "reproduction" 0.000843177155905111
114 0.738942778786915 3 14 "GO:0000011" "vacuole inheritance" 0.864065210078326
538 0.00644516461660504 2 42 "GO:0000018" "regulation of DNA recombination" 0.0419580216540988
702 0.0817510718196142 2 10 "GO:0000019" "regulation of mitotic recombination" 0.251333873693359
-421 0.234278066689672 2 13 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.467216278414483
-906 1.28207992962843e-05 4 38 "GO:0000027" "ribosomal large subunit assembly" 0.000375116419859824
-1218 1.24275585955674e-05 3 21 "GO:0000028" "ribosomal small subunit assembly" 0.000367742756623381
-108 0.711361562158289 4 19 "GO:0000032;GO:0006057;GO:0031506" "mannoprotein biosynthetic process" 0.849328522631905
101 0.833779027437336 6 7 "GO:0000038" "very long-chain fatty acid metabolic process" 0.913019591020531
692 4.60420680760665e-05 3 57 "GO:0000041" "transition metal ion transport" 0.000944043663543915
578 0.0132863280106902 3 30 "GO:0000045;GO:1905037" "autophagosome organization" 0.0706073431425251
776 0.0680794766585441 2 9 "GO:0000050" "urea cycle" 0.224120047052906
-1135 2.75260024672568e-09 7 45 "GO:0000054" "ribosomal subunit export from nucleus" 1.74823683962772e-07
-1186 3.45297692485099e-06 2 25 "GO:0000055" "ribosomal large subunit export from nucleus" 0.000135981163326017
-1233 0.000184407995737052 2 15 "GO:0000056" "ribosomal small subunit export from nucleus" 0.0028246965935252
-725 0.203444349964752 -1 5 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.432578660570979
144 0.246698527281058 5 108 "GO:0000070" "mitotic sister chromatid segregation" 0.483009748150282
335 0.00926924055119487 2 100 "GO:0000075" "cell cycle checkpoint" 0.054982010012099
642 0.0103756811300065 7 26 "GO:0000076" "DNA replication checkpoint" 0.0601743288697927
278 0.186193359579348 4 37 "GO:0000077" "DNA damage checkpoint" 0.410539803848114
108 0.698709627613334 2 21 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.841833612294653
-124 0.489646499250242 5 51 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.70250109313919
-1 0.998398093464175 4 24 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.999360761363685
-90 0.713589439728038 4 27 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.850428787666733
-346 0.080358519697915 2 42 "GO:0000096" "sulfur amino acid metabolic process" 0.248519697498065
-296 0.191082689146096 2 32 "GO:0000097" "sulfur amino acid biosynthetic process" 0.417782806495746
-534 0.186081155487916 3 10 "GO:0000103" "sulfate assimilation" 0.410539803848114
-327 0.46833931258409 3 8 "GO:0000105;GO:0006547;GO:0052803" "imidazole-containing compound metabolic process" 0.682841864484306
-81 0.887470114551116 2 5 "GO:0000117" "regulation of transcription involved in G2/M transition of mitotic cell cycle" 0.9486749500374
-275 0.00905390117034584 5 152 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0539557128973711
697 0.0243088847752466 3 17 "GO:0000128" "flocculation" 0.108021051117307
357 0.332130205523793 6 12 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.568617393283338
223 0.391908843272844 4 24 "GO:0000147" "actin cortical patch assembly" 0.623034571356829
-407 0.0922701299859327 3 28 "GO:0000154" "rRNA modification" 0.269183572653779
-1163 0.041482824072515 3 5 "GO:0000160" "phosphorelay signal transduction system" 0.160031516866413
-716 0.137300153010872 3 7 "GO:0000162;GO:0046219;GO:0042435" "indolalkylamine biosynthetic process" 0.344109334398759
22 0.931458795598576 2 24 "GO:0000165" "MAPK cascade" 0.969652818643346
-388 0.174091061004475 2 20 "GO:0000183" "chromatin silencing at rDNA" 0.396616905385523
-903 0.000700295087261262 8 23 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.00803334100100584
141 0.787095675976022 3 6 "GO:0000187" "activation of MAPK activity" 0.888842824432197
130 0.760335584044757 4 9 "GO:0000188" "inactivation of MAPK activity" 0.873544047218449
