"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
682 0.00330153651802972 2 18 "GO:0000109" "nucleotide-excision repair complex" 0.0219864563502101
457 0.188321326487091 3 8 "GO:0000112" "nucleotide-excision repair factor 3 complex" 0.421043616129675
199 0.171307916387075 2 46 "GO:0000118" "histone deacetylase complex" 0.402646812020903
186 0.593659687303108 2 8 "GO:0000120" "RNA polymerase I transcription factor complex" 0.79881347983859
89 0.522682688764704 4 51 "GO:0000123" "histone acetyltransferase complex" 0.768803893262808
34 0.882134465464468 3 19 "GO:0000124" "SAGA complex" 0.941074769692979
333 0.40622387195942 4 6 "GO:0000127" "transcription factor TFIIIC complex" 0.663013900299723
150 0.262078373547379 2 55 "GO:0000131" "incipient cellular bud site" 0.533863353522439
84 0.821411796516584 3 7 "GO:0000133" "polarisome" 0.915087978700008
85 0.807109724975178 2 8 "GO:0000136" "alpha-1,6-mannosyltransferase complex" 0.913395779292897
2 0.994949378753027 2 12 "GO:0000137" "Golgi cis cisterna" 0.994949378753027
406 0.311966674614446 2 6 "GO:0000138" "Golgi trans cisterna" 0.579667807560626
-233 0.0347295093979082 3 81 "GO:0000139" "Golgi membrane" 0.138414711368475
89 0.775995019596775 2 10 "GO:0000142;GO:0110085" "cellular bud neck contractile ring" 0.889160959954638
321 0.239907240677623 4 13 "GO:0000144" "cellular bud neck septin ring" 0.505551656600355
292 0.373292291447098 3 9 "GO:0000145" "exocyst" 0.645631321685232
633 4.54419898360989e-09 2 85 "GO:0000151" "ubiquitin ligase complex" 1.5620684006159e-07
533 0.00808839080162538 4 24 "GO:0000152" "nuclear ubiquitin ligase complex" 0.0449355044534743
453 0.11096973860829 3 12 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.305166781172797
22 0.952389304085297 2 7 "GO:0000159" "protein phosphatase type 2A complex" 0.975070215301331
710 0.0303631314029572 4 9 "GO:0000164" "protein phosphatase type 1 complex" 0.123701646456492
-405 0.172397237342116 3 11 "GO:0000172" "ribonuclease MRP complex" 0.40348289590708
-392 0.168009604713283 4 12 "GO:0000176" "nuclear exosome (RNase complex)" 0.396589195675132
-217 0.44476570119631 4 12 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.702934297867731
-282 0.267140217254042 3 15 "GO:0000178" "exosome (RNase complex)" 0.538194576885433
-1059 0.00437021739091817 4 7 "GO:0000220;GO:0033179" "proton-transporting V-type ATPase, V0 domain" 0.0279490647093604
