"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-114 0.624477208236283 4 18 "GO:0000109" "nucleotide-excision repair complex" 0.812172835681944
-318 0.360853793812395 2 8 "GO:0000112" "nucleotide-excision repair factor 3 complex" 0.634088136092068
-51 0.726711360873177 5 46 "GO:0000118" "histone deacetylase complex" 0.871884135958741
90 0.795131736262917 2 8 "GO:0000120" "RNA polymerase I transcription factor complex" 0.906489382250902
183 0.187670297108469 4 51 "GO:0000123" "histone acetyltransferase complex" 0.454473379225477
452 0.0453443268872319 2 19 "GO:0000124" "SAGA complex" 0.16850932289174
472 0.239325420878172 5 6 "GO:0000127" "transcription factor TFIIIC complex" 0.512307475410529
248 0.0628045402410332 2 55 "GO:0000131" "incipient cellular bud site" 0.215653560267819
206 0.57963134323235 2 7 "GO:0000133" "polarisome" 0.787153675994549
999 0.00406907838682738 2 8 "GO:0000136" "alpha-1,6-mannosyltransferase complex" 0.0306574399007542
632 0.0259766385254854 2 12 "GO:0000137" "Golgi cis cisterna" 0.107161471001597
19 0.962008929482458 2 6 "GO:0000138" "Golgi trans cisterna" 0.988550871161212
-88 0.427853039880306 2 81 "GO:0000139" "Golgi membrane" 0.684353780872341
-246 0.429276462547196 5 10 "GO:0000142;GO:0110085" "cellular bud neck contractile ring" 0.684353780872341
724 0.00800113031919556 2 13 "GO:0000144" "cellular bud neck septin ring" 0.0500070644949722
-60 0.854404340418893 2 9 "GO:0000145" "exocyst" 0.939844774460782
42 0.699042482582717 3 85 "GO:0000151" "ubiquitin ligase complex" 0.863456297950786
-15 0.940233692584127 3 24 "GO:0000152" "nuclear ubiquitin ligase complex" 0.979410096441799
182 0.522604514267476 2 12 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.752634620906106
-374 0.314527406740583 2 7 "GO:0000159" "protein phosphatase type 2A complex" 0.590409807874814
671 0.0405851215274882 2 9 "GO:0000164" "protein phosphatase type 1 complex" 0.152889156439168
-71 0.811419729210963 3 11 "GO:0000172" "ribonuclease MRP complex" 0.906489382250902
96 0.735477430199213 3 12 "GO:0000176" "nuclear exosome (RNase complex)" 0.871884135958741
93 0.743479381390272 2 12 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.871884135958741
23 0.927997120788139 3 15 "GO:0000178" "exosome (RNase complex)" 0.972187459873289
0 0.999385303477616 3 7 "GO:0000220;GO:0033179" "vacuolar proton-transporting V-type ATPase, V0 domain" 0.999385303477616
435 0.211309615096853 4 8 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 0.474368523686813
24 0.626111422416626 2 442 "GO:0000228" "nuclear chromosome" 0.812172835681944
-35 0.925117286311558 4 7 "GO:0000235;GO:0005818" "astral microtubule" 0.971238011900154
138 0.588595061669916 2 15 "GO:0000243" "commitment complex" 0.797357842163679
427 0.331331339937049 4 5 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.605871617508784
817 0.0126581410735467 4 9 "GO:0000276;GO:0045263" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 0.0665959238503781
-676 0.0297077124001021 2 10 "GO:0000306" "extrinsic component of vacuolar membrane" 0.118400303043885
660 0.00350211739043274 2 19 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.0283259494814413
-479 1.00608131231967e-05 3 84 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.000158098491935948
-578 0.000635815644665351 3 34 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.00624461793867755
-396 0.00608147061636716 5 47 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.0402989016747221
137 0.00662423648393351 3 433 "GO:0000322;GO:0000324" "storage vacuole" 0.0433729769781361
140 0.00557432309016849 3 435 "GO:0000323" "lytic vacuole" 0.0373887524340569
568 0.0119791570601089 2 19 "GO:0000328" "fungal-type vacuole lumen" 0.065885363830599
52 0.443992939704233 2 221 "GO:0000329" "fungal-type vacuole membrane" 0.69571543258498
-187 0.590421637600549 4 8 "GO:0000346" "transcription export complex" 0.79786707783858
-550 0.211027054951104 4 5 "GO:0000347;GO:0000445" "THO complex" 0.474368523686813
712 0.003843666616315 2 16 "GO:0000399" "cellular bud neck septin structure" 0.0293613422079618
