BioProject,Reference,DOI,year
PRJNA149513,(Moya et al. 2012),https://doi.org/10.1111/j.1365-294X.2012.05554.x,2012
PRJNA177515,(Barshis et al. 2013),https://doi.org/10.1073/pnas.1210224110,2013
PRJNA222758,(Libro et al. 2013),https://doi.org/10.1371/journal.pone.0081821,2013
PRJNA200542,(Weiss et al. 2013),https://doi.org/10.1186/1471-2164-14-400,2013
PRJNA242821,(Palumbi et al. 2014),https://doi.org/10.1126/science.1251336,2014
PRJNA266455,(Rosic et al. 2014),https://doi.org/10.1186/1471-2164-15-1052,2014
PRJNA288809,(Bertucci et al. 2015),https://doi.org/10.1111/mec.13328,2015
PRJNA279192,(Dixon et al. 2015),https://doi.org/10.1126/science.1261224,2015
PRJNA276913,"(Kaniewska, Alon, et al. 2015)",https://dx.doi.org/10.7554%2FeLife.09991,2015
PRJNA269992,"(Kaniewska, Chan, et al. 2015)",https://doi.org/10.1371/journal.pone.0139223,2015
PRJNA260269,(Moya et al. 2014),https://doi.org/10.1111/mec.13021,2015
PRJNA274410,(Seneca and Palumbi 2015),https://doi.org/10.1111/mec.13125,2015
PRJNA309168,(Mohamed et al. 2016),https://doi.org/10.1111/mec.13659,2016
PRJDB3244,(Reyes-Bermudez et al. 2016),https://doi.org/10.1093/gbe/evw042,2016
PRJNA292574,(Strader et al. 2016),https://doi.org/10.1111/mec.13488,2016
PRJDB4562,(Takahashi-Kariyazono et al. 2016),https://doi.org/10.1093/gbe/evw265,2016
PRJDB4579,(Yasuoka et al. 2016),https://doi.org/10.1016/j.cub.2016.08.011,2016
PRJNA380267,(Aguilar et al. 2017),https://doi.org/10.1186/s12864-017-3959-0,2017
PRJNA411943,(Bay et al. 2017),https://doi.org/10.1126/sciadv.1701413,2017
PRJNA298496,(Gajigan and Conaco 2017),https://doi.org/10.1111/mec.14130,2017
PRJNA316795,(Rosenberg et al. 2017),https://doi.org/10.1111/mec.14062,2017
PRJNA338455,(Ruiz-Jones and Palumbi 2017),https://doi.org/10.1126/sciadv.1601298,2017
PRJNA319662,(Wright et al. 2017),https://doi.org/10.1038/s41598-017-02685-1,2017
PRJNA308355,(Zhou et al. 2017),https://doi.org/10.1016/j.fsi.2017.06.027,2017
PRJNA362652,(Kenkel et al. 2018),https://doi.org/10.1111/gcb.13833,2018
PRJNA398338,(Mohamed et al. 2018),https://doi.org/10.1038/s41396-017-0005-9,2018
PRJNA293100,(Oldach and Vize 2018),https://doi.org/10.1016/j.margen.2017.12.007,2018
PRJNA423227,(Parkinson et al. 2018),https://doi.org/10.1111/mec.14517,2018
PRJNA379450,(Rose et al. 2018),https://doi.org/10.1111/evo.13385,2018
PRJNA379147,(Strader et al. 2018),https://doi.org/10.1186/s12864-017-4392-0,2018
PRJDB6468,(Takahashi-Kariyazono et al. 2018),https://doi.org/10.1093/gbe/evy122,2018
PRJNA380146,(Yuan et al. 2018),https://doi.org/10.1038/s41598-018-21267-3,2018
PRJNA476311,(Rocker et al. 2019),https://doi.org/10.1016/j.jembe.2018.11.004,2019
PRJNA386795,none,none,none
PRJDB4715,none,none,none
This study,none,none,none
