sam,abrasion,bac,geno,rep,reef,surv,lesion
L41,NA,NA,4,1,L,0.417,NA
L42,NA,NA,4,2,L,0.417,NA
AO42,A,O,4,2,L,0.417,Y
ND41,N,D,4,1,L,0.417,Y
ND42,N,D,4,2,L,0.417,Y
AC41,A,C,4,1,L,0.417,N
AC42,A,C,4,2,L,0.417,N
AO41,A,O,4,1,L,0.417,N
AO43,A,O,4,3,L,0.417,N
NC41,N,C,4,1,L,0.417,N
NC42,N,C,4,2,L,0.417,N
NC43,N,C,4,3,L,0.417,N
NO41,N,O,4,1,L,0.417,N
NO42,N,O,4,2,L,0.417,N
NO43,N,O,4,3,L,0.417,N
L51,NA,NA,5,1,L,0.417,NA
L52,NA,NA,5,2,L,0.417,NA
AC53,A,C,5,3,L,0.417,Y
AO52,A,O,5,2,L,0.417,Y
AO53,A,O,5,3,L,0.417,Y
ND51,N,D,5,1,L,0.417,Y
NO53,N,O,5,3,L,0.417,Y
AC51,A,C,5,1,L,0.417,N
AD51,A,D,5,1,L,0.417,N
NC51,N,C,5,1,L,0.417,N
NC52,N,C,5,2,L,0.417,N
NC53,N,C,5,3,L,0.417,N
ND52,N,D,5,2,L,0.417,N
ND53,N,D,5,3,L,0.417,N
NO52,N,O,5,2,L,0.417,N
L71,NA,NA,7,1,L,0.75,NA
L72,NA,NA,7,2,L,0.75,NA
ND73,N,D,7,3,L,0.75,Y
NO72,N,O,7,2,L,0.75,Y
AC71,A,C,7,1,L,0.75,N
AC72,A,C,7,2,L,0.75,N
AC73,A,C,7,3,L,0.75,N
AD71,A,D,7,1,L,0.75,N
AD72,A,D,7,2,L,0.75,N
AD73,A,D,7,3,L,0.75,N
AO71,A,O,7,1,L,0.75,N
AO72,A,O,7,2,L,0.75,N
AO73,A,O,7,3,L,0.75,N
NC71,N,C,7,1,L,0.75,N
NC72,N,C,7,2,L,0.75,N
NC73,N,C,7,3,L,0.75,N
ND71,N,D,7,1,L,0.75,N
NO71,N,O,7,1,L,0.75,N
NO73,N,O,7,3,L,0.75,N
L91,NA,NA,9,1,L,0.083,NA
L92,NA,NA,9,2,L,0.083,NA
AC92,A,C,9,2,L,0.083,Y
AC93,A,C,9,3,L,0.083,Y
AD91,A,D,9,1,L,0.083,Y
AD92,A,D,9,2,L,0.083,Y
AD93,A,D,9,3,L,0.083,Y
AO91,A,O,9,1,L,0.083,Y
AO93,A,O,9,3,L,0.083,Y
ND91,N,D,9,1,L,0.083,Y
ND93,N,D,9,3,L,0.083,Y
NO93,N,O,9,3,L,0.083,Y
NO91,N,O,9,1,L,0.083,Y
AC91,A,C,9,1,L,0.083,N
NC91,N,C,9,1,L,0.083,N
NC92,N,C,9,2,L,0.083,N
NC93,N,C,9,3,L,0.083,N
NO92,N,O,9,2,L,0.083,N
W221,NA,NA,22,1,W,0.75,NA
W222,NA,NA,22,2,W,0.75,NA
AC221,A,C,22,1,W,0.75,N
AC222,A,C,22,2,W,0.75,N
AC223,A,C,22,3,W,0.75,N
AD221,A,D,22,1,W,0.75,N
AD222,A,D,22,2,W,0.75,N
AD223,A,D,22,3,W,0.75,N
AO221,A,O,22,1,W,0.75,N
AO222,A,O,22,2,W,0.75,N
AO223,A,O,22,3,W,0.75,N
NC221,N,C,22,1,W,0.75,N
NC222,N,C,22,2,W,0.75,N
NC223,N,C,22,3,W,0.75,N
NO221,N,O,22,1,W,0.75,N
NO222,N,O,22,2,W,0.75,N
W261,NA,NA,26,1,W,0.667,NA
W262,NA,NA,26,2,W,0.667,NA
ND261,N,D,26,1,W,0.667,Y
AC261,A,C,26,1,W,0.667,N
AC262,A,C,26,2,W,0.667,N
AD261,A,D,26,1,W,0.667,N
AD262,A,D,26,2,W,0.667,N
AO262,A,O,26,2,W,0.667,N
AO263,A,O,26,3,W,0.667,N
NC261,N,C,26,1,W,0.667,N
NC262,N,C,26,2,W,0.667,N
NC263,N,C,26,3,W,0.667,N
ND262,N,D,26,2,W,0.667,N
NO261,N,O,26,1,W,0.667,N
NO262,N,O,26,2,W,0.667,N
NO263,N,O,26,3,W,0.667,N
W272,NA,NA,27,2,W,0.417,NA
W271,NA,NA,27,1,W,0.417,NA
ND271,N,D,27,1,W,0.417,Y
AC272,A,C,27,2,W,0.417,N
AC273,A,C,27,3,W,0.417,N
AD271,A,D,27,1,W,0.417,N
AO301,A,O,30,1,W,1,N
NC271,N,C,27,1,W,0.417,N
NC272,N,C,27,2,W,0.417,N
NC273,N,C,27,3,W,0.417,N
ND273,N,D,27,3,W,0.417,N
NO271,N,O,27,1,W,0.417,N
NO273,N,O,27,3,W,0.417,N
W301,NA,NA,30,1,W,1,NA
W302,NA,NA,30,2,W,1,NA
AC301,A,C,30,1,W,1,N
AC302,A,C,30,2,W,1,N
AC303,A,C,30,3,W,1,N
AD301,A,D,30,1,W,1,N
AD302,A,D,30,2,W,1,N
AD303,A,D,30,3,W,1,N
AO273,A,O,27,3,W,0.417,N
AO302,A,O,30,2,W,1,N
AO303,A,O,30,3,W,1,N
NC301,N,C,30,1,W,1,N
NC302,N,C,30,2,W,1,N
NC303,N,C,30,3,W,1,N
ND301,N,D,30,1,W,1,N
ND302,N,D,30,2,W,1,N
ND303,N,D,30,3,W,1,N
NO301,N,O,30,1,W,1,N
NO302,N,O,30,2,W,1,N
NO303,N,O,30,3,W,1,N
