sample_name,sample_title,organism,isolate,breed,isolation_source,collection_date,geo_loc_name,tissue,age,description,method,fileName
Ht1.L1.C.tp1.1,s1_S39,Acropora millepora,Ht1_L1_C_tp1_1,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat1;colony=L1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=heat1;colony=L1;treatment=;replicate=1;timepoint=1,s1_S39.fastq.gz
Ht1.L1.C.tp1.2,s2_S40,Acropora millepora,Ht1_L1_C_tp1_2,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat1;colony=L1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=heat1;colony=L1;treatment=;replicate=2;timepoint=1,s2_S40.fastq.gz
Ht1.L1.C.tp1.3,s3_S41,Acropora millepora,Ht1_L1_C_tp1_3,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat1;colony=L1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=heat1;colony=L1;treatment=;replicate=3;timepoint=1,s3_S41.fastq.gz
Ht1.N2.C.tp1.1,s4_S42,Acropora millepora,Ht1_N2_C_tp1_1,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat1;colony=N2;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=heat1;colony=N2;treatment=;replicate=1;timepoint=1,s4_S42.fastq.gz
Ht1.N2.C.tp1.2,s5_S43,Acropora millepora,Ht1_N2_C_tp1_2,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat1;colony=N2;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=heat1;colony=N2;treatment=;replicate=2;timepoint=1,s5_S43.fastq.gz
Ht1.N2.C.tp1.3,s6_S44,Acropora millepora,Ht1_N2_C_tp1_3,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat1;colony=N2;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=heat1;colony=N2;treatment=;replicate=3;timepoint=1,s6_S44.fastq.gz
Ht1.L1.T.tp1.1,s7_S45,Acropora millepora,Ht1_L1_T_tp1_1,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat1;colony=L1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=heat1;colony=L1;treatment=;replicate=1;timepoint=1,s7_S45.fastq.gz
Ht1.L1.T.tp1.2,s8_S46,Acropora millepora,Ht1_L1_T_tp1_2,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat1;colony=L1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=heat1;colony=L1;treatment=;replicate=2;timepoint=1,s8_S46.fastq.gz
Ht1.L1.T.tp1.3,s9_S47,Acropora millepora,Ht1_L1_T_tp1_3,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat1;colony=L1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=heat1;colony=L1;treatment=;replicate=3;timepoint=1,s9_S47.fastq.gz
Ht1.N2.T.tp1.1,s10_S48,Acropora millepora,Ht1_N2_T_tp1_1,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat1;colony=N2;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=heat1;colony=N2;treatment=;replicate=1;timepoint=1,s10_S48.fastq.gz
