my_title,Run,my_stage,Organism,projType,treat,treatDescription,special,geneCounted,rawCounts,bleached,stress
L_Barshis_bleachResillience_PRJNA177515,SRR629090,adult,Acropora hyacinthus,temp,heat,01_h_HV,none,763126,19577661,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629091,adult,Acropora hyacinthus,temp,control,02_c_HV,none,1637079,18872907,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629092,adult,Acropora hyacinthus,temp,heat,02_h_HV,none,1074790,9457678,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629093,adult,Acropora hyacinthus,temp,control,03_c_HV,none,734261,13328694,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629094,adult,Acropora hyacinthus,temp,control,06_c_HV,none,993593,9146242,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629096,adult,Acropora hyacinthus,temp,control,09_c_HV,none,1145901,10464369,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629126,adult,Acropora hyacinthus,temp,heat,09_h_HV,none,622661,26399718,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629130,adult,Acropora hyacinthus,temp,heat,31_h_MV,none,757801,13561442,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629131,adult,Acropora hyacinthus,temp,control,40_c_MV,none,1299265,9235183,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629132,adult,Acropora hyacinthus,temp,heat,40_h_MV,none,963561,10573276,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629135,adult,Acropora hyacinthus,temp,control,45_c_MV,none,299455,5551198,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629150,adult,Acropora hyacinthus,temp,control,55_c_MV,none,1539927,17722284,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629151,adult,Acropora hyacinthus,temp,heat,55_h_MV,none,858555,17905764,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629155,adult,Acropora hyacinthus,temp,heat,65_h_MV,none,904566,18368411,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629089,adult,Acropora hyacinthus,temp,control,01_c_HV,none,303262,18753443,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629095,adult,Acropora hyacinthus,temp,heat,06_h_HV,none,735115,8011684,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629127,adult,Acropora hyacinthus,temp,control,75_c_HV,none,579219,6256079,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629128,adult,Acropora hyacinthus,temp,heat,75_h_HV,none,218116,2440360,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629129,adult,Acropora hyacinthus,temp,control,31_c_MV,none,1973269,15613291,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629133,adult,Acropora hyacinthus,temp,control,44_c_MV,none,1189820,16743882,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629134,adult,Acropora hyacinthus,temp,heat,44_h_MV,none,922340,16198613,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629136,adult,Acropora hyacinthus,temp,heat,45_h_MV,none,107096,2083128,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629152,adult,Acropora hyacinthus,temp,control,61_c_MV,none,1125991,8838378,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629153,adult,Acropora hyacinthus,temp,heat,61_h_MV,none,2534487,15748515,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629154,adult,Acropora hyacinthus,temp,control,65_c_MV,none,1231305,9584976,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629156,adult,Acropora hyacinthus,temp,control,68_c_MV,none,126549,18566614,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629157,adult,Acropora hyacinthus,temp,heat,68_h_MV,none,903510,6584461,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629158,adult,Acropora hyacinthus,temp,control,70_c_MV,none,1006237,16299011,control,control
L_Barshis_bleachResillience_PRJNA177515,SRR629159,adult,Acropora hyacinthus,temp,heat,70_h_MV,none,536474,8193882,bleached,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629160,adult,Acropora hyacinthus,temp,control,71_c_MV,none,877861,19108917,control,control
