sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
s100_S137.sam	24705	1	20	5059	80	37394	1	34	9240	4334	0.26683	0.000	0.002	0.679	0.318
s101_S138.sam	28742	5	65	18172	91	41784	6	250	26267	6039	0.43798	0.000	0.008	0.807	0.185
s102_S139.sam	34170	3	75	18161	111	53552	5	265	26997	6359	0.38572	0.000	0.008	0.803	0.189
s104_S140.sam	22017	2	58	18985	92	33984	3	265	30199	7697	0.52897	0.000	0.007	0.791	0.202
s105_S141.sam	23042	3	51	15845	88	33828	3	215	24669	7178	0.48662	0.000	0.007	0.769	0.224
s106_S142.sam	36998	1	86	25829	103	60110	4	417	39924	7048	0.44085	0.000	0.009	0.842	0.149
s107_S143.sam	25283	3	60	16986	82	40133	6	216	23698	4522	0.41476	0.000	0.008	0.833	0.159
s108_S144.sam	24781	5	74	29302	103	34372	9	349	41388	4189	0.57199	0.000	0.008	0.901	0.091
s10_S48.sam	25042	3	48	16658	93	39718	3	148	24324	4860	0.42482	0.000	0.005	0.829	0.166
s110_S145.sam	22738	6	55	17508	91	31881	7	161	24130	4019	0.47040	0.000	0.006	0.852	0.142
s111_S146.sam	22921	5	58	22522	85	33774	7	227	31751	4106	0.51658	0.000	0.006	0.880	0.114
s112_S147.sam	20833	5	22	4475	80	32466	5	43	8403	5341	0.29815	0.000	0.003	0.609	0.387
s113_S148.sam	22969	2	34	10274	77	38784	2	113	15750	5309	0.35315	0.000	0.005	0.744	0.251
s114_S149.sam	18637	2	51	19644	88	29629	4	132	28986	5342	0.53772	0.000	0.004	0.841	0.155
s115_S150.sam	21378	3	25	6040	76	34465	3	50	10476	5445	0.31670	0.000	0.003	0.656	0.341
s116_S151.sam	25739	3	17	6846	88	41634	3	48	12095	6223	0.30613	0.000	0.003	0.658	0.339
s117_S152.sam	27019	2	20	3663	88	42878	2	29	8601	5819	0.25207	0.000	0.002	0.595	0.403
s118_S153.sam	20517	3	26	6398	97	31060	4	48	12524	6457	0.37995	0.000	0.003	0.658	0.339
s119_S154.sam	22277	2	44	16151	78	34823	2	130	23959	6183	0.46506	0.000	0.004	0.791	0.204
s11_S49.sam	22315	2	59	18536	108	34243	3	164	26471	3646	0.46932	0.000	0.005	0.874	0.120
s120_S155.sam	20389	4	31	10424	87	31717	4	73	16721	6761	0.42621	0.000	0.003	0.710	0.287
s121_S156.sam	27989	0	27	6402	97	43501	0	46	14678	9413	0.35686	0.000	0.002	0.608	0.390
s122_S157.sam	39960	6	65	26412	121	66195	11	332	47938	17857	0.49978	0.000	0.005	0.725	0.270
s123_S158.sam	45139	1	53	12127	118	75547	1	155	25480	14286	0.34574	0.000	0.004	0.638	0.358
s125_S159.sam	21190	3	46	15066	79	29791	5	129	20827	4025	0.45614	0.000	0.005	0.834	0.161
s126_S160.sam	23081	4	72	28489	93	35638	5	183	40547	3893	0.55600	0.000	0.004	0.909	0.087
s127_S161.sam	22772	1	53	11530	95	31817	3	148	17830	5585	0.42551	0.000	0.006	0.757	0.237
s128_S162.sam	24655	4	42	11336	88	34683	4	174	17618	5525	0.40206	0.000	0.007	0.755	0.237
s129_S163.sam	24726	2	35	9668	79	36203	2	140	15064	5611	0.36508	0.000	0.007	0.724	0.270
s12_S50.sam	20343	2	73	24698	108	30675	4	234	36037	4793	0.57243	0.000	0.006	0.877	0.117
s130_S164.sam	28119	5	61	20152	107	42429	12	312	29482	4922	0.45010	0.000	0.009	0.849	0.142
