gene	lassoCoef	MeanDecreaseAccuracy	MeanDecreaseGini
Amillepora16770	0	0	0
Amillepora16769	0	1.4492753623188407e-5	0.007410221619176866
Amillepora16774	0	5.797101449275363e-5	0.007067382550335549
Amillepora16773	0	0	0
Amillepora16771	0	0	0
Amillepora16778	0	0	0
Amillepora16777	0	0	0
Amillepora16779	0	0	0
Amillepora16782	0	0	0
Amillepora16781	0	0	0
Amillepora16780	0	0	0
Amillepora16783	0	0	0
Amillepora16793	0	0	0
Amillepora16784	0	0	0
Amillepora16795	0	0	0
Amillepora16787	0	1.9011535869343742e-4	0.07911454723765937
Amillepora16794	0	0	0
Amillepora16792	0	7.462686567164178e-5	0.018598831300813003
Amillepora16791	0	4.225352112676056e-5	0.04155884640034357
Amillepora16790	0	0	0
Amillepora16788	0	0	0
Amillepora16789	0	0	0
Amillepora16785	0	0	0
Amillepora16796	0	0	0
Amillepora16800	0	0	0
Amillepora16798	0	0	0.027558519324986378
Amillepora16797	0	0	0
Amillepora16801	0	-3.0534351145038166e-5	0.003
Amillepora16804	0	0	0
Amillepora16812	0	0	0
Amillepora16808	0	0	0
Amillepora16815	0	0	0
Amillepora16806	0	0	0
Amillepora16813	0	0	0
Amillepora16807	0	0	0
Amillepora16814	0	0	0.007850467289722189
Amillepora16811	0	0	0
Amillepora16805	0	0	0
Amillepora16809	0	0	0
Amillepora16802	0	0	0
Amillepora16803	0	0	0
Amillepora16810	0	0	0
Amillepora16817	0	0	0
Amillepora16818	0	0	0
Amillepora16824	0	0	0
Amillepora16816	0	0	0
Amillepora16823	0	0	0
Amillepora16822	0	0	0
Amillepora16821	0	0	0
Amillepora16819	0	2.9850746268656717e-5	0.00888888888888889
Amillepora16820	0	0	0
Amillepora16826	0	0	0
Amillepora16825	0	0	0
Amillepora16830	0	0	0
Amillepora16831	0	0	0.017882843137254908
Amillepora16829	0	0	0
Amillepora16833	0	-2.73972602739726e-5	0.018576675849403132
Amillepora16841	0	0	0
Amillepora16843	0	0	0
Amillepora16840	0	0	0
Amillepora16844	0	1.4925373134328359e-5	0.0035
Amillepora16845	0	0	0
Amillepora16836	0	0	0
Amillepora16834	0	0	0
Amillepora16838	0	0	0
Amillepora16839	0	0	0
Amillepora16837	0	0	0
Amillepora16849	0	2.8169014084507043e-5	0.003819709702062653
Amillepora16846	0	0	0
Amillepora16852	0	3.0534351145038166e-5	0.003972602739726028
Amillepora16848	0	1.5267175572519083e-5	0.0050133921730895845
Amillepora16847	0	0	0
