name	term	lev	seq	value
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora15347	1
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora16105	1
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora25341	1
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora00032	1
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora02592	1
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora03490	1
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora07332	1
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora07331	1
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora08372	1
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora12008	1
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora20705	0
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora21385	0
"transferase activity, transferring sulfur-containing groups"	GO:0016782;GO:0008146	3	Amillepora30343	1
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora03541	0
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora03551	1
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora03548	0
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora22469	1
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora22468	1
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora22470	0
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora19099	1
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora12727	0
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora12726	1
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora12729	0
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora12730	1
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora12728	1
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"	GO:0004500;GO:0016715	4	Amillepora32901	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora16784	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora16820	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora18258	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora18254	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora27356	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora13100	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora13103	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora13146	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14053	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14054	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14057	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14099	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14133	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14267	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14279	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14281	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14283	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14285	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14287	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14323	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14507	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14512	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14795	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14822	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14861	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora14880	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora15030	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora15032	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora15036	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora15047	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora15348	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora15354	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora15385	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora15589	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora15593	0
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora16316	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora16435	1
"metal ion transmembrane transporter activity"	GO:0046873	4	Amillepora16465	1
