name	term	lev	seq	value
"actin filament binding"	GO:0051015	3	Amillepora18154	1
"actin filament binding"	GO:0051015	3	Amillepora14302	0
"actin filament binding"	GO:0051015	3	Amillepora25054	0
"actin filament binding"	GO:0051015	3	Amillepora01150	0
"actin filament binding"	GO:0051015	3	Amillepora03356	0
"actin filament binding"	GO:0051015	3	Amillepora05439	0
"actin filament binding"	GO:0051015	3	Amillepora09417	0
"actin filament binding"	GO:0051015	3	Amillepora10159	0
"actin filament binding"	GO:0051015	3	Amillepora08453	0
"actin filament binding"	GO:0051015	3	Amillepora18927	0
"actin filament binding"	GO:0051015	3	Amillepora11317	0
"actin filament binding"	GO:0051015	3	Amillepora21459	0
"actin filament binding"	GO:0051015	3	Amillepora29743	0
"actin filament binding"	GO:0051015	3	Amillepora29744	0
"actin filament binding"	GO:0051015	3	Amillepora32156	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora12956	1
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora13100	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora13103	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora24980	1
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora00710	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora04293	1
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora04844	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora04843	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora05167	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora06083	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora06085	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora22351	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora08632	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora10422	0
"monocarboxylic acid transmembrane transporter activity"	GO:0008028	2	Amillepora10420	0
