"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.910270838684665 2 70 "GO:0000041" "transition metal ion transport" 0.999999999999999
0 0.0732692184821356 4 53 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.568498514487896
0 0.000388320772291308 3 182 "GO:0000075;GO:1901988;GO:0010948;GO:1901987" "regulation of cell cycle phase transition" 0.0147105045503296
0 0.0368857852312532 3 85 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.354543965506374
0 0.00776353972708776 2 110 "GO:0000082;GO:0044843;GO:0051325;GO:0051329" "interphase" 0.124992989606113
0 0.0254504571580644 4 74 "GO:0000084;GO:0051320" "S phase" 0.277798210335483
0 0.999817833023731 2 210 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.999999999999999
0 0.999436329437909 2 60 "GO:0000187" "activation of MAPK activity" 0.999999999999999
0 0.897053002085638 3 71 "GO:0000209" "protein polyubiquitination" 0.999999999999999
0 0.337887245802461 2 243 "GO:0000226;GO:0007017" "microtubule-based process" 0.999999999999999
0 0.999659616778894 4 87 "GO:0000302" "response to reactive oxygen species" 0.999999999999999
0 0.0503596783551146 5 87 "GO:0000375;GO:0008380;GO:0000377;GO:0000398" "RNA splicing" 0.450439345287414
0 0.000614101072507145 5 52 "GO:0000723;GO:0032200" "telomere organization" 0.0188324328902191
0 0.988030229476408 2 486 "GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0032990;GO:0031175;GO:0048667" "cell part morphogenesis" 0.999999999999999
0 0.328007351841544 2 104 "GO:0000910" "cytokinesis" 0.999999999999999
0 0.773706343975832 3 135 "GO:0001101" "response to acid chemical" 0.999999999999999
0 0.979856672646208 4 149 "GO:0001501" "skeletal system development" 0.999999999999999
0 0.993000535110224 2 72 "GO:0001503" "ossification" 0.999999999999999
0 0.946653599813684 2 147 "GO:0001505" "regulation of neurotransmitter levels" 0.999999999999999
0 0.321637636774489 3 57 "GO:0001508" "action potential" 0.999999999999999
0 0.355969138762073 3 126 "GO:0001525" "angiogenesis" 0.999999999999999
0 0.951614496559921 2 119 "GO:0001558" "regulation of cell growth" 0.999999999999999
0 0.918288743625444 3 179 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 0.999999999999999
0 0.914928878996286 3 162 "GO:0001655;GO:0072001" "urogenital system development" 0.999999999999999
0 0.909981506991935 4 121 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.999999999999999
0 0.992348233451343 2 152 "GO:0001667" "ameboidal-type cell migration" 0.999999999999999
0 0.371725674665583 3 67 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.999999999999999
0 0.835126487632498 2 138 "GO:0001701" "in utero embryonic development" 0.999999999999999
0 0.975046068362183 3 50 "GO:0001704" "formation of primary germ layer" 0.999999999999999
0 0.727458913172648 2 80 "GO:0001708" "cell fate specification" 0.999999999999999
0 0.87128694198489 2 83 "GO:0001709" "cell fate determination" 0.999999999999999
0 0.988328272116367 2 106 "GO:0001745;GO:0048749" "compound eye development" 0.999999999999999
