"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 13 "GO:0000118" "histone deacetylase complex" 1
0 1 5 23 "GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 1
0 0.997214677350847 2 195 "GO:0000139" "Golgi membrane" 1
0 0.913619398467342 3 60 "GO:0000151" "ubiquitin ligase complex" 1
0 1 4 17 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 2 10 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 1 3 15 "GO:0000178;GO:1905354" "exosome (RNase complex)" 1
0 0.669900608334065 2 169 "GO:0000228;GO:0044454" "nuclear chromosome" 1
0 1 2 43 "GO:0000313;GO:0005840;GO:0044391;GO:0005761" "ribosome" 1
0 1 3 16 "GO:0000314;GO:0015935;GO:0005763" "small ribosomal subunit" 1
0 1 2 23 "GO:0000315;GO:0015934;GO:0005762" "large ribosomal subunit" 1
0 0.571635270184907 2 179 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 1
0 0.898143208164238 2 56 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 1
0 1 3 19 "GO:0000502;GO:1905369" "proteasome complex" 1
0 1 2 60 "GO:0000775" "chromosome, centromeric region" 1
0 1 2 43 "GO:0000776;GO:0000777;GO:0000779" "kinetochore" 1
0 1 2 10 "GO:0000780" "condensed nuclear chromosome, centromeric region" 1
0 1 2 20 "GO:0000781" "chromosome, telomeric region" 1
0 1 2 10 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 0.992598595706586 2 119 "GO:0000785" "chromatin" 1
0 0.920458634119556 2 62 "GO:0000790" "nuclear chromatin" 1
0 1 2 18 "GO:0000792" "heterochromatin" 1
0 0.291563959144562 2 91 "GO:0000793" "condensed chromosome" 1
0 0.056631729773353 3 53 "GO:0000794" "condensed nuclear chromosome" 0.343483752320989
0 1 4 17 "GO:0000795;GO:0099086" "synaptonemal complex" 1
0 1 2 15 "GO:0000803" "sex chromosome" 1
0 0.648620967996824 2 55 "GO:0000922" "spindle pole" 1
0 1 4 14 "GO:0000932" "P-body" 1
0 1 2 19 "GO:0001669" "acrosomal vesicle" 1
0 1 2 22 "GO:0001726" "ruffle" 1
0 1 2 11 "GO:0002116" "semaphorin receptor complex" 1
0 1 2 12 "GO:0005581" "collagen trimer" 1
0 0.012253117132906 2 64 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.110278054196154
0 0.0189774063008998 2 232 "GO:0005615" "extracellular space" 0.151277038798601
0 0.848160448847972 2 148 "GO:0005635" "nuclear envelope" 1
0 0.727470369537606 2 32 "GO:0005643;GO:0046930" "pore complex" 1
0 1 3 10 "GO:0005656;GO:0036387" "nuclear pre-replicative complex" 1
0 1 2 40 "GO:0005657" "replication fork" 1
0 1 7 12 "GO:0005658" "alpha DNA polymerase:primase complex" 1
0 0.897905760394455 2 95 "GO:0005667" "transcription factor complex" 1
0 1 2 10 "GO:0005680" "anaphase-promoting complex" 1
0 1 4 54 "GO:0005681" "spliceosomal complex" 1
0 1 2 33 "GO:0005700" "polytene chromosome" 1
0 0.948957141210592 2 223 "GO:0005730" "nucleolus" 1
0 1 3 11 "GO:0005732" "small nucleolar ribonucleoprotein complex" 1
0 0.837692855305323 2 206 "GO:0005740;GO:0031966" "mitochondrial envelope" 1
0 0.127025544029896 2 49 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.611036668695534
0 0.976027669591627 2 137 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 1 5 10 "GO:0005746;GO:0070469" "mitochondrial respirasome" 1
0 0.622318783980865 3 24 "GO:0005758;GO:0031970" "organelle envelope lumen" 1
0 1 2 127 "GO:0005759" "mitochondrial matrix" 1
0 0.670765747424505 2 86 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 1
0 0.116466392775727 2 229 "GO:0005768" "endosome" 0.570072343586453
0 0.558687206352879 3 73 "GO:0005769" "early endosome" 1
0 0.658430634336501 6 56 "GO:0005770" "late endosome" 1
0 1 2 10 "GO:0005771" "multivesicular body" 1
0 0.427042137839336 4 60 "GO:0005775;GO:0043202" "lysosomal lumen" 1
0 0.0968318558041478 4 62 "GO:0005777;GO:0042579" "peroxisome" 0.519540149410716
0 1 4 18 "GO:0005778;GO:0031903" "microbody membrane" 1
0 1 4 14 "GO:0005782;GO:0031907" "peroxisomal matrix" 1
0 1 2 52 "GO:0005788" "endoplasmic reticulum lumen" 1
0 0.949160399044836 3 320 "GO:0005789;GO:0044432;GO:0042175" "endoplasmic reticulum part" 1
0 0.477051431480847 4 16 "GO:0005791" "rough endoplasmic reticulum" 1
0 1 3 18 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 1
0 0.0763534800189124 2 430 "GO:0005794" "Golgi apparatus" 0.417698449515227
0 1 2 66 "GO:0005795" "Golgi stack" 1
0 0.012961860049204 4 13 "GO:0005796" "Golgi lumen" 0.113011217303997
0 1 6 16 "GO:0005797" "Golgi medial cisterna" 1
0 1 2 25 "GO:0005798" "Golgi-associated vesicle" 1
0 1 4 13 "GO:0005801" "cis-Golgi network" 1
0 1 2 52 "GO:0005802" "trans-Golgi network" 1
0 0.963770762706353 2 81 "GO:0005811" "lipid droplet" 1
0 0.992276855387705 2 168 "GO:0005813;GO:0005815" "microtubule organizing center" 1
0 1 3 25 "GO:0005814;GO:0044450" "microtubule organizing center part" 1
0 0.690251708561952 4 117 "GO:0005819" "spindle" 1
0 1 2 12 "GO:0005839" "proteasome core complex" 1
0 1 3 15 "GO:0005871" "kinesin complex" 1
