delta.rank	pval	level	nseqs	term	name	p.adj
0	0.00604351586016843	4	23	GO:0000123;GO:0031248;GO:1902493	histone acetyltransferase complex	0.0991847602933525
0	1.6704630909573e-5	4	43	GO:0000313;GO:0005840;GO:0044391;GO:0005761	ribosome	0.00233029601188543
0	0.00590802507137482	5	16	GO:0000314;GO:0015935;GO:0005763	small ribosomal subunit	0.0991847602933525
0	6.19625422619566e-4	2	23	GO:0000315;GO:0015934;GO:0005762	large ribosomal subunit	0.0246964989872656
0	8.34850509704258e-4	2	60	GO:0000775	chromosome, centromeric region	0.029115411525936
0	1.46568816489212e-5	3	223	GO:0005730	nucleolus	0.00233029601188543
0	0.00248960862013786	2	127	GO:0005759	mitochondrial matrix	0.0578834004182052
0	6.09441266785976e-5	2	168	GO:0005813;GO:0005815	microtubule organizing center	0.00566780378110958
0	0.0034197176388699	3	25	GO:0005814;GO:0044450	microtubule organizing center part	0.0681500872317644
0	4.41662462763029e-4	2	437	GO:0015630;GO:0044430	cytoskeletal part	0.0205373045184808
0	0.00182923132834302	3	305	GO:0044427;GO:0005694	chromosome	0.0463959582370639
0	0.00324058298998821	3	275	GO:0044451	nucleoplasm part	0.0681500872317644
0	0.00146315153895148	4	88	GO:0098687	chromosomal region	0.0417512724902982
0	1.0663465861009e-4	2	63	GO:0098798	mitochondrial protein complex	0.00743776743805378
0	0.00149646137958058	2	348	GO:1902494	catalytic complex	0.0417512724902982
0	0.00428566207429771	2	193	GO:1990234	transferase complex	0.0797133145819374
0	1.66569496727761e-4	2	176	GO:1990904	ribonucleoprotein complex	0.00929457791740906
