delta.rank	pval	level	nseqs	term	name	p.adj
0	1.11727376060747e-5	2	229	GO:0005768	endosome	0.00103906459736495
0	0.00214093785216026	3	430	GO:0005794	Golgi apparatus	0.049776805062726
0	0.00243208794516993	2	16	GO:0005797	Golgi medial cisterna	0.0503371152013719
0	1.3134894143973e-4	2	81	GO:0005811	lipid droplet	0.0061077257769474504
0	0.002115834192769	3	11	GO:0005923	bicellular tight junction	0.049776805062726
0	8.55878134452723e-5	2	48	GO:0009898;GO:0098562	cytoplasmic side of membrane	0.00596974998780774
0	1.07511612304976e-4	2	128	GO:0010008;GO:0044440	endosomal part	0.00599914796661766
0	2.21429146967442e-6	3	23	GO:0035631	CD40 receptor complex	6.17787320039163e-4
0	3.23139559231962e-4	3	263	GO:0044431	Golgi apparatus part	0.0112694921282147
0	0.00102239822162855	2	227	GO:0044433	cytoplasmic vesicle part	0.0316943448704851
0	0.00252587674845594	4	230	GO:0048471	perinuclear region of cytoplasm	0.0503371152013719
0	0.00478925154128544	2	18	GO:0098573;GO:0032592	intrinsic component of mitochondrial membrane	0.0835125737511649
0	0.00537701637124125	4	116	GO:0098791;GO:0031984	organelle subcompartment	0.0882463275044887
0	0.00173918168674499	2	242	GO:0098796	membrane protein complex	0.0485231690601852
0	8.05180730101857e-6	3	118	GO:0098797	plasma membrane protein complex	0.00103906459736495
0	0.00280151626621576	2	59	GO:0098802	plasma membrane receptor complex	0.0521082025516131
0	2.18738631137026e-4	2	300	GO:0098805	whole membrane	0.00871829686960432
