name	term	lev	seq	value
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora26551	0.17810293414386258
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora14902	0.46299965020575873
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora16246	0.6452138856090381
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora00003	0.5947690984768961
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora01429	0.2540442118723224
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora01465	0.033609141035771894
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora05736	0.5964207866376388
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora08752	0.7626542017226554
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora08982	0.38204089517502193
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora08977	0.39642873677113144
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora08993	0.46296322988822364
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora06411	0.5347525334210677
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora07710	0.6599228573531474
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora12862	0.6157159713840868
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	Amillepora31668	0.6113362981114444
"vesicle lumen"	GO:0031983	3	Amillepora27431	-0.1370799680657634
"vesicle lumen"	GO:0031983	3	Amillepora12992	0.1660533591867656
"vesicle lumen"	GO:0031983	3	Amillepora15002	0.2361564111805602
"vesicle lumen"	GO:0031983	3	Amillepora25035	0.13862936078298818
"vesicle lumen"	GO:0031983	3	Amillepora22469	0.06060829970210616
"vesicle lumen"	GO:0031983	3	Amillepora22468	0.08703077857411551
"vesicle lumen"	GO:0031983	3	Amillepora22470	-0.06636758523090278
"vesicle lumen"	GO:0031983	3	Amillepora22522	0.2859534065958603
"vesicle lumen"	GO:0031983	3	Amillepora22521	0.2547958161155542
"vesicle lumen"	GO:0031983	3	Amillepora22524	0.24099470267569445
"vesicle lumen"	GO:0031983	3	Amillepora22523	0.35113444787538006
"vesicle lumen"	GO:0031983	3	Amillepora23122	0.3758636882682774
"vesicle lumen"	GO:0031983	3	Amillepora23121	0.32200144772716016
"vesicle lumen"	GO:0031983	3	Amillepora08785	-0.0011602469246869487
"vesicle lumen"	GO:0031983	3	Amillepora08786	0.485323066547728
"vesicle lumen"	GO:0031983	3	Amillepora09163	-0.14677298318469423
"vesicle lumen"	GO:0031983	3	Amillepora10760	0.3799869219495875
"vesicle lumen"	GO:0031983	3	Amillepora10759	0.35146575542461767
"vesicle lumen"	GO:0031983	3	Amillepora19099	0.15856576026063152
"vesicle lumen"	GO:0031983	3	Amillepora29445	0.25925419452388515
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora16820	0.35403721794767967
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora16900	0.453721231507353
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora16903	0.027203324261511605
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora16905	-0.19014837623691944
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora16908	0.04122900788033809
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora16959	0.46505922106864517
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora16984	-0.03492862181432489
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora17029	0.28402974630533323
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora17060	0.4431078503273927
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora17064	0.3516943263915367
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora17066	0.5696498038671524
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora17061	0.40394960075438746
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora17067	0.47432645532934703
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora17068	0.25476711655471723
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora18152	0.46177304123632446
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora18186	0.4478899971514139
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora18258	0.36388896195926657
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora18254	0.30421207773707093
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora26565	0.20175092381727186
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora26699	0.4535397356039681
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora27251	0.45619518150447
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora27261	0.14195401237105226
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora27349	0.4326988735613012
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora27355	0.45702136666779636
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora27356	0.3040542124026048
"intrinsic component of plasma membrane"	GO:0005887;GO:0031226	4	Amillepora12972	0.45330000238738644
