name	term	lev	seq	value
"microtubule associated complex"	GO:0005875	4	Amillepora17141	0.06326193153960803
"microtubule associated complex"	GO:0005875	4	Amillepora17783	0.08195063394842703
"microtubule associated complex"	GO:0005875	4	Amillepora18445	-0.23582537172327445
"microtubule associated complex"	GO:0005875	4	Amillepora27217	0.1150456356514128
"microtubule associated complex"	GO:0005875	4	Amillepora13183	0.003488649016802625
"microtubule associated complex"	GO:0005875	4	Amillepora13212	-0.13012012005572374
"microtubule associated complex"	GO:0005875	4	Amillepora13284	0.21009407468285474
"microtubule associated complex"	GO:0005875	4	Amillepora13365	0.5142002323306614
"microtubule associated complex"	GO:0005875	4	Amillepora14085	0.37213761300283377
"microtubule associated complex"	GO:0005875	4	Amillepora14201	-0.03985915394269236
"microtubule associated complex"	GO:0005875	4	Amillepora14344	-0.026300657417827972
"microtubule associated complex"	GO:0005875	4	Amillepora14342	0.021404444290738026
"microtubule associated complex"	GO:0005875	4	Amillepora14358	0.011923472542431979
"microtubule associated complex"	GO:0005875	4	Amillepora14356	-0.02097078621005327
"microtubule associated complex"	GO:0005875	4	Amillepora14555	0.01219807631596194
"microtubule associated complex"	GO:0005875	4	Amillepora14585	0.00952107324572922
"microtubule associated complex"	GO:0005875	4	Amillepora14767	0.05842036711540663
"microtubule associated complex"	GO:0005875	4	Amillepora14783	0.3797667737712628
"microtubule associated complex"	GO:0005875	4	Amillepora14800	0.15907266812788737
"microtubule associated complex"	GO:0005875	4	Amillepora14816	0.276284368076323
"microtubule associated complex"	GO:0005875	4	Amillepora14897	-0.041330965852587734
"microtubule associated complex"	GO:0005875	4	Amillepora15011	-0.016336084036121995
"microtubule associated complex"	GO:0005875	4	Amillepora15123	0.2891280657975758
"microtubule associated complex"	GO:0005875	4	Amillepora15188	0.15388456683411264
"microtubule associated complex"	GO:0005875	4	Amillepora15242	0.4337090391379182
"microtubule associated complex"	GO:0005875	4	Amillepora15333	0.08403852390375055
"microtubule associated complex"	GO:0005875	4	Amillepora25022	0.3397008018918819
"microtubule associated complex"	GO:0005875	4	Amillepora25863	-0.028979753045138446
"microtubule associated complex"	GO:0005875	4	Amillepora26159	0.027762150749253214
"microtubule associated complex"	GO:0005875	4	Amillepora26172	-0.17483332821938807
"microtubule associated complex"	GO:0005875	4	Amillepora26173	-0.1325481326725899
"microtubule associated complex"	GO:0005875	4	Amillepora26253	0.15267437218360452
"microtubule associated complex"	GO:0005875	4	Amillepora00104	0.08284144239819488
"microtubule associated complex"	GO:0005875	4	Amillepora00105	-0.04131919533264364
"microtubule associated complex"	GO:0005875	4	Amillepora00108	0.4693642791955853
"microtubule associated complex"	GO:0005875	4	Amillepora00165	-0.06225439707704117
"microtubule associated complex"	GO:0005875	4	Amillepora00170	0.11881635635795372
"microtubule associated complex"	GO:0005875	4	Amillepora00446	0.20232753584619917
"microtubule associated complex"	GO:0005875	4	Amillepora00614	0.23015840544420768
"microtubule associated complex"	GO:0005875	4	Amillepora00831	0.36710534610194284
"microtubule associated complex"	GO:0005875	4	Amillepora01389	0.1275654016176521
"microtubule associated complex"	GO:0005875	4	Amillepora01875	0.26505930439693615
"microtubule associated complex"	GO:0005875	4	Amillepora02041	0.14841906810043634
"microtubule associated complex"	GO:0005875	4	Amillepora02615	0.45548779823749297
"microtubule associated complex"	GO:0005875	4	Amillepora03077	-0.1748638218819142
"microtubule associated complex"	GO:0005875	4	Amillepora03170	0.7041259198103281
"microtubule associated complex"	GO:0005875	4	Amillepora03975	0.0028108937883409707
"microtubule associated complex"	GO:0005875	4	Amillepora03990	0.2513848391751441
"microtubule associated complex"	GO:0005875	4	Amillepora04421	0.07229931508829802
"microtubule associated complex"	GO:0005875	4	Amillepora04487	0.3093513851999724
"microtubule associated complex"	GO:0005875	4	Amillepora04675	0.4955482242534814
"microtubule associated complex"	GO:0005875	4	Amillepora04721	-0.14994565007259494
"microtubule associated complex"	GO:0005875	4	Amillepora04836	0.1521174680083861
"microtubule associated complex"	GO:0005875	4	Amillepora05008	0.5486949239757801
"microtubule associated complex"	GO:0005875	4	Amillepora05107	-0.04516740224481097
"microtubule associated complex"	GO:0005875	4	Amillepora05765	-0.042356106067116844
"microtubule associated complex"	GO:0005875	4	Amillepora05769	0.011656740121545023
"microtubule associated complex"	GO:0005875	4	Amillepora21895	0.17167777486866997
"microtubule associated complex"	GO:0005875	4	Amillepora21960	-0.11184868017972154
"microtubule associated complex"	GO:0005875	4	Amillepora22041	-0.16262596243898542
"microtubule associated complex"	GO:0005875	4	Amillepora22267	0.061668361209032505
