name	term	lev	seq	value
"morphogen activity"	GO:0016015	2	Amillepora16922	0.08874333184061892
"morphogen activity"	GO:0016015	2	Amillepora27399	0.13774153304346104
"morphogen activity"	GO:0016015	2	Amillepora16355	0.10061572739354872
"morphogen activity"	GO:0016015	2	Amillepora16692	-0.06971851686868419
"morphogen activity"	GO:0016015	2	Amillepora25573	0.1593148817653369
"morphogen activity"	GO:0016015	2	Amillepora25580	0.16204388458603664
"morphogen activity"	GO:0016015	2	Amillepora25661	0.1427752146841859
"morphogen activity"	GO:0016015	2	Amillepora25658	0.21611815801932188
"morphogen activity"	GO:0016015	2	Amillepora25670	0.06321403908660364
"morphogen activity"	GO:0016015	2	Amillepora25679	0.1339138330601068
"morphogen activity"	GO:0016015	2	Amillepora25672	0.1486663479122845
"morphogen activity"	GO:0016015	2	Amillepora26064	0.23555071946162098
"morphogen activity"	GO:0016015	2	Amillepora07528	0.305218679194464
"morphogen activity"	GO:0016015	2	Amillepora20551	-0.021208169265689504
"voltage-gated sodium channel activity"	GO:0005248	2	Amillepora18258	0.23644083912659652
"voltage-gated sodium channel activity"	GO:0005248	2	Amillepora18254	0.15834522423584674
"voltage-gated sodium channel activity"	GO:0005248	2	Amillepora14133	0.2564540789747681
"voltage-gated sodium channel activity"	GO:0005248	2	Amillepora15589	0.42879744926675617
"voltage-gated sodium channel activity"	GO:0005248	2	Amillepora15593	0.25999932444092055
"voltage-gated sodium channel activity"	GO:0005248	2	Amillepora16435	0.28158819335938245
"voltage-gated sodium channel activity"	GO:0005248	2	Amillepora16465	0.4072995601300996
"voltage-gated sodium channel activity"	GO:0005248	2	Amillepora16468	0.2879232050459951
"voltage-gated sodium channel activity"	GO:0005248	2	Amillepora02590	0.3546428962238395
"voltage-gated sodium channel activity"	GO:0005248	2	Amillepora23286	0.1384098858595336
"symporter activity"	GO:0015294;GO:0015293;GO:0015370	5	Amillepora18186	0.2319000284510636
"symporter activity"	GO:0015294;GO:0015293;GO:0015370	5	Amillepora13100	-0.2458217708775037
"symporter activity"	GO:0015294;GO:0015293;GO:0015370	5	Amillepora13103	-0.18288730027308034
"symporter activity"	GO:0015294;GO:0015293;GO:0015370	5	Amillepora13146	0.5357437296389008
"symporter activity"	GO:0015294;GO:0015293;GO:0015370	5	Amillepora15385	0.14701076690432324
"symporter activity"	GO:0015294;GO:0015293;GO:0015370	5	Amillepora26222	0.07115612927137781
"symporter activity"	GO:0015294;GO:0015293;GO:0015370	5	Amillepora03997	0.40515505347384495
