"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0152603357868291 3 11 "GO:0000030" "mannosyltransferase activity" 0.0651515151515152
0 0.810155559025479 2 17 "GO:0000049" "tRNA binding" 0.96963696369637
0 0.00130357854461117 2 281 "GO:0000166;GO:1901265" "nucleotide binding" 0
0 0.100475305263172 2 44 "GO:0000287" "magnesium ion binding" 0.275193798449612
0 0.0847389275484968 2 55 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.231707317073171
0 0.551811429990999 2 25 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.829554655870445
0 0.267736279095321 3 79 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.573743016759777
0 0.136726962586969 -1 133 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 0.337162162162162
0 0.0210575923837099 -1 33 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.0933333333333333
0 0.0414975235261337 -1 12 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.142424242424242
0 0.317729843237662 4 21 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.615625
0 0.66701413064953 3 31 "GO:0001664" "G protein-coupled receptor binding" 0.900740740740741
0 5.97697214916434e-05 2 236 "GO:0001882;GO:0001883;GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0032549;GO:0032550" "purine nucleotide binding" 0
0 0.812022664176601 3 333 "GO:0003677" "DNA binding" 0.969407894736842
0 0.872127813911722 5 23 "GO:0003678" "DNA helicase activity" 0.984735202492212
0 0.979265094795221 2 95 "GO:0003682" "chromatin binding" 1
0 0.848893381018965 2 21 "GO:0003684" "damaged DNA binding" 0.987179487179487
0 0.464115817539345 2 107 "GO:0003690" "double-stranded DNA binding" 0.738888888888889
0 0.662937013430115 2 21 "GO:0003697" "single-stranded DNA binding" 0.903370786516854
0 0.305064799810884 2 181 "GO:0003700" "DNA-binding transcription factor activity" 0.607407407407407
0 0.370366636711892 3 69 "GO:0003713" "transcription coactivator activity" 0.666019417475728
0 0.185241766520614 2 42 "GO:0003714" "transcription corepressor activity" 0.426543209876543
0 0.691587445607448 3 170 "GO:0003723" "RNA binding" 0.918613138686131
0 0.92415666119659 5 27 "GO:0003724;GO:0004004;GO:0008186" "RNA helicase activity" 1
0 0.243513595786761 2 22 "GO:0003725" "double-stranded RNA binding" 0.536416184971098
0 0.61092426217983 2 15 "GO:0003727" "single-stranded RNA binding" 0.875875486381323
0 0.176667948571706 2 63 "GO:0003729" "mRNA binding" 0.417721518987342
0 0.242269393048634 2 41 "GO:0003735" "structural constituent of ribosome" 0.537790697674419
0 0.0253995277560364 5 13 "GO:0003743" "translation initiation factor activity" 0.104938271604938
0 0.864990007780763 4 38 "GO:0003774;GO:0003777" "motor activity" 0.988050314465409
0 0.000215380907225428 4 46 "GO:0003779" "actin binding" 0
0 0.0313750103621993 2 17 "GO:0003823" "antigen binding" 0.117977528089888
0 0.667724127736571 2 27 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.899630996309963
0 0.000523767353361149 7 75 "GO:0003924" "GTPase activity" 0
0 0.131743022699903 5 158 "GO:0004175" "endopeptidase activity" 0.331034482758621
0 0.835485576012456 2 31 "GO:0004177" "aminopeptidase activity" 0.988273615635179
0 0.797351901794969 2 26 "GO:0004180" "carboxypeptidase activity" 0.965333333333333
0 0.63064366390957 2 17 "GO:0004181" "metallocarboxypeptidase activity" 0.89
0 0.0603993707975802 2 69 "GO:0004222" "metalloendopeptidase activity" 0.188990825688073
0 0.890935332355468 2 35 "GO:0004252" "serine-type endopeptidase activity" 0.995692307692308
0 0.989261168426838 2 50 "GO:0004386;GO:0008026;GO:0070035" "helicase activity" 1
0 0.597626301263224 2 37 "GO:0004497" "monooxygenase activity" 0.865098039215686
0 0.123933895838275 5 13 "GO:0004500;GO:0016715" "dopamine beta-monooxygenase activity" 0.328776978417266
0 0.563042331812581 4 69 "GO:0004518" "nuclease activity" 0.8344
0 0.128128191541932 2 41 "GO:0004519" "endonuclease activity" 0.331468531468531
0 0.318042158236372 3 19 "GO:0004520" "endodeoxyribonuclease activity" 0.612435233160622
0 0.35907074925892 4 20 "GO:0004521" "endoribonuclease activity" 0.659405940594059
0 0.933789944535011 2 32 "GO:0004527" "exonuclease activity" 1
0 0.631966974398513 4 15 "GO:0004532;GO:0016896;GO:0000175" "exoribonuclease activity" 0.887739463601533
0 0.504332354024963 2 26 "GO:0004536" "deoxyribonuclease activity" 0.77603305785124
0 0.563903586665689 2 35 "GO:0004540" "ribonuclease activity" 0.833466135458167
0 0.304250551501905 3 16 "GO:0004601;GO:0016684" "peroxidase activity" 0.612299465240642
0 0.0727817994584687 2 45 "GO:0004620;GO:0016298" "lipase activity" 0.205217391304348
0 0.0348072341711307 2 16 "GO:0004623" "phospholipase A2 activity" 0.121978021978022
0 0.0205802412096026 2 102 "GO:0004674" "protein serine/threonine kinase activity" 0.0864864864864865
0 2.13507672205213e-05 -1 19 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0
0 0.00413091821743503 2 13 "GO:0004708;GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.013953488372093
0 0.0156078626043369 2 72 "GO:0004713;GO:0004714;GO:0019199" "protein tyrosine kinase activity" 0.0641791044776119
0 0.00875821184916505 4 45 "GO:0004721" "phosphoprotein phosphatase activity" 0.0310344827586207
0 0.00442481456437975 2 17 "GO:0004722" "protein serine/threonine phosphatase activity" 0.0155555555555556
0 0.238694538795448 2 19 "GO:0004725" "protein tyrosine phosphatase activity" 0.53905325443787
0 0.178780548769363 5 18 "GO:0004745" "retinol dehydrogenase activity" 0.422012578616352
0 5.26199187894633e-06 2 131 "GO:0004842;GO:0019787;GO:0016879;GO:0016881" "ligase activity, forming carbon-nitrogen bonds" 0
0 0.194673350116489 2 52 "GO:0004857" "enzyme inhibitor activity" 0.441463414634146
0 0.115488908881796 5 18 "GO:0004866;GO:0030414;GO:0061135;GO:0061134" "peptidase regulator activity" 0.305185185185185
0 1.93489896874813e-09 -1 303 "GO:0004871;GO:0060089" "molecular transducer activity" 0
0 0.000187093280147872 3 199 "GO:0004888;GO:0038023" "signaling receptor activity" 0
0 0.000474695513684104 2 46 "GO:0004930" "G protein-coupled receptor activity" 0
0 0.623932234104792 2 12 "GO:0005041;GO:0030228" "lipoprotein particle receptor activity" 0.884555984555984
0 2.1940619931459e-05 -1 34 "GO:0005057" "obsolete signal transducer activity, downstream of receptor" 0
0 0.0070073282988885 2 11 "GO:0005080" "protein kinase C binding" 0.0259259259259259
0 5.45059031372345e-05 4 38 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0
0 0.000744309870891746 2 22 "GO:0005088" "Ras guanyl-nucleotide exchange factor activity" 0
0 0.0654733826698487 3 10 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 0.191891891891892
0 0.00180707390175969 2 35 "GO:0005096" "GTPase activator activity" 0.003125
0 0.461941928466834 2 217 "GO:0005102" "signaling receptor binding" 0.739055793991416
0 0.891578223255885 5 17 "GO:0005109" "frizzled binding" 0.993558282208589
0 0.665314309173094 2 16 "GO:0005125" "cytokine activity" 0.901486988847584
0 0.778538570111926 4 21 "GO:0005126" "cytokine receptor binding" 0.947826086956522
0 0.276927479817573 3 23 "GO:0005178" "integrin binding" 0.58121546961326
0 0.986362618853782 1 129 "GO:0005198" "structural molecule activity" 1
0 0.69292227342695 2 21 "GO:0005200" "structural constituent of cytoskeleton" 0.917090909090909
0 0.932439282518443 2 25 "GO:0005201" "extracellular matrix structural constituent" 1
0 0.00224062205460164 3 171 "GO:0005216;GO:0022838;GO:0015267;GO:0022803;GO:0005261" "passive transmembrane transporter activity" 0.00294117647058824
0 0.25940205877779 3 29 "GO:0005230" "extracellular ligand-gated ion channel activity" 0.564772727272727
0 0.284395913160419 4 21 "GO:0005231" "excitatory extracellular ligand-gated ion channel activity" 0.583152173913043
0 0.000269735606453123 2 38 "GO:0005244;GO:0022832;GO:0022843" "voltage-gated ion channel activity" 0
0 0.0117374660005084 2 10 "GO:0005248" "voltage-gated sodium channel activity" 0.0451612903225806
0 0.0228284907592806 3 14 "GO:0005249" "voltage-gated potassium channel activity" 0.0987179487179487
0 0.0261285791514926 2 92 "GO:0005262;GO:0015085;GO:0072509" "divalent inorganic cation transmembrane transporter activity" 0.10609756097561
0 0.030136711332505 3 25 "GO:0005267" "potassium channel activity" 0.117241379310345
0 0.00508404192820681 2 22 "GO:0005272" "sodium channel activity" 0.0142857142857143
0 0.433188911735201 3 15 "GO:0005277;GO:1901375;GO:0005294;GO:0015187;GO:0015193;GO:0015375;GO:0005295" "acetylcholine transmembrane transporter activity" 0.729090909090909
0 0.100292909200557 2 21 "GO:0005319" "lipid transporter activity" 0.27578125
0 0.662600060684056 2 35 "GO:0005326;GO:0005343" "neurotransmitter transporter activity" 0.906390977443609
0 0.665153168047864 2 24 "GO:0005328;GO:0005283;GO:0005416" "neurotransmitter:sodium symporter activity" 0.90410447761194
0 0.00300736110870423 2 10 "GO:0005355;GO:0015149" "glucose transmembrane transporter activity" 0.01
0 0.480186769597224 3 21 "GO:0005496;GO:0015485;GO:0032934" "steroid binding" 0.751898734177215
0 0.0764957507787712 2 25 "GO:0005506" "iron ion binding" 0.20672268907563
0 0.446553007562462 2 80 "GO:0005509" "calcium ion binding" 0.745495495495496
0 0.0163048101114788 3 24 "GO:0005516" "calmodulin binding" 0.0671428571428571
0 0.00154798441139985 3 143 "GO:0005524;GO:0032559;GO:0030554" "adenyl nucleotide binding" 0.0032258064516129
0 0.00196533729650971 3 91 "GO:0005525;GO:0032561;GO:0019001" "guanyl nucleotide binding" 0.00303030303030303
0 0.635825855758538 2 58 "GO:0005539" "glycosaminoglycan binding" 0.887404580152672
0 0.00133448394014166 2 79 "GO:0005543" "phospholipid binding" 0
0 0.394434019992592 3 21 "GO:0005544" "calcium-dependent phospholipid binding" 0.698564593301435
0 0.0542969963742505 3 14 "GO:0008022" "protein C-terminus binding" 0.179047619047619
0 0.929434050614352 5 41 "GO:0008028" "monocarboxylic acid transmembrane transporter activity" 1
0 0.250955495134922 3 15 "GO:0008035;GO:0071813;GO:0071814" "lipoprotein particle binding" 0.550857142857143
0 0.065168887927585 2 13 "GO:0008046" "axon guidance receptor activity" 0.192727272727273
0 0.000539148706442347 3 72 "GO:0008047" "enzyme activator activity" 0
0 0.262790459442201 2 11 "GO:0008066" "glutamate receptor activity" 0.566292134831461
0 0.312122950672248 5 24 "GO:0008081" "phosphoric diester hydrolase activity" 0.614736842105263
0 0.114246803789011 2 20 "GO:0008083" "growth factor activity" 0.305223880597015
0 0.00405042491245555 2 149 "GO:0008092" "cytoskeletal protein binding" 0.0142857142857143
0 0.912095736561847 2 34 "GO:0008094" "DNA-dependent ATPase activity" 1
0 0.00884220086428578 3 114 "GO:0008134" "transcription factor binding" 0.0305084745762712
0 0.00624324701531745 2 20 "GO:0008135;GO:0090079" "translation regulator activity, nucleic acid binding" 0.0207547169811321
0 0.00839836618822224 2 10 "GO:0008138" "protein tyrosine/serine/threonine phosphatase activity" 0.0321428571428571
0 0.22335307311859 2 210 "GO:0008144" "drug binding" 0.508383233532934
0 0.758401080386141 2 65 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.935593220338983
0 0.474374127640008 3 21 "GO:0008170" "N-methyltransferase activity" 0.748936170212766
0 0.697764305766208 3 14 "GO:0008173" "RNA methyltransferase activity" 0.921376811594203
0 0.127414630695029 2 56 "GO:0008194" "UDP-glycosyltransferase activity" 0.333333333333333
0 0.687964611025546 2 40 "GO:0008201" "heparin binding" 0.919852941176471
0 0.0338216741092897 3 45 "GO:0008234;GO:0004197" "cysteine-type peptidase activity" 0.121111111111111
0 0.959510246118972 2 25 "GO:0008235" "metalloexopeptidase activity" 1
0 0.938823914919086 4 53 "GO:0008236;GO:0017171" "serine hydrolase activity" 1
0 0.430370683021731 2 104 "GO:0008237" "metallopeptidase activity" 0.730275229357798
0 0.995565577084221 4 60 "GO:0008238" "exopeptidase activity" 1
0 0.404935071432866 2 87 "GO:0008270" "zinc ion binding" 0.701395348837209
0 0.0782297271691891 3 22 "GO:0008276" "protein methyltransferase activity" 0.209090909090909
0 0.00460008088296108 2 134 "GO:0008289" "lipid binding" 0.0152173913043478
0 0.394633216766893 2 15 "GO:0008301" "DNA binding, bending" 0.695238095238095
0 0.941656376144135 2 18 "GO:0008307" "structural constituent of muscle" 1
0 0.0677668371061736 3 11 "GO:0008320;GO:0022884" "protein transmembrane transporter activity" 0.192920353982301
0 0.030492833431899 2 24 "GO:0008374" "O-acyltransferase activity" 0.115909090909091
0 0.117536457632307 5 30 "GO:0008375" "acetylglucosaminyltransferase activity" 0.308823529411765
0 0.0367623672164566 2 27 "GO:0008381" "mechanosensitive ion channel activity" 0.125806451612903
0 0.898424271947092 3 27 "GO:0008408;GO:0016796" "3'-5' exonuclease activity" 0.997865853658537
0 0.702095030094764 3 135 "GO:0008509" "anion transmembrane transporter activity" 0.906737588652482
0 0.586470279007147 3 19 "GO:0008513;GO:0015199;GO:0015651;GO:0015226" "amino-acid betaine transmembrane transporter activity" 0.854724409448819
0 0.865160052347907 2 113 "GO:0008514;GO:0005342;GO:0046943" "organic anion transmembrane transporter activity" 0.984952978056426
0 0.110453975955625 2 41 "GO:0008519;GO:0015101" "organic cation transmembrane transporter activity" 0.293984962406015
0 0.078536311554585 2 14 "GO:0008536" "Ran GTPase binding" 0.208196721311475
0 0.129561999641503 2 30 "GO:0008565" "protein transporter activity" 0.331944444444444
0 0.879034059617832 3 43 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 0.98944099378882
0 0.63608184807287 2 33 "GO:0009055" "electron transfer activity" 0.884410646387833
0 0.0523543019020587 2 16 "GO:0009975;GO:0016849" "cyclase activity" 0.177669902912621
0 0.132300269341338 2 334 "GO:0015075;GO:0015318" "ion transmembrane transporter activity" 0.329452054794521
0 0.0738717932502955 2 112 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 0.205172413793103
0 0.00268807174101651 4 22 "GO:0015078" "proton transmembrane transporter activity" 0.00810810810810811
0 0.0243189597383185 2 40 "GO:0015079" "potassium ion transmembrane transporter activity" 0.1
0 0.600581653425591 2 80 "GO:0015081" "sodium ion transmembrane transporter activity" 0.865625
0 0.350765862299791 4 32 "GO:0015103" "inorganic anion transmembrane transporter activity" 0.6475
0 0.341132270484215 2 16 "GO:0015108" "chloride transmembrane transporter activity" 0.638383838383838
0 0.00492116934483698 2 23 "GO:0015144;GO:0051119" "carbohydrate transmembrane transporter activity" 0.0145833333333333
0 0.0156102769162562 5 16 "GO:0015145" "monosaccharide transmembrane transporter activity" 0.0632352941176471
0 0.847403559945408 5 69 "GO:0015171" "amino acid transmembrane transporter activity" 0.989067524115756
0 0.49329846563946 2 22 "GO:0015175" "neutral amino acid transmembrane transporter activity" 0.764166666666667
0 0.777786233289912 6 40 "GO:0015179" "L-amino acid transmembrane transporter activity" 0.950671140939597
0 0.505646002034968 3 57 "GO:0015238" "drug transmembrane transporter activity" 0.776131687242798
0 0.0142636050623219 2 73 "GO:0015276;GO:0022834" "ligand-gated ion channel activity" 0.0553846153846154
0 0.370347138614134 2 101 "GO:0015291" "secondary active transmembrane transporter activity" 0.669268292682927
0 0.828807658606874 5 50 "GO:0015294;GO:0015293;GO:0015370" "symporter activity" 0.983006535947712
0 0.551973180608887 2 16 "GO:0015296" "anion:cation symporter activity" 0.826209677419355
0 0.0599937869644168 2 21 "GO:0015297;GO:0099516" "antiporter activity" 0.189814814814815
0 0.000479271948727986 3 38 "GO:0015399;GO:0015405;GO:0042626;GO:0043492" "P-P-bond-hydrolysis-driven transmembrane transporter activity" 0
0 0.36135875383023 4 54 "GO:0015631;GO:0008017" "tubulin binding" 0.662068965517241
0 0.0476101156546581 2 20 "GO:0015932" "nucleobase-containing compound transmembrane transporter activity" 0.164356435643564
0 0.517316335608555 2 14 "GO:0016015" "morphogen activity" 0.787755102040816
0 0.508171162345123 1 26 "GO:0016209" "antioxidant activity" 0.777459016393443
0 0.0130167719465572 4 231 "GO:0016301;GO:0004672;GO:0016773" "kinase activity" 0.0484375
0 0.398542561658279 2 11 "GO:0016405;GO:0016878" "acid-thiol ligase activity" 0.697169811320755
0 0.0160835587303125 2 15 "GO:0016407" "acetyltransferase activity" 0.0681159420289855
0 0.0419361056839487 5 10 "GO:0016409" "palmitoyltransferase activity" 0.143
0 0.717338136342248 2 248 "GO:0016491" "oxidoreductase activity" 0.912937062937063
0 0.970548302373329 3 52 "GO:0016597" "amino acid binding" 1
