delta.rank	pval	level	nseqs	term	name	p.adj
0	0.00238605779341836	4	195	GO:0000139	Golgi membrane	0.0122448979591837
0	0.0273199778315681	3	60	GO:0000151	ubiquitin ligase complex	0.0857142857142857
0	1.28303890878493e-5	2	19	GO:0000502;GO:1905369	proteasome complex	0
0	0.00380784388891561	2	62	GO:0000790	nuclear chromatin	0.0196428571428571
0	0.0181176223349545	5	14	GO:0000932	P-body	0.0614457831325301
0	0.00936475531942075	2	206	GO:0005740;GO:0031966	mitochondrial envelope	0.027027027027027
0	0.0179148765225097	2	49	GO:0005741;GO:0031968;GO:0019867	organelle outer membrane	0.0597560975609756
0	2.48085126074152e-5	4	127	GO:0005759	mitochondrial matrix	0
0	6.04358462322377e-6	5	229	GO:0005768	endosome	0
0	5.95765702000734e-4	2	73	GO:0005769	early endosome	0.00285714285714286
0	0.00762920174521915	2	18	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	0.0214285714285714
0	8.03318427039991e-5	2	430	GO:0005794	Golgi apparatus	0
0	0.00267092780670773	2	66	GO:0005795	Golgi stack	0.0132075471698113
0	0.00541894498278118	2	25	GO:0005798	Golgi-associated vesicle	0.0206349206349206
0	0.00851786661196302	5	52	GO:0005802	trans-Golgi network	0.0232876712328767
0	9.28131792567871e-5	2	81	GO:0005811	lipid droplet	0
0	1.81769031108761e-5	2	12	GO:0005839	proteasome core complex	0
0	2.76475085754476e-6	4	435	GO:0005887;GO:0031226	intrinsic component of plasma membrane	0
0	0.00430242985540389	2	79	GO:0005911	cell-cell junction	0.0228070175438597
0	2.03457270906733e-4	3	56	GO:0005912;GO:0070161	adherens junction	0.00333333333333333
0	0.00784500593567287	2	19	GO:0005913	cell-cell adherens junction	0.0211267605633803
0	3.55802691624986e-4	3	26	GO:0005924;GO:0030055	cell-substrate adherens junction	0.0032258064516129
0	8.74890743298103e-4	2	18	GO:0005925	focal adhesion	0.00476190476190476
0	0.00700749489218333	2	116	GO:0005929	cilium	0.0220588235294118
0	2.70447545739502e-5	2	128	GO:0005938;GO:0099568	cytoplasmic region	0
0	1.29703983674708e-5	6	66	GO:0008021;GO:0070382	synaptic vesicle	0
0	0.00806584628264623	5	16	GO:0008076;GO:0034705	potassium channel complex	0.0222222222222222
0	0.00327474031766797	3	84	GO:0009897	external side of plasma membrane	0.0181818181818182
0	2.1441092077623e-5	3	48	GO:0009898;GO:0098562	cytoplasmic side of membrane	0
0	0.00262402916318393	2	188	GO:0009986	cell surface	0.0117647058823529
0	4.05051334676049e-4	2	128	GO:0010008;GO:0044440	endosomal part	0.003125
0	6.64966596514917e-4	2	136	GO:0012506;GO:0030659	vesicle membrane	0.0027027027027027
0	0.0043356321092454	2	63	GO:0015629	actin cytoskeleton	0.0224137931034483
0	0.0272439305563926	2	112	GO:0016324	apical plasma membrane	0.0866666666666667
0	0.0247516036283329	6	24	GO:0016607	nuclear speck	0.0786516853932584
0	0.00941271304870855	3	18	GO:0017090	meprin A complex	0.0266666666666667
0	1.76932156924927e-4	2	60	GO:0030016;GO:0030017	myofibril	0
0	0.00265299824554108	4	29	GO:0030018;GO:0031674	I band	0.0134615384615385
0	0.00135426265725071	2	32	GO:0030027	lamellipodium	0.00888888888888889
0	0.00953688988314543	1	130	GO:0030054	cell junction	0.0263157894736842
0	0.0200173823732136	2	18	GO:0030117;GO:0048475	membrane coat	0.0635294117647059
0	4.2328056527202e-6	5	124	GO:0030133	transport vesicle	0
0	1.09625429712013e-7	4	100	GO:0030135;GO:0030136	coated vesicle	0
0	1.02665242363122e-4	3	201	GO:0030424	axon	0
0	0.00289748846857815	2	163	GO:0030425	dendrite	0.012962962962963
0	0.00153807231993101	2	47	GO:0030427;GO:0030426	site of polarized growth	0.00869565217391304
0	7.61932838327697e-4	5	50	GO:0030662;GO:0030658	transport vesicle membrane	0.0024390243902439
0	0.00597051692133406	6	31	GO:0030665;GO:0030672;GO:0099501	clathrin-coated vesicle membrane	0.0230769230769231
0	0.016169015685727	3	19	GO:0030667	secretory granule membrane	0.0518518518518519
0	7.56116176783832e-4	2	68	GO:0031252	cell leading edge	0.0025
0	0.0274451846193206	2	73	GO:0031300;GO:0031301	intrinsic component of organelle membrane	0.0847826086956522
0	7.43080565303144e-4	2	18	GO:0031430;GO:0031672	A band	0.00256410256410256
0	0.0025174192570724	2	48	GO:0031985	Golgi cisterna	0.012
0	0.00213679257575988	2	29	GO:0032153;GO:0032154;GO:0032155	cell division site	0.0106382978723404
