SAKL0D10450g1_1	Inorganic ion transport and metabolism
SAKL0D06666g1_1	Cell cycle control, cell division, chromosome partitioning
SAKL0D05302g1_1	Translation, ribosomal structure and biogenesis
SAKL0D15202pg1_1	Carbohydrate transport and metabolism
SAKL0D06116g1_1	Cell cycle control, cell division, chromosome partitioning
SAKL0D06534g1_1	Cell cycle control, cell division, chromosome partitioning
SAKL0D14960g1_1	Inorganic ion transport and metabolism
SAKL0D13552g1_1	Posttranslational modification, protein turnover, chaperones
SAKL0D08712g1_1	Translation, ribosomal structure and biogenesis
SAKL0D10494g1_1	Signal transduction mechanisms
SAKL0D14564g1_1	Secondary metabolites biosynthesis, transport and catabolism
SAKL0D08272g1_1	Replication, recombination and repair
SAKL0D11902g1_1	Carbohydrate transport and metabolism
SAKL0D05434g1_1	Intracellular trafficking, secretion, and vesicular transport
SAKL0D07326g1_1	Energy production and conversion
SAKL0D06864g1_1	Intracellular trafficking, secretion, and vesicular transport
SAKL0D06490g1_1	Intracellular trafficking, secretion, and vesicular transport
SAKL0D11330g1_1	RNA processing and modification
SAKL0D05720g1_1	Translation, ribosomal structure and biogenesis
SAKL0D14894g1_1	Secondary metabolites biosynthesis, transport and catabolism
SAKL0D05214g1_1	Transcription
SAKL0D00880g1_1	Lipid transport and metabolism
SAKL0D11880g1_1	Posttranslational modification, protein turnover, chaperones
SAKL0D00814g1_1	Inorganic ion transport and metabolism
SAKL0D01078g1_1	Translation, ribosomal structure and biogenesis
SAKL0D06688g1_1	Intracellular trafficking, secretion, and vesicular transport
SAKL0D01100g1_1	Transcription
SAKL0D08338g1_1	Lipid transport and metabolism
SAKL0D02112g1_1	Transcription
SAKL0D14872g1_1	Secondary metabolites biosynthesis, transport and catabolism
SAKL0D09746g1_1	Amino acid transport and metabolism
SAKL0D07062g1_1	Translation, ribosomal structure and biogenesis
SAKL0D13156g1_1	Transcription
SAKL0D09856g1_1	Amino acid transport and metabolism
SAKL0D11154g1_1	Posttranslational modification, protein turnover, chaperones
SAKL0D06556g1_1	Posttranslational modification, protein turnover, chaperones
SAKL0D12936g1_1	Nucleotide transport and metabolism
SAKL0D11022g1_1	Intracellular trafficking, secretion, and vesicular transport
SAKL0D12958g1_1	Energy production and conversion
SAKL0D01364g1_1	RNA processing and modification
SAKL0D04510g1_1	Inorganic ion transport and metabolism
SAKL0D10604g1_1	Transcription
SAKL0D02024g1_1	Intracellular trafficking, secretion, and vesicular transport
SAKL0D03190g1_1	Transcription
SAKL0D04378g1_1	Cell cycle control, cell division, chromosome partitioning
SAKL0D07854g1_1	Amino acid transport and metabolism
SAKL0D07612g1_1	Transcription
SAKL0D01870g1_1	Intracellular trafficking, secretion, and vesicular transport
SAKL0D02794g1_1	Posttranslational modification, protein turnover, chaperones
SAKL0D00396g1_1	Posttranslational modification, protein turnover, chaperones
SAKL0D03212g1_1	Replication, recombination and repair
