name	term	lev	seq	value
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora17504	14.112179794761966
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora18078	2.0563574797465636
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora18188	-0.16883471789711496
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora18249	0.5692973879873302
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora18328	5.6988455423060795
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora18501	2.263399141837298
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora18499	3.488887329716978
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora18538	-4.895550928188678
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora26352	-5.71008726987393
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora26538	7.33739580206236
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora26827	0.25566170278050343
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora26835	-3.2536150456207578
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora27303	0.809348866629092
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora27322	-7.984279046341286
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora27323	10.636136095744883
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora12952	1.1839096083393534
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora13289	0.09493568359100645
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora13493	-2.0191096713155345
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora13490	-8.254480964661777
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora13497	-31.826574856558572
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora14412	-7.1356699287543295
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora14479	-0.32031618451060057
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora14751	-0.3051408295423262
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora14854	5.105435263674825
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora15180	3.6782547167805943
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora15182	0.7424080417502333
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora15570	-1.1323224709100361
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora16066	-6.3214870590297645
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora16071	-0.130806392625587
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora16568	5.973928436780318
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora16602	0.06909854572952953
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora16605	0.7710419150235013
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora16714	1.0052074391166843
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora24860	-0.06094851862632115
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora24874	-1.4840802641726438
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora24884	-0.3285578942611607
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora24897	1.0598740138323222
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora24943	0.10658411473120939
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora25069	-0.2066877860442621
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora26147	7.459571818829545
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora26221	-2.201651097904395
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora00192	-32.85420412093007
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora00610	0.02078707161401848
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora00723	40.89268740135883
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora00724	3.5772252274826624
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora00727	2.5437811941255313
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora01054	0.5245461254311782
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora01086	8.694368728117823
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora01177	2.9942635936390976
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora01199	3.113165090760919
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora01442	0.496033593044363
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora01453	0.04850632952734385
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora02016	-10.973051272382076
"ubiquitin-protein transferase activity"	GO:0004842	2	Amillepora02460	-2.8881796667712867
